type,file_name,url,publication_title,publication_slug
pdf,2001-census-translation-leaflet-ulster-scots.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-ulster-scots.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-translation-leaflet-urdu_0.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-translation-leaflet-urdu_0.pdf,2001 Census - Community Liaison Materials,/publications/2001-census-community-liaison-materials
pdf,2001-census-definitions-volume-chapter-1-introduction.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-1-introduction.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-2-methodology-processing-and-geography.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-2-methodology-processing-and-geography.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-3-population-base.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-3-population-base.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-4-comparability-with-the-1991-census.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-4-comparability-with-the-1991-census.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-5-glossary.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-5-glossary.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-6-part-1-output-classifications.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-6-part-1-output-classifications.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-6-part-2-standard-derived-variables.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-6-part-2-standard-derived-variables.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-7-filters.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-7-filters.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-8-output-tables.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-8-output-tables.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-definitions-volume-chapter-9-maps.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-definitions-volume-chapter-9-maps.pdf,2001 Census - Definitions Volume,/publications/2001-census-definitions-volume
pdf,2001-census-advance-round-leaflet.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-advance-round-leaflet.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-collection-reminder-1.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-collection-reminder-1.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-collection-reminder-2.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-collection-reminder-2.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-collection-reminder-3.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-collection-reminder-3.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-delivery-leaflet-1.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-delivery-leaflet-1.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-delivery-leaflet-2.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-delivery-leaflet-2.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-guidance-notes-for-the-managers-of-communal-establishments.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-guidance-notes-for-the-managers-of-communal-establishments.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
pdf,2001-census-information-leaflet.pdf,https://www.nisra.gov.uk/files/nisra/publications/2001-census-information-leaflet.pdf,2001 Census - Doorstep Material,/publications/2001-census-doorstep-material
