DZ21,Label,Population,Catholic_bg,Protestant_bg,Other_None_bg,Proj_UI_decided_pct,provenance
N20000313,Armagh_F1,437,70.7,14.6,14.6,68.8,modelled
N20000314,Armagh_B4,355,27.6,53.0,19.4,34.3,modelled
N20000315,Armagh_C4,512,41.0,37.1,21.9,46.6,modelled
N20000316,Armagh_D3,498,82.5,8.4,9.0,76.6,modelled
N20000317,Armagh_D4,711,85.1,9.1,5.8,77.5,modelled
N20000318,Armagh_D5,529,87.9,6.0,6.0,80.0,modelled
N20000319,Armagh_F2,259,68.7,21.2,10.0,65.3,modelled
N20000320,Armagh_F3,509,25.9,54.0,20.0,33.1,modelled
N20000321,Armagh_F4,329,93.0,5.5,1.5,82.5,modelled
N20000322,Armagh_D6,474,92.2,4.0,3.8,82.7,modelled
N20000323,Armagh_F5,232,75.0,12.1,12.9,71.8,modelled
N20000324,Armagh_C5,363,47.4,35.3,17.4,50.2,modelled
N20000325,Armagh_G1,410,48.5,42.0,9.5,48.0,modelled
N20000326,Armagh_C6,530,10.2,71.9,17.9,18.9,modelled
N20000327,Armagh_F6,541,93.0,3.9,3.1,83.1,modelled
N20000328,Armagh_G2,325,49.5,34.2,16.3,51.6,modelled
N20000329,Armagh_G3,808,88.0,6.1,5.9,80.0,modelled
N20000330,Armagh_G4,562,82.9,10.9,6.2,75.8,modelled
N20000331,Armagh_G5,573,83.9,11.2,4.9,76.1,modelled
N20000332,Armagh_H1,497,60.6,30.8,8.7,57.9,modelled
N20000333,Armagh_H2,489,44.0,46.6,9.4,44.1,modelled
N20000334,Armagh_H3,570,52.1,40.2,7.7,50.3,modelled
N20000335,Armagh_G6,389,83.5,9.3,7.2,76.7,modelled
N20000336,Armagh_H4,465,69.7,25.8,4.5,63.9,modelled
N20000337,Armagh_H5,481,68.6,23.3,8.1,64.5,modelled
N20000338,Armagh_J2,406,25.4,72.4,2.2,25.5,modelled
N20000339,Armagh_J3,561,65.1,26.6,8.4,61.6,modelled
N20000340,Armagh_E4,543,31.9,66.3,1.8,30.8,modelled
N20000341,Armagh_J4,678,70.6,26.0,3.4,64.3,modelled
N20000342,Armagh_E5,416,88.0,9.6,2.4,78.6,modelled
N20000343,Armagh_J5,670,56.0,41.5,2.5,51.5,modelled
N20000344,Armagh_K1,583,56.8,41.2,2.1,52.0,modelled
N20000345,Armagh_J6,571,78.1,21.7,0.2,69.3,modelled
N20000346,Armagh_K2,657,64.1,32.0,4.0,59.0,modelled
N20000347,Armagh_K3,518,83.6,15.8,0.6,74.1,modelled
N20000348,Armagh_L1,525,88.8,9.0,2.3,79.2,modelled
N20000349,Armagh_L2,469,84.6,8.5,6.8,77.5,modelled
N20000350,Armagh_L3,629,89.8,5.4,4.8,81.1,modelled
N20000351,Armagh_L4,431,84.7,7.9,7.4,77.8,modelled
N20000352,Armagh_L5,580,83.4,7.6,9.0,77.4,modelled
N20000353,Armagh_K4,512,84.8,11.3,3.9,76.4,modelled
N20000354,Armagh_K5,736,79.6,17.7,2.7,71.6,modelled
N20000355,Armagh_K6,527,94.7,4.6,0.8,83.6,modelled
N20000356,Portadown_A1,702,53.3,43.3,3.4,49.6,modelled
N20000357,Portadown_A2,392,7.1,86.5,6.4,11.7,modelled
N20000358,Portadown_B1,562,36.8,59.3,3.9,35.9,modelled
