SA2011,nat_2001,nat_2023,nat_2001_on2021demog,pop,change,swing_political,swing_demographic,label,dea
N00000036,45.60141062886807,60.77830023087906,56.08070425887763,358.99992707425656,15.176889602010995,4.69759597200143,10.479293630009565,Dunsilly_F4,DUNSILLY
N00000037,56.3253540643935,89.87740992460382,64.7452620673651,280.9999416784771,33.552055860210324,25.13214785723872,8.419908002971603,Airport_F4,AIRPORT
N00000038,80.6725129017135,82.42239701979662,58.1678105145412,416.9999885328699,1.7498841180831164,24.254586505255418,-22.5047023871723,Airport_F4,AIRPORT
N00000039,76.21672400046846,91.50384529677964,68.30203307959465,1190.999800214999,15.287121296311184,23.201812217184994,-7.914690920873809,Airport_F4,AIRPORT
N00000040,61.622457278879594,87.11817311939258,54.95886129676965,300.999943997389,25.495715840512986,32.15931182262293,-6.663595982109946,Airport_J2,AIRPORT
N00000041,75.95677292576153,92.50747771779454,71.24260748520348,349.9998953010815,16.550704792033017,21.264870232591065,-4.714165440558048,Airport_J4,AIRPORT
N00000042,44.66264094399664,85.55607569608985,55.6994025171433,328.9998919904572,40.893434752093206,29.85667317894655,11.036761573146656,Airport_J3,AIRPORT
N00000043,67.46491316803042,90.90522488809542,67.90827540058558,703.9999217362526,23.440311720064997,22.996949487509838,0.4433622325551596,Airport_F4,AIRPORT
N00000044,59.431483766941774,86.99810877459093,58.64589333471016,281.99995229373775,27.566625007649158,28.352215439880773,-0.785590432231615,Airport_G4,AIRPORT
N00000045,7.519997444991573,40.00517663525663,38.60565040989244,365.99998711553144,32.48517919026506,1.3995262253641911,31.085652964900866,Dunsilly_A6,DUNSILLY
N00000046,6.94470336550016,16.40069551971955,15.872435241685704,360.99998911596646,9.455992154219391,0.5282602780338479,8.927731876185543,Dunsilly_A2,DUNSILLY
N00000047,13.048910931282073,24.455336020981697,23.96908150307251,364.9999790284832,11.406425089699624,0.48625451790918817,10.920170571790436,Dunsilly_A5,DUNSILLY
N00000048,14.851121957512706,27.062273299476537,25.040858838815332,313.9999414798236,12.21115134196383,2.0214144606612052,10.189736881302625,Dunsilly_A5,DUNSILLY
N00000049,22.44227742968947,23.67072447316073,21.88869327597005,300.9999240407832,1.2284470434712595,1.7820311971906797,-0.5535841537194202,Dunsilly_D1,DUNSILLY
N00000050,12.18759119748588,24.469297795960728,24.021467287235772,320.99992880665997,12.281706598474848,0.4478305087249552,11.833876089749893,Dunsilly_D2,DUNSILLY
N00000051,65.19038514982967,65.70287952824832,46.30414184732517,331.99993460014247,0.5124943784186513,19.398737680923148,-18.886243302504496,Antrim_F1,ANTRIM
N00000052,40.871097455723046,34.484799423256014,24.20026185658804,322.9999836005572,-6.386298032467032,10.284537566667975,-16.670835599135007,Antrim_F2,ANTRIM
N00000053,41.77786774865736,41.050621075875675,22.024540146991534,278.99995245237176,-0.727246672781682,19.02608092888414,-19.753327601665823,Antrim_F2,ANTRIM
N00000054,6.246068759481138,19.32167292991776,8.465443709476826,326.9999044773376,13.075604170436623,10.856229220440934,2.2193749499956894,Antrim_F2,ANTRIM
N00000055,6.268580861803114,19.609799561003044,8.602574812147141,310.99995629451917,13.34121869919993,11.007224748855903,2.333993950344027,Antrim_F2,ANTRIM
N00000056,8.074862125610672,14.248031237017502,6.298178995339058,302.9998933745242,6.17316911140683,7.949852241678443,-1.7766831302716133,Antrim_F4,ANTRIM
N00000057,29.948807250893665,22.4369918450559,24.97709708092157,280.9998903629138,-7.5118154058377655,-2.5401052358656706,-4.971710169972095,Antrim_H1,ANTRIM
N00000058,25.870977160690696,25.32560549392112,25.76652637230342,297.99987619025717,-0.5453716667695758,-0.44092087838230043,-0.1044507883872754,Antrim_H2,ANTRIM
N00000059,35.72837616184097,19.011908087351593,21.092645395455826,273.9998828961756,-16.716468074489377,-2.080737308104233,-14.635730766385144,Antrim_D4,ANTRIM
N00000060,29.050800252490795,25.638036696122096,23.46961098477752,275.9999010122242,-3.4127635563686987,2.1684257113445753,-5.581189267713274,Antrim_H3,ANTRIM
N00000061,13.965155435920385,22.16131908154388,21.9365600267932,280.9999575011003,8.196163645623495,0.22475905475068103,7.9714045908728135,Antrim_L2,ANTRIM
N00000062,17.207779220881363,18.60910936778472,19.218206269581806,314.9999531862979,1.401330146903355,-0.6090969017970878,2.0104270487004428,Antrim_L2,ANTRIM
N00000063,25.82044757711991,16.91305986315598,18.421141910421067,365.99992030074054,-8.907387713963931,-1.5080820472650878,-7.399305666698844,Antrim_D4,ANTRIM
N00000064,56.711627247754485,44.52823607494104,44.50462460367159,311.99991206671734,-12.183391172813444,0.023611471269454398,-12.207002644082898,Antrim_K2,ANTRIM
N00000065,13.107928780019616,21.425099196599582,20.51167627163632,438.9999046373551,8.317170416579966,0.9134229249632639,7.403747491616702,Antrim_J2,ANTRIM
N00000066,15.820074786421973,21.589544555837314,19.32129740254359,316.9999388913971,5.769469769415341,2.268247153293725,3.5012226161216162,Antrim_J4,ANTRIM
N00000067,52.36414895816712,50.116889254575455,52.74133894079094,357.99988734264105,-2.2472597035916664,-2.6244496862154847,0.3771899826238183,Antrim_K1,ANTRIM
N00000068,12.783321139877115,17.75999694530236,17.877716080202802,383.99992619639255,4.976675805425243,-0.11771913490044383,5.094394940325687,Antrim_J5,ANTRIM
N00000069,48.53511205801824,36.81459440107022,38.00764261112594,310.99992242088683,-11.720517656948026,-1.1930482100557214,-10.527469446892304,Antrim_K2,ANTRIM
N00000070,19.40482053399147,28.290299726268334,29.868950208127046,261.99996130789674,8.885479192276865,-1.5786504818587126,10.464129674135577,Antrim_C2,ANTRIM
