DZ21,label,catholic_bg_pct,proj_unity_pct,provenance
N20000285,Airport_G4,34.5,40.1,modelled
N20000286,Airport_J1,86.1,75.5,modelled
N20000287,Airport_H3,89.1,77.5,modelled
N20000288,Airport_H4,63.4,59.1,modelled
N20000289,Airport_J2,74.4,67.6,modelled
N20000290,Airport_H5,70.9,64.5,modelled
N20000291,Airport_J3,67.9,62.3,modelled
N20000292,Airport_J4,87.0,76.4,modelled
N20000293,Airport_F4,59.8,57.3,modelled
N20000294,Airport_J5,88.9,77.0,modelled
N20000295,Armagh_A1,62.5,58.6,modelled
N20000296,Armagh_A2,54.6,52.4,modelled
N20000297,Armagh_A3,87.6,76.1,modelled
N20000298,Armagh_A4,90.3,77.2,modelled
N20000299,Armagh_E1,68.5,62.2,modelled
N20000300,Armagh_A5,84.9,73.9,modelled
N20000301,Armagh_E2,76.3,68.5,modelled
N20000303,Armagh_C1,92.3,79.3,modelled
N20000304,Armagh_C2,60.7,58.1,modelled
N20000305,Armagh_E3,24.3,33.0,modelled
N20000306,Armagh_B1,51.9,51.2,modelled
N20000307,Armagh_B2,50.3,50.2,modelled
N20000308,Armagh_C3,50.3,54.2,modelled
N20000310,Armagh_J1,59.5,56.2,modelled
N20000311,Armagh_B3,62.4,59.3,modelled
N20000312,Armagh_D2,78.5,69.6,modelled
N20000313,Armagh_F1,71.1,66.8,modelled
N20000314,Armagh_B4,25.5,35.5,modelled
N20000315,Armagh_C4,43.9,50.1,modelled
N20000316,Armagh_D3,82.9,73.7,modelled
N20000317,Armagh_D4,86.7,76.2,modelled
N20000318,Armagh_D5,87.7,76.5,modelled
N20000319,Armagh_F2,71.1,65.8,modelled
N20000320,Armagh_F3,27.6,37.9,modelled
N20000321,Armagh_F4,92.7,79.0,modelled
N20000322,Armagh_D6,91.4,79.1,modelled
N20000323,Armagh_F5,75.7,70.2,modelled
N20000324,Armagh_C5,48.1,51.4,modelled
N20000325,Armagh_G1,47.9,49.2,modelled
N20000326,Armagh_C6,9.4,25.6,modelled
N20000328,Armagh_G2,52.2,52.3,modelled
N20000329,Armagh_G3,88.5,77.2,modelled
N20000330,Armagh_G4,84.2,72.8,modelled
N20000331,Armagh_G5,84.7,74.1,modelled
N20000332,Armagh_H1,58.6,57.1,modelled
N20000334,Armagh_H3,53.5,52.9,modelled
N20000335,Armagh_G6,83.7,73.2,modelled
N20000336,Armagh_H4,65.8,60.3,modelled
N20000337,Armagh_H5,67.4,62.3,modelled
N20000338,Armagh_J2,25.7,33.5,modelled
N20000339,Armagh_J3,65.2,60.9,modelled
N20000340,Armagh_E4,32.4,37.6,modelled
N20000341,Armagh_J4,71.7,65.0,modelled
N20000342,Armagh_E5,87.8,75.7,modelled
N20000343,Armagh_J5,54.3,52.7,modelled
N20000344,Armagh_K1,55.7,53.3,modelled
N20000346,Armagh_K2,65.5,60.3,modelled
N20000348,Armagh_L1,89.1,76.8,modelled
N20000350,Armagh_L3,91.4,79.6,modelled
N20000351,Armagh_L4,87.0,76.0,modelled
N20000352,Armagh_L5,83.9,74.7,modelled
N20000353,Armagh_K4,84.9,74.2,modelled
N20000354,Armagh_K5,78.6,69.6,modelled
N20000355,Armagh_K6,94.3,80.2,modelled
N20000356,Portadown_A1,53.2,52.0,modelled
N20000357,Portadown_A2,6.5,21.3,modelled
N20000358,Portadown_B1,36.9,40.6,modelled
N20000360,Portadown_B2,47.9,48.6,modelled
N20000361,Portadown_A4,63.2,59.3,modelled
N20000362,Portadown_A5,20.3,30.3,modelled
N20000364,Portadown_B4,33.6,39.0,modelled
N20000366,Portadown_B6,23.9,31.8,modelled
N20000367,Portadown_J1,40.9,43.8,modelled
N20000368,Portadown_R1,15.6,32.6,modelled
N20000371,Portadown_D1,90.1,77.9,modelled
N20000372,Portadown_C2,89.6,77.8,modelled
N20000373,Portadown_D2,92.7,79.1,modelled
N20000375,Portadown_D3,85.7,75.9,modelled
N20000377,Portadown_F1,30.5,40.3,modelled
N20000378,Portadown_E1,94.0,80.4,modelled
N20000379,Portadown_D5,79.6,70.6,modelled
N20000380,Portadown_C4,72.0,66.0,modelled
N20000381,Portadown_E2,84.2,76.2,modelled
N20000382,Portadown_E3,75.1,70.0,modelled
N20000383,Portadown_R2,29.0,35.4,modelled
N20000384,Portadown_H1,11.1,26.3,modelled
N20000385,Portadown_G1,12.9,27.3,modelled
N20000386,Portadown_E4,78.3,71.1,modelled
N20000387,Portadown_G2,11.8,25.7,modelled
N20000388,Portadown_G3,11.3,27.9,modelled
N20000389,Portadown_K1,17.1,32.7,modelled
N20000390,Portadown_G4,17.8,32.4,modelled
N20000392,Portadown_H2,9.3,25.1,modelled
N20000393,Portadown_F2,25.8,36.3,modelled
N20000395,Portadown_F3,42.4,50.2,modelled
N20000396,Portadown_K2,10.6,27.0,modelled
N20000397,Portadown_H3,3.9,20.3,modelled
N20000398,Portadown_L1,31.7,41.1,modelled
N20000400,Portadown_L2,42.5,49.0,modelled
N20000401,Portadown_J3,69.2,64.0,modelled
N20000402,Portadown_K4,16.8,31.1,modelled
N20000403,Portadown_L3,40.7,49.1,modelled
