DZ21,con,catholic_bg_pct,p_soft,soft_v11b,soft_v11c,band_v11b,band_v11c
N20000774,BELFAST NORTH,75.7,0.67,0.807,0.929,19.7,22.3
N20000775,BELFAST NORTH,78.6,0.67,0.83,0.938,20.2,22.5
N20000776,BELFAST NORTH,6.8,0.67,0.26,0.729,8.9,18.0
N20000779,BELFAST NORTH,85.7,0.67,0.886,0.958,21.4,23.0
N20000780,BELFAST NORTH,83.2,0.67,0.867,0.951,20.9,22.8
N20000781,BELFAST NORTH,93.0,0.67,0.944,0.98,22.7,23.4
N20000782,BELFAST NORTH,84.7,0.67,0.878,0.956,21.2,22.9
N20000783,BELFAST NORTH,85.9,0.67,0.888,0.959,21.4,23.0
N20000784,BELFAST NORTH,93.5,0.67,0.948,0.981,22.7,23.5
N20000785,BELFAST NORTH,92.4,0.67,0.94,0.978,22.5,23.4
N20000786,BELFAST NORTH,64.8,0.67,0.72,0.898,17.8,21.6
N20000787,BELFAST NORTH,88.0,0.67,0.905,0.965,21.8,23.1
N20000788,BELFAST NORTH,84.1,0.67,0.874,0.954,21.1,22.9
N20000789,BELFAST NORTH,71.0,0.67,0.77,0.916,18.8,22.0
N20000790,BELFAST NORTH,10.7,0.67,0.291,0.741,9.4,18.2
N20000791,BELFAST NORTH,57.2,0.67,0.66,0.876,16.5,21.1
N20000792,BELFAST NORTH,82.9,0.67,0.864,0.95,20.9,22.8
N20000793,BELFAST NORTH,78.2,0.67,0.827,0.937,20.1,22.5
N20000794,BELFAST NORTH,84.3,0.67,0.875,0.954,21.1,22.9
N20000795,BELFAST NORTH,25.0,0.67,0.404,0.782,11.4,19.1
N20000796,BELFAST NORTH,78.5,0.67,0.829,0.938,20.1,22.5
N20000797,BELFAST NORTH,56.7,0.67,0.656,0.874,16.4,21.1
N20000798,BELFAST NORTH,7.6,0.67,0.266,0.732,9.0,18.0
N20000799,BELFAST NORTH,82.1,0.67,0.858,0.948,20.8,22.7
N20000800,BELFAST NORTH,14.0,0.67,0.317,0.75,9.8,18.4
N20000801,BELFAST NORTH,10.0,0.67,0.285,0.739,9.3,18.2
N20000802,BELFAST NORTH,88.4,0.67,0.908,0.966,21.9,23.1
N20000804,BELFAST NORTH,64.8,0.67,0.72,0.898,17.8,21.6
N20000805,BELFAST NORTH,17.8,0.67,0.347,0.761,10.3,18.7
N20000806,BELFAST NORTH,7.0,0.67,0.261,0.73,8.9,18.0
N20000807,BELFAST NORTH,76.4,0.67,0.812,0.931,19.8,22.4
N20000808,BELFAST NORTH,83.5,0.67,0.869,0.952,21.0,22.8
N20000809,BELFAST NORTH,40.1,0.67,0.524,0.826,13.7,20.1
N20000810,BELFAST NORTH,81.1,0.67,0.85,0.945,20.6,22.7
N20000811,BELFAST NORTH,7.2,0.67,0.263,0.731,8.9,18.0
N20000812,BELFAST NORTH,87.8,0.67,0.903,0.965,21.7,23.1
N20000814,BELFAST NORTH,69.3,0.67,0.756,0.911,18.6,21.9
N20000815,BELFAST NORTH,86.3,0.67,0.891,0.96,21.5,23.0
N20000816,BELFAST NORTH,72.5,0.67,0.782,0.92,19.1,22.1
N20000817,BELFAST NORTH,60.3,0.67,0.685,0.885,17.0,21.3
N20000818,BELFAST NORTH,81.1,0.67,0.85,0.945,20.6,22.7
N20000819,BELFAST NORTH,46.8,0.67,0.577,0.846,14.8,20.5
N20000820,BELFAST NORTH,4.4,0.67,0.24,0.722,8.6,17.8
N20000821,BELFAST NORTH,29.7,0.67,0.441,0.796,12.1,19.4
N20000822,BELFAST NORTH,82.5,0.67,0.861,0.949,20.8,22.8
N20000823,BELFAST NORTH,34.6,0.67,0.48,0.81,12.8,19.7
N20000824,BELFAST NORTH,76.2,0.67,0.811,0.931,19.7,22.4
N20000825,BELFAST NORTH,51.3,0.67,0.613,0.859,15.5,20.8
N20000826,BELFAST NORTH,41.7,0.67,0.537,0.831,14.0,20.2
N20000827,BELFAST NORTH,77.1,0.67,0.818,0.934,19.9,22.4
N20000828,BELFAST NORTH,16.7,0.67,0.338,0.758,10.2,18.6
N20000829,BELFAST NORTH,11.5,0.67,0.297,0.743,9.5,18.3
N20000830,BELFAST NORTH,59.7,0.67,0.68,0.883,16.9,21.3
N20000831,BELFAST NORTH,86.3,0.67,0.891,0.96,21.5,23.0
N20000832,BELFAST NORTH,43.4,0.67,0.55,0.836,14.2,20.3
N20000833,BELFAST NORTH,76.2,0.67,0.811,0.931,19.7,22.4
N20000834,BELFAST NORTH,11.3,0.67,0.295,0.742,9.4,18.3
N20000835,BELFAST NORTH,13.0,0.67,0.309,0.747,9.7,18.4
N20000836,BELFAST NORTH,74.8,0.67,0.8,0.927,19.5,22.3
N20000837,BELFAST NORTH,7.0,0.67,0.261,0.73,8.9,18.0
N20000838,BELFAST NORTH,74.9,0.67,0.801,0.927,19.5,22.3
N20000840,BELFAST NORTH,80.2,0.67,0.843,0.943,20.4,22.6
N20000841,BELFAST NORTH,55.1,0.67,0.643,0.87,16.2,21.0
N20000842,BELFAST NORTH,26.5,0.67,0.416,0.787,11.6,19.2
N20000843,BELFAST NORTH,71.3,0.67,0.772,0.917,18.9,22.0
N20000844,BELFAST NORTH,5.9,0.67,0.252,0.727,8.8,17.9
N20000845,BELFAST NORTH,17.8,0.67,0.347,0.761,10.3,18.7
N20000846,BELFAST NORTH,86.1,0.67,0.89,0.96,21.5,23.0
N20000847,BELFAST NORTH,9.2,0.67,0.279,0.736,9.2,18.1
N20000848,BELFAST NORTH,64.3,0.67,0.716,0.896,17.7,21.6
N20000849,BELFAST NORTH,72.2,0.67,0.779,0.919,19.1,22.1
N20000850,BELFAST NORTH,13.0,0.67,0.309,0.747,9.7,18.4
N20000851,BELFAST NORTH,15.8,0.67,0.331,0.755,10.0,18.5
N20000852,BELFAST NORTH,10.2,0.67,0.287,0.739,9.3,18.2
N20000853,BELFAST NORTH,13.3,0.67,0.311,0.748,9.7,18.4
N20000854,BELFAST NORTH,34.3,0.67,0.478,0.809,12.8,19.7
N20000855,BELFAST NORTH,46.5,0.67,0.575,0.845,14.7,20.5
N20000856,BELFAST EAST,4.7,0.58,0.227,0.654,8.4,16.4
N20000857,BELFAST EAST,33.8,0.58,0.463,0.76,12.5,18.6
N20000858,BELFAST EAST,7.8,0.58,0.252,0.665,8.7,16.6
N20000859,BELFAST EAST,17.4,0.58,0.33,0.7,10.0,17.4
N20000860,BELFAST EAST,4.5,0.58,0.225,0.653,8.4,16.4
N20000861,BELFAST EAST,10.7,0.58,0.276,0.676,9.1,16.8
N20000862,BELFAST EAST,14.1,0.58,0.303,0.688,9.6,17.1
N20000863,BELFAST EAST,11.5,0.58,0.282,0.679,9.2,16.9
N20000864,BELFAST EAST,16.0,0.58,0.319,0.695,9.8,17.3
N20000865,BELFAST EAST,9.2,0.58,0.263,0.67,8.9,16.7
N20000866,BELFAST EAST,14.6,0.58,0.307,0.69,9.6,17.1
N20000867,BELFAST EAST,11.4,0.58,0.281,0.678,9.2,16.9
N20000868,BELFAST EAST,12.2,0.58,0.288,0.681,9.3,17.0
N20000869,BELFAST EAST,11.6,0.58,0.283,0.679,9.2,16.9
N20000870,BELFAST EAST,7.1,0.58,0.246,0.663,8.7,16.6
N20000871,BELFAST EAST,11.9,0.58,0.285,0.68,9.3,16.9
N20000872,BELFAST EAST,23.1,0.58,0.376,0.721,10.8,17.8
N20000873,BELFAST EAST,8.2,0.58,0.255,0.667,8.8,16.7
N20000874,BELFAST EAST,5.4,0.58,0.233,0.656,8.5,16.4
N20000875,BELFAST EAST,23.4,0.58,0.379,0.722,10.9,17.8
N20000876,BELFAST EAST,16.1,0.58,0.319,0.695,9.8,17.3
N20000877,BELFAST EAST,6.5,0.58,0.241,0.66,8.6,16.5
N20000878,BELFAST EAST,33.3,0.58,0.459,0.758,12.4,18.6
N20000879,BELFAST EAST,17.3,0.58,0.329,0.7,10.0,17.4
N20000881,BELFAST EAST,15.2,0.58,0.312,0.692,9.7,17.2
N20000882,BELFAST EAST,26.6,0.58,0.405,0.733,11.4,18.1
N20000883,BELFAST EAST,14.3,0.58,0.305,0.689,9.6,17.1
N20000884,BELFAST EAST,15.9,0.58,0.318,0.695,9.8,17.2
N20000885,BELFAST EAST,22.2,0.58,0.369,0.717,10.7,17.7
N20000886,BELFAST EAST,68.0,0.58,0.74,0.884,18.2,21.3
N20000887,BELFAST EAST,94.4,0.58,0.955,0.98,22.9,23.4
N20000888,BELFAST EAST,19.5,0.58,0.347,0.708,10.3,17.5
N20000890,BELFAST EAST,21.1,0.58,0.36,0.713,10.6,17.6
N20000891,BELFAST EAST,17.6,0.58,0.332,0.701,10.0,17.4
N20000892,BELFAST EAST,7.1,0.58,0.246,0.663,8.7,16.6
N20000893,BELFAST EAST,16.5,0.58,0.323,0.697,9.9,17.3
N20000894,BELFAST EAST,60.7,0.58,0.681,0.857,17.0,20.7
N20000895,BELFAST EAST,18.8,0.58,0.341,0.705,10.2,17.5
N20000896,BELFAST EAST,86.1,0.58,0.887,0.95,21.4,22.8
N20000897,BELFAST EAST,21.6,0.58,0.364,0.715,10.6,17.7
N20000898,BELFAST EAST,21.4,0.58,0.362,0.715,10.6,17.7
N20000899,BELFAST EAST,22.7,0.58,0.373,0.719,10.8,17.8
N20000900,BELFAST EAST,6.0,0.58,0.237,0.659,8.5,16.5
N20000901,BELFAST EAST,41.7,0.58,0.527,0.788,13.8,19.3
N20000902,BELFAST EAST,26.8,0.58,0.406,0.734,11.4,18.1
N20000903,BELFAST EAST,8.2,0.58,0.255,0.667,8.8,16.7
N20000904,BELFAST EAST,56.7,0.58,0.649,0.843,16.3,20.4
N20000905,BELFAST EAST,22.8,0.58,0.374,0.72,10.8,17.8
N20000906,BELFAST EAST,14.1,0.58,0.303,0.688,9.6,17.1
N20000907,BELFAST EAST,19.1,0.58,0.344,0.706,10.3,17.5
N20000908,BELFAST EAST,18.7,0.58,0.34,0.705,10.2,17.5
N20000909,BELFAST EAST,15.2,0.58,0.312,0.692,9.7,17.2
N20000910,BELFAST EAST,10.8,0.58,0.276,0.676,9.1,16.9
N20000911,BELFAST EAST,3.4,0.58,0.216,0.649,8.2,16.3
N20000912,BELFAST SOUTH,27.1,0.76,0.491,0.844,13.0,20.5
N20000913,BELFAST SOUTH,25.2,0.76,0.478,0.84,12.8,20.4
N20000914,BELFAST EAST,18.1,0.58,0.336,0.703,10.1,17.4
N20000915,BELFAST EAST,15.0,0.58,0.31,0.691,9.7,17.2
N20000916,BELFAST EAST,25.7,0.58,0.397,0.73,11.2,18.0
N20000917,BELFAST EAST,19.7,0.58,0.349,0.708,10.3,17.5
N20000918,BELFAST SOUTH,16.4,0.76,0.417,0.821,11.6,20.0
N20000919,BELFAST EAST,9.2,0.58,0.263,0.67,8.9,16.7
N20000920,BELFAST EAST,17.1,0.58,0.327,0.699,10.0,17.3
N20000921,BELFAST EAST,7.4,0.58,0.249,0.664,8.7,16.6
N20000922,BELFAST SOUTH,12.1,0.76,0.387,0.811,11.0,19.8
N20000923,BELFAST EAST,12.4,0.58,0.289,0.682,9.3,17.0
N20000924,BELFAST SOUTH,21.4,0.76,0.451,0.831,12.3,20.2
N20000925,BELFAST EAST,24.1,0.58,0.384,0.724,11.0,17.9
N20000926,BELFAST EAST,26.9,0.58,0.407,0.735,11.4,18.1
N20000927,BELFAST EAST,12.3,0.58,0.289,0.682,9.3,17.0
N20000928,BELFAST SOUTH,18.9,0.76,0.434,0.826,11.9,20.1
N20000929,BELFAST EAST,17.3,0.58,0.329,0.7,10.0,17.4
N20000930,BELFAST SOUTH,14.7,0.76,0.405,0.817,11.4,19.9
N20000931,BELFAST SOUTH,21.0,0.76,0.449,0.831,12.2,20.2
N20000932,BELFAST EAST,21.9,0.58,0.366,0.716,10.7,17.7
N20000933,BELFAST EAST,22.1,0.58,0.368,0.717,10.7,17.7
N20000934,BELFAST SOUTH,33.9,0.76,0.539,0.858,14.0,20.8
N20000935,BELFAST EAST,6.3,0.58,0.24,0.66,8.6,16.5
N20000936,BELFAST EAST,10.8,0.58,0.276,0.676,9.1,16.9
N20000937,BELFAST EAST,21.5,0.58,0.363,0.715,10.6,17.7
N20000938,BELFAST SOUTH,23.3,0.76,0.465,0.835,12.5,20.3
N20000939,BELFAST SOUTH,32.9,0.76,0.532,0.856,13.9,20.7
N20000940,BELFAST SOUTH,19.5,0.76,0.438,0.827,12.0,20.1
N20000941,BELFAST SOUTH,23.3,0.76,0.465,0.835,12.5,20.3
N20000942,BELFAST SOUTH,38.7,0.76,0.572,0.868,14.7,21.0
N20000943,BELFAST SOUTH,27.3,0.76,0.493,0.844,13.1,20.5
N20000944,BELFAST SOUTH,51.4,0.76,0.661,0.896,16.5,21.6
N20000945,BELFAST EAST,14.5,0.58,0.306,0.69,9.6,17.1
N20000946,NORTH DOWN,15.3,0.95,0.315,0.934,9.8,22.4
N20000947,BELFAST EAST,7.7,0.58,0.251,0.665,8.7,16.6
N20000948,BELFAST EAST,7.9,0.58,0.253,0.666,8.8,16.6
N20000949,BELFAST EAST,4.7,0.58,0.227,0.654,8.4,16.4
N20000950,BELFAST EAST,17.2,0.58,0.328,0.699,10.0,17.3
N20000952,BELFAST EAST,13.5,0.58,0.298,0.686,9.5,17.1
N20000953,BELFAST EAST,10.6,0.58,0.275,0.675,9.1,16.8
N20000954,BELFAST EAST,10.2,0.58,0.271,0.674,9.0,16.8
N20000955,BELFAST EAST,11.8,0.58,0.284,0.68,9.3,16.9
N20000956,BELFAST EAST,10.3,0.58,0.272,0.674,9.1,16.8
N20000957,BELFAST EAST,11.2,0.58,0.28,0.678,9.2,16.9
N20000958,BELFAST EAST,10.6,0.58,0.275,0.675,9.1,16.8
N20000960,BELFAST EAST,9.0,0.58,0.262,0.67,8.9,16.7
N20000961,BELFAST EAST,11.1,0.58,0.279,0.677,9.2,16.9
N20000962,BELFAST EAST,5.3,0.58,0.232,0.656,8.4,16.4
N20000963,BELFAST EAST,19.2,0.58,0.344,0.707,10.3,17.5
N20000964,BELFAST EAST,7.2,0.58,0.247,0.663,8.7,16.6
N20000965,BELFAST EAST,13.5,0.58,0.298,0.686,9.5,17.1
N20000966,BELFAST EAST,18.6,0.58,0.34,0.704,10.2,17.5
N20000967,BELFAST EAST,16.3,0.58,0.321,0.696,9.9,17.3
N20000968,BELFAST EAST,17.1,0.58,0.327,0.699,10.0,17.3
N20000969,BELFAST EAST,13.6,0.58,0.299,0.686,9.5,17.1
N20000970,BELFAST EAST,17.7,0.58,0.332,0.701,10.1,17.4
N20000971,BELFAST EAST,15.0,0.58,0.31,0.691,9.7,17.2
N20000972,BELFAST EAST,32.6,0.58,0.453,0.755,12.3,18.5
N20000973,BELFAST EAST,18.5,0.58,0.339,0.704,10.2,17.4
N20000974,BELFAST EAST,16.6,0.58,0.323,0.697,9.9,17.3
N20000975,BELFAST EAST,21.2,0.58,0.361,0.714,10.6,17.7
N20000976,BELFAST EAST,28.4,0.58,0.419,0.74,11.6,18.2
N20000977,BELFAST EAST,14.7,0.58,0.308,0.69,9.6,17.2
N20000978,BELFAST EAST,24.1,0.58,0.384,0.724,11.0,17.9
N20000979,BELFAST EAST,15.8,0.58,0.317,0.694,9.8,17.2
N20000981,BELFAST EAST,14.7,0.58,0.308,0.69,9.6,17.2
N20000982,BELFAST EAST,17.7,0.58,0.332,0.701,10.1,17.4
N20000983,BELFAST EAST,17.5,0.58,0.331,0.7,10.0,17.4
N20000984,BELFAST EAST,24.3,0.58,0.386,0.725,11.0,17.9
N20000985,BELFAST EAST,21.0,0.58,0.359,0.713,10.5,17.6
N20000986,BELFAST EAST,9.7,0.58,0.267,0.672,9.0,16.8
N20000987,BELFAST EAST,7.5,0.58,0.25,0.664,8.7,16.6
N20000988,BELFAST EAST,12.9,0.58,0.293,0.684,9.4,17.0
N20000989,BELFAST EAST,2.3,0.58,0.207,0.645,8.1,16.2
N20000990,BELFAST EAST,6.9,0.58,0.245,0.662,8.6,16.6
N20000991,BELFAST EAST,9.2,0.58,0.263,0.67,8.9,16.7
N20000992,BELFAST EAST,12.0,0.58,0.286,0.68,9.3,16.9
N20000993,BELFAST EAST,11.0,0.58,0.278,0.677,9.2,16.9
N20000994,BELFAST EAST,3.9,0.58,0.22,0.651,8.3,16.3
N20000995,BELFAST EAST,22.4,0.58,0.37,0.718,10.7,17.7
N20000996,BELFAST EAST,4.4,0.58,0.224,0.653,8.3,16.4
N20000997,BELFAST EAST,18.3,0.58,0.337,0.703,10.1,17.4
N20000998,BELFAST EAST,15.1,0.58,0.311,0.692,9.7,17.2
N20001000,BELFAST EAST,5.6,0.58,0.234,0.657,8.5,16.5
N20001001,BELFAST EAST,15.7,0.58,0.316,0.694,9.8,17.2
N20001002,BELFAST EAST,8.2,0.58,0.255,0.667,8.8,16.7
N20001003,BELFAST EAST,6.8,0.58,0.244,0.662,8.6,16.5
N20001004,BELFAST EAST,1.4,0.58,0.2,0.642,8.0,16.1
N20001005,BELFAST EAST,16.7,0.58,0.324,0.697,9.9,17.3
N20001006,BELFAST EAST,10.9,0.58,0.277,0.676,9.1,16.9
N20001007,BELFAST EAST,10.9,0.58,0.277,0.676,9.1,16.9
N20001008,BELFAST EAST,7.8,0.58,0.252,0.665,8.7,16.6
N20001009,BELFAST EAST,8.2,0.58,0.255,0.667,8.8,16.7
N20001010,BELFAST EAST,23.5,0.58,0.379,0.722,10.9,17.8
N20001013,BELFAST EAST,7.4,0.58,0.249,0.664,8.7,16.6
N20001014,BELFAST EAST,5.4,0.58,0.233,0.656,8.5,16.4
N20001015,BELFAST EAST,11.1,0.58,0.279,0.677,9.2,16.9
N20001016,BELFAST EAST,9.9,0.58,0.269,0.673,9.0,16.8
N20001017,BELFAST EAST,17.4,0.58,0.33,0.7,10.0,17.4
N20001018,BELFAST EAST,7.8,0.58,0.252,0.665,8.7,16.6
N20001019,BELFAST EAST,21.4,0.58,0.362,0.715,10.6,17.7
N20001020,BELFAST EAST,11.2,0.58,0.28,0.678,9.2,16.9
N20001021,BELFAST SOUTH,35.4,0.76,0.549,0.861,14.2,20.8
N20001022,BELFAST EAST,9.0,0.58,0.262,0.67,8.9,16.7
N20001023,BELFAST EAST,17.4,0.58,0.33,0.7,10.0,17.4
N20001024,BELFAST SOUTH,59.4,0.76,0.717,0.913,17.7,22.0
N20001025,BELFAST EAST,15.7,0.58,0.316,0.694,9.8,17.2
N20001026,BELFAST SOUTH,25.0,0.76,0.477,0.839,12.8,20.4
N20001027,BELFAST SOUTH,39.5,0.76,0.578,0.87,14.8,21.0
N20001028,BELFAST EAST,16.7,0.58,0.324,0.697,9.9,17.3
N20001029,BELFAST SOUTH,34.9,0.76,0.546,0.86,14.1,20.8
N20001030,BELFAST SOUTH,42.2,0.76,0.597,0.876,15.2,21.2
N20001031,BELFAST EAST,11.9,0.58,0.285,0.68,9.3,16.9
N20001032,BELFAST SOUTH,28.9,0.76,0.504,0.847,13.3,20.5
N20001033,BELFAST EAST,10.0,0.58,0.27,0.673,9.0,16.8
N20001034,BELFAST EAST,9.3,0.58,0.264,0.671,8.9,16.7
N20001035,BELFAST SOUTH,60.0,0.76,0.721,0.914,17.8,22.0
N20001036,BELFAST SOUTH,23.8,0.76,0.468,0.837,12.6,20.3
N20001037,BELFAST SOUTH,35.8,0.76,0.552,0.862,14.3,20.9
N20001038,BELFAST EAST,15.9,0.58,0.318,0.695,9.8,17.2
N20001039,BELFAST EAST,10.7,0.58,0.276,0.676,9.1,16.8
N20001040,BELFAST EAST,4.4,0.58,0.224,0.653,8.3,16.4
N20001041,BELFAST EAST,11.1,0.58,0.279,0.677,9.2,16.9
N20001042,BELFAST SOUTH,57.1,0.76,0.701,0.908,17.4,21.9
N20001043,BELFAST EAST,9.2,0.58,0.263,0.67,8.9,16.7
N20001044,BELFAST EAST,10.6,0.58,0.275,0.675,9.1,16.8
N20001045,BELFAST EAST,10.5,0.58,0.274,0.675,9.1,16.8
N20001046,BELFAST EAST,11.7,0.58,0.284,0.679,9.2,16.9
N20001048,BELFAST EAST,9.2,0.58,0.263,0.67,8.9,16.7
N20001049,BELFAST SOUTH,17.1,0.76,0.421,0.822,11.7,20.0
N20001050,BELFAST SOUTH,13.5,0.76,0.396,0.814,11.2,19.8
N20001051,BELFAST EAST,8.0,0.58,0.254,0.666,8.8,16.6
N20001052,BELFAST SOUTH,19.6,0.76,0.439,0.828,12.0,20.1
N20001053,BELFAST SOUTH,27.8,0.76,0.496,0.845,13.1,20.5
N20001054,BELFAST EAST,12.4,0.58,0.289,0.682,9.3,17.0
N20001056,BELFAST EAST,10.9,0.58,0.277,0.676,9.1,16.9
N20001057,BELFAST SOUTH,58.3,0.76,0.709,0.911,17.6,21.9
N20001058,BELFAST EAST,4.6,0.58,0.226,0.654,8.4,16.4
N20001059,BELFAST SOUTH,40.7,0.76,0.586,0.873,15.0,21.1
N20001060,BELFAST EAST,15.4,0.58,0.314,0.693,9.7,17.2
N20001061,BELFAST SOUTH,62.3,0.76,0.737,0.919,18.1,22.1
N20001062,BELFAST SOUTH,70.3,0.76,0.793,0.936,19.3,22.5
N20001063,BELFAST SOUTH,50.7,0.76,0.656,0.894,16.4,21.6
N20001064,BELFAST SOUTH,50.2,0.76,0.652,0.893,16.4,21.5
N20001065,BELFAST SOUTH,9.5,0.76,0.368,0.806,10.7,19.6
N20001066,BELFAST SOUTH,47.6,0.76,0.634,0.888,16.0,21.4
N20001067,BELFAST EAST,13.8,0.58,0.301,0.687,9.5,17.1
N20001069,BELFAST SOUTH,65.3,0.76,0.758,0.926,18.6,22.2
N20001070,BELFAST SOUTH,61.6,0.76,0.732,0.918,18.0,22.1
N20001071,BELFAST SOUTH,68.9,0.76,0.783,0.933,19.1,22.4
N20001072,BELFAST SOUTH,65.5,0.76,0.759,0.926,18.6,22.2
N20001073,BELFAST SOUTH,76.8,0.76,0.838,0.95,20.3,22.8
N20001074,BELFAST SOUTH,38.9,0.76,0.574,0.869,14.7,21.0
N20001075,BELFAST SOUTH,65.9,0.76,0.762,0.927,18.7,22.3
N20001076,BELFAST SOUTH,70.7,0.76,0.796,0.937,19.4,22.5
N20001077,BELFAST SOUTH,48.6,0.76,0.641,0.89,16.1,21.5
N20001078,BELFAST SOUTH,45.5,0.76,0.62,0.883,15.7,21.3
N20001079,BELFAST SOUTH,55.6,0.76,0.69,0.905,17.1,21.8
N20001080,BELFAST SOUTH,30.2,0.76,0.513,0.85,13.5,20.6
N20001081,BELFAST SOUTH,57.5,0.76,0.703,0.909,17.4,21.9
N20001082,BELFAST SOUTH,88.4,0.76,0.919,0.975,22.1,23.3
N20001083,BELFAST SOUTH,91.0,0.76,0.937,0.981,22.5,23.5
N20001084,BELFAST SOUTH,18.3,0.76,0.43,0.825,11.9,20.0
N20001085,BELFAST SOUTH,29.2,0.76,0.506,0.848,13.3,20.5
N20001086,BELFAST SOUTH,76.2,0.76,0.834,0.949,20.2,22.8
N20001087,BELFAST SOUTH,24.2,0.76,0.471,0.837,12.6,20.3
N20001088,BELFAST SOUTH,24.7,0.76,0.474,0.838,12.7,20.3
N20001089,BELFAST SOUTH,5.3,0.76,0.339,0.797,10.2,19.4
N20001090,BELFAST SOUTH,23.1,0.76,0.463,0.835,12.5,20.3
N20001091,BELFAST SOUTH,14.1,0.76,0.401,0.816,11.3,19.8
N20001092,BELFAST SOUTH,7.5,0.76,0.354,0.802,10.5,19.5
N20001093,BELFAST SOUTH,4.9,0.76,0.336,0.796,10.1,19.4
N20001094,BELFAST SOUTH,84.2,0.76,0.89,0.966,21.5,23.1
N20001095,BELFAST SOUTH,13.1,0.76,0.394,0.814,11.2,19.8
N20001096,BELFAST SOUTH,15.9,0.76,0.413,0.82,11.5,19.9
N20001097,BELFAST SOUTH,11.9,0.76,0.385,0.811,11.0,19.7
N20001098,BELFAST SOUTH,17.2,0.76,0.422,0.822,11.7,20.0
N20001099,BELFAST SOUTH,33.7,0.76,0.537,0.858,14.0,20.8
N20001100,BELFAST SOUTH,14.3,0.76,0.402,0.816,11.3,19.9
N20001101,BELFAST SOUTH,40.3,0.76,0.583,0.872,14.9,21.1
N20001102,BELFAST SOUTH,28.1,0.76,0.498,0.846,13.2,20.5
N20001103,BELFAST SOUTH,44.9,0.76,0.615,0.882,15.6,21.3
N20001104,BELFAST SOUTH,15.1,0.76,0.407,0.818,11.4,19.9
N20001105,BELFAST SOUTH,55.7,0.76,0.691,0.905,17.2,21.8
N20001106,BELFAST SOUTH,21.5,0.76,0.452,0.832,12.3,20.2
N20001108,BELFAST SOUTH,27.9,0.76,0.497,0.845,13.2,20.5
N20001109,BELFAST SOUTH,77.8,0.76,0.845,0.952,20.5,22.8
N20001110,BELFAST SOUTH,48.3,0.76,0.639,0.889,16.1,21.4
N20001111,BELFAST SOUTH,9.5,0.76,0.368,0.806,10.7,19.6
N20001112,BELFAST SOUTH,45.2,0.76,0.618,0.882,15.6,21.3
N20001113,BELFAST SOUTH,63.2,0.76,0.743,0.921,18.3,22.1
N20001114,BELFAST SOUTH,66.8,0.76,0.768,0.929,18.8,22.3
N20001115,BELFAST SOUTH,40.6,0.76,0.585,0.873,15.0,21.1
N20001116,BELFAST SOUTH,11.1,0.76,0.38,0.809,10.9,19.7
N20001117,BELFAST SOUTH,13.9,0.76,0.399,0.815,11.3,19.8
N20001118,BELFAST SOUTH,72.3,0.76,0.807,0.941,19.6,22.6
N20001119,BELFAST SOUTH,56.4,0.76,0.696,0.906,17.3,21.8
N20001120,BELFAST SOUTH,64.4,0.76,0.752,0.924,18.5,22.2
N20001121,BELFAST SOUTH,63.6,0.76,0.746,0.922,18.3,22.2
N20001122,BELFAST SOUTH,44.0,0.76,0.609,0.88,15.4,21.2
N20001123,BELFAST SOUTH,39.4,0.76,0.577,0.87,14.8,21.0
N20001124,BELFAST SOUTH,45.3,0.76,0.618,0.883,15.6,21.3
N20001125,BELFAST SOUTH,34.3,0.76,0.541,0.859,14.1,20.8
N20001126,BELFAST SOUTH,32.5,0.76,0.529,0.855,13.8,20.7
N20001127,BELFAST SOUTH,69.4,0.76,0.786,0.934,19.2,22.4
N20001128,BELFAST SOUTH,23.7,0.76,0.468,0.836,12.6,20.3
N20001129,BELFAST SOUTH,22.8,0.76,0.461,0.834,12.5,20.2
N20001130,BELFAST SOUTH,81.4,0.76,0.87,0.96,21.0,23.0
N20001131,BELFAST SOUTH,67.0,0.76,0.77,0.929,18.9,22.3
N20001132,BELFAST SOUTH,43.7,0.76,0.607,0.879,15.4,21.2
N20001133,BELFAST SOUTH,38.7,0.76,0.572,0.868,14.7,21.0
N20001134,BELFAST SOUTH,59.9,0.76,0.72,0.914,17.8,22.0
N20001135,BELFAST SOUTH,50.4,0.76,0.654,0.894,16.4,21.5
N20001136,BELFAST SOUTH,45.7,0.76,0.621,0.884,15.7,21.3
N20001137,BELFAST SOUTH,49.2,0.76,0.645,0.891,16.2,21.5
N20001138,BELFAST SOUTH,53.0,0.76,0.672,0.899,16.8,21.7
N20001139,BELFAST SOUTH,42.8,0.76,0.601,0.877,15.3,21.2
N20001140,BELFAST SOUTH,39.1,0.76,0.575,0.869,14.7,21.0
N20001141,BELFAST SOUTH,60.3,0.76,0.723,0.915,17.8,22.0
N20001142,BELFAST SOUTH,42.2,0.76,0.597,0.876,15.2,21.2
N20001143,BELFAST SOUTH,46.6,0.76,0.627,0.885,15.8,21.4
N20001144,BELFAST SOUTH,47.6,0.76,0.634,0.888,16.0,21.4
N20001145,BELFAST SOUTH,54.9,0.76,0.685,0.903,17.0,21.8
N20001147,BELFAST SOUTH,21.5,0.76,0.452,0.832,12.3,20.2
N20001148,BELFAST SOUTH,38.1,0.76,0.568,0.867,14.6,21.0
N20001149,BELFAST SOUTH,38.4,0.76,0.57,0.868,14.6,21.0
