DZ21,con,catholic_bg_pct,unity,lo90,hi90
N20000970,BELFAST EAST,17.7,27.1,23.8,30.6
N20000971,BELFAST EAST,15.0,25.6,22.2,29.0
N20000972,BELFAST EAST,32.6,35.6,32.4,38.8
N20000973,BELFAST EAST,18.5,27.6,24.2,31.0
N20000974,BELFAST EAST,16.6,26.5,23.1,30.0
N20000975,BELFAST EAST,21.2,29.1,25.9,32.4
N20000976,BELFAST EAST,28.4,33.2,30.1,36.4
N20000977,BELFAST EAST,14.7,25.4,22.0,28.9
N20000978,BELFAST EAST,24.1,30.8,27.6,34.0
N20000979,BELFAST EAST,15.8,26.1,22.6,29.5
N20000981,BELFAST EAST,14.7,25.4,22.0,28.9
N20000982,BELFAST EAST,17.7,27.1,23.8,30.6
N20000983,BELFAST EAST,17.5,27.0,23.6,30.5
N20000984,BELFAST EAST,24.3,30.9,27.7,34.1
N20000985,BELFAST EAST,21.0,29.0,25.7,32.3
N20000986,BELFAST EAST,9.7,22.6,19.0,26.1
N20000987,BELFAST EAST,7.5,21.4,17.7,24.9
N20000988,BELFAST EAST,12.9,24.4,20.9,27.9
N20000989,BELFAST EAST,2.3,18.4,14.6,22.1
N20000990,BELFAST EAST,6.9,21.0,17.3,24.6
N20000991,BELFAST EAST,9.2,22.3,18.7,25.8
N20000992,BELFAST EAST,12.0,23.9,20.4,27.4
N20000993,BELFAST EAST,11.0,23.3,19.8,26.8
N20000994,BELFAST EAST,3.9,19.3,15.5,22.9
N20000995,BELFAST EAST,22.4,29.8,26.6,33.1
N20000996,BELFAST EAST,4.4,19.6,15.8,23.2
N20000997,BELFAST EAST,18.3,27.5,24.1,30.9
N20000998,BELFAST EAST,15.1,25.7,22.2,29.1
N20001000,BELFAST EAST,5.6,20.3,16.5,23.9
N20001001,BELFAST EAST,15.7,26.0,22.6,29.5
N20001002,BELFAST EAST,8.2,21.8,18.1,25.3
N20001003,BELFAST EAST,6.8,21.0,17.2,24.5
N20001004,BELFAST EAST,1.4,17.9,14.1,21.7
N20001005,BELFAST EAST,16.7,26.6,23.2,30.1
N20001006,BELFAST EAST,10.9,23.3,19.7,26.8
N20001007,BELFAST EAST,10.9,23.3,19.7,26.8
N20001008,BELFAST EAST,7.8,21.5,17.8,25.0
N20001009,BELFAST EAST,8.2,21.8,18.1,25.3
N20001010,BELFAST EAST,23.5,30.4,27.2,33.7
N20001013,BELFAST EAST,7.4,21.3,17.6,24.8
N20001014,BELFAST EAST,5.4,20.2,16.4,23.8
N20001015,BELFAST EAST,11.1,23.4,19.8,26.9
N20001016,BELFAST EAST,9.9,22.7,19.1,26.2
N20001017,BELFAST EAST,17.4,27.0,23.6,30.5
N20001018,BELFAST EAST,7.8,21.5,17.8,25.0
N20001019,BELFAST EAST,21.4,29.2,26.0,32.5
N20001020,BELFAST EAST,11.2,23.4,19.9,27.0
N20001021,BELFAST SOUTH,35.4,37.2,34.0,40.4
N20001022,BELFAST EAST,9.0,22.2,18.6,25.7
N20001023,BELFAST EAST,17.4,27.0,23.6,30.5
N20001024,BELFAST SOUTH,59.4,50.7,47.6,54.2
N20001025,BELFAST EAST,15.7,26.0,22.6,29.5
N20001026,BELFAST SOUTH,25.0,31.3,28.1,34.5
N20001027,BELFAST SOUTH,39.5,39.5,36.3,42.7
N20001028,BELFAST EAST,16.7,26.6,23.2,30.1
N20001029,BELFAST SOUTH,34.9,36.9,33.7,40.1
N20001030,BELFAST SOUTH,42.2,41.0,37.9,44.2
N20001031,BELFAST EAST,11.9,23.8,20.3,27.4
N20001032,BELFAST SOUTH,28.9,33.5,30.4,36.7
N20001033,BELFAST EAST,10.0,22.8,19.2,26.3
N20001034,BELFAST EAST,9.3,22.4,18.8,25.9
N20001035,BELFAST SOUTH,60.0,51.1,47.9,54.5
N20001036,BELFAST SOUTH,23.8,30.6,27.4,33.8
N20001037,BELFAST SOUTH,35.8,37.4,34.2,40.7
N20001038,BELFAST EAST,15.9,26.1,22.7,29.6
N20001039,BELFAST EAST,10.7,23.2,19.6,26.7
N20001040,BELFAST EAST,4.4,19.6,15.8,23.2
N20001041,BELFAST EAST,11.1,23.4,19.8,26.9
N20001042,BELFAST SOUTH,57.1,49.4,46.3,52.8
N20001043,BELFAST EAST,9.2,22.3,18.7,25.8
N20001044,BELFAST EAST,10.6,23.1,19.5,26.6
N20001045,BELFAST EAST,10.5,23.1,19.5,26.6
N20001046,BELFAST EAST,11.7,23.7,20.2,27.2
N20001048,BELFAST EAST,9.2,22.3,18.7,25.8
N20001049,BELFAST SOUTH,17.1,26.8,23.4,30.3
N20001050,BELFAST SOUTH,13.5,24.8,21.3,28.2
N20001051,BELFAST EAST,8.0,21.6,18.0,25.1
N20001052,BELFAST SOUTH,19.6,28.2,24.9,31.6
N20001053,BELFAST SOUTH,27.8,32.8,29.8,36.1
N20001054,BELFAST EAST,12.4,24.1,20.6,27.6
N20001056,BELFAST EAST,10.9,23.3,19.7,26.8
N20001057,BELFAST SOUTH,58.3,50.1,47.0,53.6
N20001058,BELFAST EAST,4.6,19.7,15.9,23.3
N20001059,BELFAST SOUTH,40.7,40.2,37.0,43.3
N20001060,BELFAST EAST,15.4,25.8,22.4,29.3
N20001061,BELFAST SOUTH,62.3,52.4,49.2,55.9
N20001062,BELFAST SOUTH,70.3,56.9,53.6,60.5
N20001063,BELFAST SOUTH,50.7,45.8,42.8,49.1
N20001064,BELFAST SOUTH,50.2,45.5,42.5,48.8
N20001065,BELFAST SOUTH,9.5,22.5,18.9,26.0
N20001066,BELFAST SOUTH,47.6,44.1,41.0,47.3
N20001067,BELFAST EAST,13.8,24.9,21.5,28.4
N20001069,BELFAST SOUTH,65.3,54.1,50.9,57.6
N20001070,BELFAST SOUTH,61.6,52.0,48.8,55.5
N20001071,BELFAST SOUTH,68.9,56.1,52.8,59.7
N20001072,BELFAST SOUTH,65.5,54.2,51.0,57.7
N20001073,BELFAST SOUTH,76.8,60.6,57.2,64.2
N20001074,BELFAST SOUTH,38.9,39.1,36.0,42.3
N20001075,BELFAST SOUTH,65.9,54.4,51.2,58.0
N20001076,BELFAST SOUTH,70.7,57.1,53.8,60.8
N20001077,BELFAST SOUTH,48.6,44.6,41.6,47.8
N20001078,BELFAST SOUTH,45.5,42.9,39.8,46.0
N20001079,BELFAST SOUTH,55.6,48.6,45.5,51.9
N20001080,BELFAST SOUTH,30.2,34.2,31.1,37.4
N20001081,BELFAST SOUTH,57.5,49.7,46.5,53.1
N20001082,BELFAST SOUTH,88.4,67.2,63.4,70.8
N20001083,BELFAST SOUTH,91.0,68.6,64.8,72.4
N20001084,BELFAST SOUTH,18.3,27.5,24.1,30.9
N20001085,BELFAST SOUTH,29.2,33.6,30.5,36.9
N20001086,BELFAST SOUTH,76.2,60.3,56.9,63.9
N20001087,BELFAST SOUTH,24.2,30.8,27.6,34.1
N20001088,BELFAST SOUTH,24.7,31.1,27.9,34.3
N20001089,BELFAST SOUTH,5.3,20.1,16.3,23.7
N20001090,BELFAST SOUTH,23.1,30.2,27.0,33.4
N20001091,BELFAST SOUTH,14.1,25.1,21.6,28.6
N20001092,BELFAST SOUTH,7.5,21.4,17.7,24.9
N20001093,BELFAST SOUTH,4.9,19.9,16.1,23.5
N20001094,BELFAST SOUTH,84.2,64.8,61.3,68.4
N20001095,BELFAST SOUTH,13.1,24.5,21.0,28.0
N20001096,BELFAST SOUTH,15.9,26.1,22.7,29.6
N20001097,BELFAST SOUTH,11.9,23.8,20.3,27.4
N20001098,BELFAST SOUTH,17.2,26.8,23.5,30.4
N20001099,BELFAST SOUTH,33.7,36.2,33.0,39.4
N20001100,BELFAST SOUTH,14.3,25.2,21.8,28.7
N20001101,BELFAST SOUTH,40.3,39.9,36.8,43.1
N20001102,BELFAST SOUTH,28.1,33.0,29.9,36.3
N20001103,BELFAST SOUTH,44.9,42.5,39.5,45.7
N20001104,BELFAST SOUTH,15.1,25.7,22.2,29.1
N20001105,BELFAST SOUTH,55.7,48.6,45.5,52.0
N20001106,BELFAST SOUTH,21.5,29.3,26.0,32.6
N20001108,BELFAST SOUTH,27.9,32.9,29.8,36.1
N20001109,BELFAST SOUTH,77.8,61.2,57.8,64.8
N20001110,BELFAST SOUTH,48.3,44.5,41.4,47.7
N20001111,BELFAST SOUTH,9.5,22.5,18.9,26.0
N20001112,BELFAST SOUTH,45.2,42.7,39.6,45.9
N20001113,BELFAST SOUTH,63.2,52.9,49.7,56.4
N20001114,BELFAST SOUTH,66.8,54.9,51.7,58.5
N20001115,BELFAST SOUTH,40.6,40.1,37.0,43.3
N20001116,BELFAST SOUTH,11.1,23.4,19.8,26.9
N20001117,BELFAST SOUTH,13.9,25.0,21.5,28.4
N20001118,BELFAST SOUTH,72.3,58.0,54.7,61.6
N20001119,BELFAST SOUTH,56.4,49.0,45.9,52.4
N20001120,BELFAST SOUTH,64.4,53.6,50.4,57.1
N20001121,BELFAST SOUTH,63.6,53.1,49.9,56.7
N20001122,BELFAST SOUTH,44.0,42.0,38.9,45.2
N20001123,BELFAST SOUTH,39.4,39.4,36.3,42.6
N20001124,BELFAST SOUTH,45.3,42.8,39.7,45.9
N20001125,BELFAST SOUTH,34.3,36.5,33.4,39.8
N20001126,BELFAST SOUTH,32.5,35.5,32.3,38.8
N20001127,BELFAST SOUTH,69.4,56.4,53.1,60.0
N20001128,BELFAST SOUTH,23.7,30.5,27.3,33.8
N20001129,BELFAST SOUTH,22.8,30.0,26.8,33.3
N20001130,BELFAST SOUTH,81.4,63.2,59.7,66.8
N20001131,BELFAST SOUTH,67.0,55.0,51.8,58.6
N20001132,BELFAST SOUTH,43.7,41.9,38.8,45.0
N20001133,BELFAST SOUTH,38.7,39.0,35.9,42.2
N20001134,BELFAST SOUTH,59.9,51.0,47.9,54.5
N20001135,BELFAST SOUTH,50.4,45.6,42.6,48.9
N20001136,BELFAST SOUTH,45.7,43.0,39.9,46.2
N20001137,BELFAST SOUTH,49.2,45.0,41.9,48.2
N20001138,BELFAST SOUTH,53.0,47.1,44.0,50.4
N20001139,BELFAST SOUTH,42.8,41.3,38.2,44.5
N20001140,BELFAST SOUTH,39.1,39.2,36.1,42.4
N20001141,BELFAST SOUTH,60.3,51.2,48.1,54.7
N20001142,BELFAST SOUTH,42.2,41.0,37.9,44.2
N20001143,BELFAST SOUTH,46.6,43.5,40.4,46.7
N20001144,BELFAST SOUTH,47.6,44.1,41.0,47.3
N20001145,BELFAST SOUTH,54.9,48.2,45.1,51.5
N20001147,BELFAST SOUTH,21.5,29.3,26.0,32.6
N20001148,BELFAST SOUTH,38.1,38.7,35.5,41.9
N20001149,BELFAST SOUTH,38.4,38.8,35.7,42.1
N20001150,BELFAST SOUTH,46.7,43.5,40.5,46.7
N20001151,BELFAST SOUTH,47.5,44.0,40.9,47.2
N20001152,BELFAST SOUTH,46.1,43.2,40.1,46.4
N20001153,BELFAST SOUTH,46.2,43.3,40.2,46.4
N20001154,BELFAST SOUTH,49.3,45.0,42.0,48.2
N20001155,BELFAST SOUTH,53.7,47.5,44.4,50.8
N20001156,BELFAST SOUTH,44.1,42.1,39.0,45.3
N20001157,BELFAST SOUTH,48.6,44.6,41.6,47.8
N20001158,BELFAST SOUTH,65.8,54.4,51.1,57.9
N20001159,BELFAST SOUTH,57.1,49.4,46.3,52.8
N20001160,BELFAST SOUTH,61.8,52.1,48.9,55.6
N20001161,BELFAST SOUTH,54.4,47.9,44.8,51.2
N20001162,BELFAST SOUTH,44.4,42.2,39.2,45.4
N20001163,BELFAST SOUTH,51.6,46.3,43.3,49.6
N20001164,BELFAST SOUTH,63.9,53.3,50.1,56.8
N20001165,BELFAST SOUTH,59.7,50.9,47.7,54.4
N20001166,BELFAST SOUTH,68.7,56.0,52.7,59.6
N20001167,BELFAST SOUTH,54.8,48.1,45.0,51.5
N20001168,BELFAST SOUTH,50.3,45.6,42.5,48.8
N20001169,BELFAST SOUTH,56.1,48.9,45.7,52.2
N20001170,BELFAST SOUTH,53.0,47.1,44.0,50.4
N20001171,BELFAST SOUTH,47.2,43.8,40.7,47.0
N20001172,BELFAST SOUTH,40.1,39.8,36.7,43.0
N20001173,BELFAST SOUTH,47.7,44.1,41.0,47.3
N20001174,BELFAST SOUTH,52.9,47.1,44.0,50.4
N20001175,BELFAST SOUTH,46.7,43.5,40.5,46.7
N20001176,BELFAST SOUTH,58.7,50.3,47.2,53.8
N20001177,BELFAST SOUTH,57.2,49.5,46.4,52.9
N20001178,BELFAST SOUTH,48.2,44.4,41.3,47.6
N20001179,BELFAST SOUTH,60.0,51.1,47.9,54.5
N20001180,BELFAST SOUTH,61.3,51.8,48.6,55.3
N20001181,BELFAST SOUTH,56.9,49.3,46.2,52.7
N20001182,BELFAST SOUTH,59.6,50.9,47.7,54.3
N20001183,BELFAST SOUTH,64.5,53.6,50.4,57.2
N20001184,BELFAST SOUTH,74.5,59.3,55.9,62.9
N20001185,BELFAST SOUTH,55.7,48.6,45.5,52.0
N20001186,BELFAST SOUTH,69.6,56.5,53.2,60.1
N20001187,BELFAST SOUTH,57.2,49.5,46.4,52.9
N20001188,BELFAST SOUTH,68.8,56.1,52.8,59.7
N20001189,BELFAST SOUTH,71.0,57.3,54.0,60.9
N20001190,BELFAST SOUTH,91.1,68.7,64.9,72.4
N20001191,BELFAST SOUTH,69.8,56.6,53.3,60.2
N20001192,BELFAST SOUTH,92.4,69.4,65.6,73.2
N20001193,BELFAST SOUTH,74.1,59.1,55.7,62.6
N20001194,BELFAST SOUTH,46.2,43.3,40.2,46.4
N20001195,BELFAST SOUTH,74.5,59.3,55.9,62.9
N20001196,BELFAST SOUTH,60.4,51.3,48.1,54.8
N20001197,BELFAST SOUTH,92.6,69.5,65.7,73.3
N20001198,BELFAST SOUTH,65.1,54.0,50.8,57.5
N20001199,BELFAST SOUTH,57.5,49.7,46.5,53.1
N20001200,BELFAST SOUTH,50.3,45.6,42.5,48.8
N20001201,BELFAST SOUTH,37.8,38.5,35.3,41.7
N20001202,BELFAST SOUTH,69.2,56.3,53.0,59.9
N20001203,BELFAST SOUTH,19.1,27.9,24.6,31.3
N20001204,BELFAST SOUTH,87.2,66.5,62.8,70.1
N20001205,BELFAST SOUTH,30.2,34.2,31.1,37.4
N20001206,BELFAST SOUTH,13.6,24.8,21.3,28.3
N20001207,BELFAST SOUTH,5.1,20.0,16.2,23.6
N20001208,BELFAST SOUTH,3.8,19.3,15.5,22.9
N20001209,BELFAST SOUTH,43.2,41.6,38.5,44.8
N20001210,BELFAST SOUTH,15.9,26.1,22.7,29.6
N20001211,BELFAST SOUTH,14.1,25.1,21.6,28.6
N20001212,BELFAST SOUTH,93.0,69.8,66.0,73.5
N20001213,BELFAST SOUTH,22.8,30.0,26.8,33.3
N20001214,BELFAST SOUTH,36.6,37.8,34.7,41.1
N20001215,BELFAST SOUTH,13.1,24.5,21.0,28.0
N20001216,BELFAST SOUTH,34.5,36.6,33.5,39.9
N20001217,BELFAST SOUTH,31.2,34.8,31.6,38.0
N20001218,BELFAST SOUTH,52.7,46.9,43.9,50.3
N20001219,BELFAST SOUTH,35.5,37.2,34.0,40.5
N20001220,BELFAST SOUTH,19.2,28.0,24.7,31.4
N20001221,BELFAST SOUTH,44.1,42.1,39.0,45.3
N20001222,BELFAST SOUTH,11.7,23.7,20.2,27.2
N20001223,BELFAST SOUTH,13.9,25.0,21.5,28.4
N20001224,BELFAST SOUTH,7.8,21.5,17.8,25.0
N20001225,BELFAST SOUTH,9.5,22.5,18.9,26.0
N20001226,BELFAST SOUTH,44.4,42.2,39.2,45.4
N20001227,BELFAST SOUTH,9.8,22.7,19.0,26.2
N20001228,BELFAST SOUTH,8.7,22.0,18.4,25.5
N20001229,BELFAST SOUTH,9.6,22.5,18.9,26.1
N20001230,BELFAST SOUTH,65.5,54.2,51.0,57.7
N20001231,LAGAN VALLEY,48.0,44.3,41.2,47.5
N20001232,BELFAST SOUTH,22.4,29.8,26.6,33.1
N20001233,BELFAST SOUTH,51.1,46.0,43.0,49.3
N20001234,LAGAN VALLEY,27.1,32.5,29.4,35.7
N20001235,BELFAST WEST,90.6,68.4,64.6,72.1
N20001239,BELFAST WEST,92.4,69.4,65.6,73.2
N20001240,BELFAST WEST,89.0,67.5,63.7,71.2
N20001241,BELFAST WEST,97.0,72.0,68.1,75.9
N20001242,BELFAST WEST,91.3,68.8,65.0,72.5
N20001246,BELFAST WEST,97.1,72.1,68.1,76.0
N20001247,BELFAST WEST,88.5,67.2,63.5,70.9
N20001248,BELFAST WEST,91.2,68.7,64.9,72.5
N20001249,BELFAST WEST,22.4,29.8,26.6,33.1
N20001250,BELFAST WEST,95.2,71.0,67.1,74.8
N20001251,BELFAST WEST,94.7,70.7,66.8,74.5
N20001252,BELFAST WEST,93.6,70.1,66.3,73.9
N20001253,BELFAST WEST,94.2,70.4,66.6,74.2
N20001254,BELFAST WEST,77.5,61.0,57.6,64.6
N20001255,BELFAST WEST,91.8,69.1,65.3,72.8
N20001256,BELFAST WEST,93.5,70.0,66.2,73.8
N20001257,BELFAST WEST,96.3,71.6,67.7,75.5
N20001258,BELFAST WEST,98.1,72.7,68.6,76.6
N20001259,BELFAST WEST,96.4,71.7,67.8,75.6
N20001260,BELFAST WEST,91.8,69.1,65.3,72.8
N20001261,BELFAST WEST,93.4,70.0,66.2,73.8
N20001262,BELFAST WEST,91.9,69.1,65.3,72.9
N20001263,BELFAST WEST,93.8,70.2,66.4,74.0
N20001264,BELFAST WEST,94.1,70.4,66.5,74.2
N20001265,BELFAST WEST,95.1,71.0,67.0,74.8
N20001266,BELFAST WEST,93.1,69.8,66.0,73.6
N20001267,BELFAST WEST,87.3,66.5,62.9,70.2
N20001268,BELFAST WEST,92.9,69.7,65.9,73.5
N20001269,BELFAST WEST,90.0,68.1,64.3,71.8
N20001270,BELFAST WEST,91.9,69.1,65.3,72.9
N20001271,BELFAST WEST,82.8,64.0,60.5,67.6
N20001272,BELFAST WEST,93.2,69.9,66.1,73.6
N20001273,BELFAST WEST,93.5,70.0,66.2,73.8
N20001274,BELFAST WEST,80.1,62.5,59.0,66.1
N20001275,BELFAST WEST,65.7,54.3,51.1,57.9
N20001276,BELFAST WEST,91.1,68.7,64.9,72.4
N20001277,BELFAST WEST,93.2,69.9,66.1,73.6
N20001278,BELFAST WEST,90.4,68.3,64.5,72.0
N20001279,BELFAST WEST,92.3,69.4,65.6,73.1
N20001280,BELFAST WEST,74.1,59.1,55.7,62.6
N20001281,BELFAST WEST,78.9,61.8,58.4,65.4
N20001282,BELFAST WEST,94.8,70.8,66.9,74.6
N20001283,BELFAST WEST,90.8,68.5,64.7,72.2
N20001285,BELFAST WEST,65.6,54.2,51.0,57.8
N20001286,BELFAST WEST,89.5,67.8,64.0,71.5
N20001287,BELFAST WEST,93.5,70.0,66.2,73.8
N20001288,BELFAST WEST,95.9,71.4,67.5,75.3
N20001289,BELFAST WEST,53.5,47.4,44.3,50.7
N20001290,BELFAST WEST,97.0,72.0,68.1,75.9
N20001291,BELFAST WEST,94.0,70.3,66.5,74.1
N20001292,LAGAN VALLEY,28.0,33.0,29.9,36.2
N20001294,LAGAN VALLEY,24.7,31.1,27.9,34.3
N20001296,LAGAN VALLEY,30.2,34.2,31.1,37.4
N20001297,BELFAST WEST,91.7,69.0,65.2,72.8
N20001298,BELFAST WEST,94.1,70.4,66.5,74.2
N20001300,BELFAST WEST,90.4,68.3,64.5,72.0
N20001301,BELFAST WEST,95.6,71.2,67.3,75.1
N20001303,BELFAST WEST,86.1,65.9,62.3,69.5
N20001304,BELFAST WEST,88.8,67.4,63.6,71.1
N20001305,BELFAST WEST,95.8,71.3,67.4,75.2
N20001306,BELFAST WEST,94.1,70.4,66.5,74.2
N20001307,BELFAST WEST,73.3,58.6,55.3,62.2
N20001308,BELFAST WEST,93.7,70.2,66.3,73.9
N20001309,BELFAST WEST,93.6,70.1,66.3,73.9
N20001310,BELFAST WEST,92.8,69.6,65.9,73.4
N20001311,BELFAST WEST,85.6,65.6,62.0,69.2
N20001312,BELFAST WEST,83.1,64.2,60.7,67.8
N20001313,BELFAST WEST,94.2,70.4,66.6,74.2
N20001314,BELFAST WEST,95.8,71.3,67.4,75.2
N20001315,BELFAST WEST,81.5,63.3,59.8,66.8
N20001316,BELFAST WEST,91.1,68.7,64.9,72.4
N20001318,BELFAST WEST,92.5,69.5,65.7,73.2
N20001319,BELFAST WEST,89.3,67.7,63.9,71.4
N20001320,BELFAST WEST,93.6,70.1,66.3,73.9
N20001321,BELFAST WEST,89.0,67.5,63.7,71.2
N20001322,BELFAST WEST,88.8,67.4,63.6,71.1
N20001323,BELFAST WEST,95.4,71.1,67.2,75.0
N20001324,BELFAST WEST,87.2,66.5,62.8,70.1
N20001325,BELFAST WEST,96.4,71.7,67.8,75.6
N20001326,BELFAST WEST,96.8,71.9,68.0,75.8
N20001327,BELFAST WEST,95.3,71.1,67.2,74.9
N20001328,BELFAST WEST,88.3,67.1,63.4,70.8
N20001329,BELFAST WEST,93.2,69.9,66.1,73.6
N20001330,BELFAST WEST,90.9,68.6,64.8,72.3
N20001333,BELFAST WEST,91.8,69.1,65.3,72.8
N20001334,BELFAST WEST,95.0,70.9,67.0,74.7
N20001335,BELFAST WEST,92.8,69.6,65.9,73.4
N20001336,BELFAST WEST,89.5,67.8,64.0,71.5
N20001338,BELFAST WEST,87.3,66.5,62.9,70.2
N20001339,BELFAST WEST,95.6,71.2,67.3,75.1
N20001340,BELFAST WEST,93.3,69.9,66.1,73.7
N20001342,BELFAST WEST,94.7,70.7,66.8,74.5
N20001343,BELFAST WEST,94.8,70.8,66.9,74.6
N20001345,BELFAST WEST,92.3,69.4,65.6,73.1
N20001346,BELFAST WEST,91.3,68.8,65.0,72.5
N20001347,BELFAST WEST,91.2,68.7,64.9,72.5
N20001348,BELFAST WEST,91.8,69.1,65.3,72.8
N20001351,BELFAST WEST,93.3,69.9,66.1,73.7
N20001352,BELFAST WEST,94.0,70.3,66.5,74.1
N20001354,BELFAST WEST,92.1,69.3,65.4,73.0
N20001356,BELFAST WEST,96.3,71.6,67.7,75.5
N20001358,BELFAST WEST,92.2,69.3,65.5,73.0
N20001359,BELFAST WEST,95.3,71.1,67.2,74.9
N20001360,BELFAST WEST,94.9,70.8,66.9,74.7
N20001361,BELFAST WEST,96.4,71.7,67.8,75.6
N20001362,BELFAST WEST,95.0,70.9,67.0,74.7
N20001363,BELFAST WEST,95.6,71.2,67.3,75.1
N20001365,BELFAST WEST,86.4,66.0,62.4,69.7
N20001366,BELFAST WEST,96.0,71.5,67.5,75.3
N20001368,BELFAST WEST,91.8,69.1,65.3,72.8
N20001370,BELFAST WEST,4.3,19.5,15.7,23.2
N20001371,BELFAST NORTH,31.8,35.1,31.9,38.3
N20001373,BELFAST NORTH,43.0,41.5,38.4,44.6
N20001375,BELFAST NORTH,2.0,18.2,14.4,22.0
N20001376,BELFAST WEST,8.1,21.7,18.0,25.2
N20001377,BELFAST NORTH,14.9,25.5,22.1,29.0
N20001378,BELFAST WEST,12.1,24.0,20.4,27.5
N20001379,BELFAST WEST,6.3,20.7,16.9,24.3
N20001380,BELFAST WEST,4.8,19.8,16.0,23.5
N20001381,BELFAST NORTH,3.7,19.2,15.4,22.8
N20001382,BELFAST NORTH,5.3,20.1,16.3,23.7
N20001383,BELFAST NORTH,9.0,22.2,18.6,25.7
N20001384,BELFAST NORTH,5.2,20.1,16.3,23.7
N20001385,BELFAST NORTH,14.6,25.4,22.0,28.8
N20001386,BELFAST WEST,6.3,20.7,16.9,24.3
N20001388,BELFAST WEST,4.4,19.6,15.8,23.2
N20001389,BELFAST WEST,5.6,20.3,16.5,23.9
N20001391,BELFAST WEST,3.1,18.9,15.1,22.5
N20001392,BELFAST WEST,4.8,19.8,16.0,23.5
N20001393,BELFAST NORTH,2.3,18.4,14.6,22.1
N20001394,BELFAST NORTH,10.5,23.1,19.5,26.6
N20001395,BELFAST NORTH,7.0,21.1,17.4,24.6
N20001396,BELFAST WEST,11.1,23.4,19.8,26.9
N20001397,BELFAST NORTH,8.9,22.1,18.5,25.7
N20001398,BELFAST WEST,6.1,20.6,16.8,24.2
N20001399,BELFAST NORTH,3.2,18.9,15.1,22.6
N20001400,BELFAST NORTH,11.4,23.6,20.0,27.1
N20001401,BELFAST WEST,11.1,23.4,19.8,26.9
N20001402,BELFAST WEST,15.0,25.6,22.2,29.0
N20001404,BELFAST NORTH,7.5,21.4,17.7,24.9
N20001405,BELFAST WEST,3.1,18.9,15.1,22.5
N20001406,BELFAST WEST,5.0,19.9,16.2,23.6
N20001407,BELFAST WEST,8.5,21.9,18.3,25.4
N20001408,BELFAST WEST,5.3,20.1,16.3,23.7
N20001409,BELFAST WEST,1.1,17.7,13.9,21.5
N20001410,BELFAST WEST,2.0,18.2,14.4,22.0
N20001411,BELFAST WEST,6.7,20.9,17.2,24.5
N20001412,BELFAST WEST,6.0,20.5,16.8,24.1
N20001413,BELFAST NORTH,22.5,29.8,26.6,33.1
N20001415,BELFAST WEST,4.1,19.4,15.6,23.1
N20001416,BELFAST WEST,4.8,19.8,16.0,23.5
N20001418,BELFAST WEST,45.5,42.9,39.8,46.0
N20001420,BELFAST WEST,85.4,65.5,61.9,69.1
N20001421,BELFAST WEST,70.9,57.3,53.9,60.9
N20001422,BELFAST WEST,65.2,54.0,50.8,57.6
N20001423,BELFAST WEST,86.6,66.1,62.5,69.8
N20001424,BELFAST WEST,9.3,22.4,18.8,25.9
N20001425,BELFAST WEST,78.9,61.8,58.4,65.4
N20001426,BELFAST WEST,91.6,69.0,65.2,72.7
N20001427,BELFAST WEST,90.9,68.6,64.8,72.3
N20001428,BELFAST WEST,83.5,64.4,60.9,68.0
N20001429,BELFAST WEST,93.5,70.0,66.2,73.8
N20001430,BELFAST WEST,80.2,62.5,59.1,66.1
N20001431,BELFAST WEST,90.5,68.3,64.6,72.1
N20001434,BELFAST WEST,92.0,69.2,65.4,72.9
N20001435,BELFAST WEST,80.1,62.5,59.0,66.1
N20001437,BELFAST WEST,90.2,68.2,64.4,71.9
N20001438,BELFAST WEST,95.2,71.0,67.1,74.8
N20001439,BELFAST WEST,82.4,63.8,60.3,67.4
N20001441,BELFAST WEST,80.7,62.8,59.4,66.4
N20001442,BELFAST WEST,94.9,70.8,66.9,74.7
N20001443,BELFAST WEST,88.8,67.4,63.6,71.1
N20001444,BELFAST WEST,95.0,70.9,67.0,74.7
N20001445,BELFAST WEST,81.5,63.3,59.8,66.8
N20001446,EAST LONDONDERRY,30.5,34.4,31.2,37.6
N20001447,EAST LONDONDERRY,57.4,49.6,46.5,53.0
N20001449,EAST LONDONDERRY,55.1,48.3,45.2,51.6
N20001450,EAST LONDONDERRY,58.3,50.1,47.0,53.6
N20001451,EAST LONDONDERRY,57.8,49.8,46.7,53.3
N20001452,EAST LONDONDERRY,57.7,49.8,46.6,53.2
N20001453,EAST LONDONDERRY,68.1,55.7,52.4,59.3
N20001456,EAST LONDONDERRY,91.6,69.0,65.2,72.7
N20001457,EAST LONDONDERRY,19.0,27.9,24.5,31.3
N20001458,EAST LONDONDERRY,63.5,53.1,49.9,56.6
N20001460,EAST LONDONDERRY,77.3,60.9,57.5,64.5
N20001461,EAST LONDONDERRY,39.2,39.3,36.2,42.5
N20001462,EAST LONDONDERRY,85.2,65.3,61.8,69.0
N20001465,EAST LONDONDERRY,73.0,58.4,55.1,62.0
N20001466,EAST LONDONDERRY,62.7,52.6,49.4,56.1
N20001467,EAST LONDONDERRY,8.7,22.0,18.4,25.5
N20001470,EAST LONDONDERRY,89.3,67.7,63.9,71.4
N20001472,EAST LONDONDERRY,95.1,71.0,67.0,74.8
N20001473,EAST LONDONDERRY,93.3,69.9,66.1,73.7
N20001474,EAST LONDONDERRY,88.7,67.3,63.6,71.0
