id,title,provider,licenseTitle,scope
already-on-site-review:177,NUTS2 Boundaries Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:178,NUTS3 Boundaries Generalised 100m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:179,NUTS3 Boundaries Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:180,NUTS3 Boundaries Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:181,NUTS3 Boundaries Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:182,Rural Areas - National Statutory Boundaries - 2019,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:183,Rural Areas - National Statutory Boundaries - 2019 - Generalised 20m,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:184,Rural Areas - National Statutory Boundaries - Ungeneralised - 2024,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:185,Rural Areas - National Statutory Boundaries - Ungeneralised 2026,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:186,Settlements Generalised 100m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:187,Settlements Generalised 20m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:188,Settlements Generalised 50m - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:189,Settlements Ungeneralised - National Statistical Boundaries - 2015,Tailte/OSI/data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:190,Cities and Suburbs,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:191,Coastal Monitoring Project 2004 - 2006,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:192,Commonage GIS Dataset,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:193,Covid19CommunityCallReporter,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:194,EIA Location Point,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:195,Grasslands Monitoring Project 2006,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:196,GZT Current Plan,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:197,"Harbour porpoise SACs survey, 2013",data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:198,Harbour Porpoise Surveys 2008,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:199,Lesser Horseshoe bat database records,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:200,Margaritifera Sensitive Areas Map,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:201,Metropolitan Areas,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:202,National Frog Survey of Ireland 2010 - 2011,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:203,National Hare Survey of Ireland 2006-2007,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:204,National Juniper Survey 2009-2012,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:205,National Monuments Service - Archaeological Survey of Ireland,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
already-on-site-review:206,National Monuments Service - Monuments to Visit,data.gov.ie,Creative Commons Attribution 4.0,already-on-site-review
