Geography Code,Geography Label,Measure,Response,Response Label,Breakdown Dimension,Breakdown Category,Base Type,Statistic,Unit,Value,Extraction Confidence
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Age,18-24,inc_DK,count,persons,52,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Age,25-44,inc_DK,count,persons,105,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Age,45-64,inc_DK,count,persons,134,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Age,65+,inc_DK,count,persons,97,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Age,18-24,inc_DK,count,persons,176,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Age,25-44,inc_DK,count,persons,357,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Age,45-64,inc_DK,count,persons,392,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Age,65+,inc_DK,count,persons,342,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Age,18-24,inc_DK,count,persons,45,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Age,25-44,inc_DK,count,persons,101,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Age,45-64,inc_DK,count,persons,82,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Age,65+,inc_DK,count,persons,71,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Gender,Male,inc_DK,count,persons,206,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Gender,Female,inc_DK,count,persons,374,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Gender,Male,inc_DK,count,persons,173,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Gender,Female,inc_DK,count,persons,215,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Gender,Male,inc_DK,count,persons,503,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Gender,Female,inc_DK,count,persons,764,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Gender,Male,inc_DK,count,persons,124,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Gender,Female,inc_DK,count,persons,175,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,111,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,112,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,96,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,87,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,96,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Total,Total,inc_DK,count,persons,78,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,51,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,59,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,75,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,76,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,73,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Total,Total,inc_DK,count,persons,54,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,221,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,215,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,218,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,220,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,201,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Total,Total,inc_DK,count,persons,192,0.9
LT-PCB-BT1-BT17,Postcode area BT1-BT17,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,59,0.9
LT-PCB-BT18-BT35,Postcode area BT18-BT35,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,44,0.9
LT-PCB-BT36-BT44,Postcode area BT36-BT44,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,47,0.9
LT-PCB-BT45-BT57,Postcode area BT45-BT57,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,57,0.9
LT-PCB-BT60-BT67,Postcode area BT60-BT67,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,32,0.9
LT-PCB-BT68-BT94,Postcode area BT68-BT94,"Does competition in both the private and public sectors improve, or not improve, performance and service?",C,No Opinion,Total,Total,inc_DK,count,persons,60,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Religion,Protestant,inc_DK,count,persons,151,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Religion,Roman Catholic,inc_DK,count,persons,158,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Religion,Other,inc_DK,count,persons,57,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",A,Improve,Religion,None,inc_DK,count,persons,116,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Religion,Protestant,inc_DK,count,persons,90,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Religion,Roman Catholic,inc_DK,count,persons,79,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Religion,Other,inc_DK,count,persons,43,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",B,Not Improve,Religion,None,inc_DK,count,persons,111,0.9
N92000002,Northern Ireland,"Does competition in both the private and public sectors improve, or not improve, performance and service?",Base,respondents,Religion,Protestant,inc_DK,count,persons,326,0.9
