DZ21,population,DUP,Sinn Féin,UUP,SDLP,Alliance,TUV,Green,PBP,Aontú,Independent,Other
N20000765,370.0,0.6222382890445692,77.66508527006033,0.055570849695066524,14.436936109935033,0.45716533923738617,0.46254927796752543,7.804055923855991e-10,5.002654814431729e-10,3.9404135264446305e-10,0.721437737204687,5.5790171251807035
N20000766,325.0,3.9011387632837806,38.24863199901994,2.2780208688853594,8.16799542869964,2.2453920769475957,1.5900793133640105,1.2236281590834567e-09,1.7943700820962924e-10,2.47725859748671e-10,0.15764928229399655,43.411092265854876
N20000767,563.0,6.9370630110055025,72.05791053475068,1.1165711361528468,11.212640957894388,1.2459756528709292,0.6531074743471346,8.161227137670902e-10,3.84887416571288e-10,7.061906598741551e-10,3.3774347046975524,3.3992965263737713
N20000768,484.0,1.8955827809969306,78.4765024876986,0.5034554453683918,13.926191433079746,0.4180856001584507,0.15816836310290605,3.270495785950836e-10,3.983509815354381e-10,3.685466942680208e-10,2.4214400032662904,2.200573885234737
N20000769,483.0,8.971681510726645,36.97123917763553,3.472549643942767,8.210054485229843,1.2610877140657135,4.964044468744474,7.871788932290661e-10,2.9769414307285957e-10,3.7071038200099787e-10,0.22816736892371361,35.92117562927574
N20000770,579.0,0.06007425006857423,4.429862699987778,0.01159663715324671,17.793083583711443,0.5991386029383191,0.06197704961004323,1.7670391060091897e-09,2.611585781971383e-10,1.5523489388582585e-10,76.38390020317803,0.6603669711691103
N20000771,417.0,2.170439047365162,46.3004365102593,0.7712335066152537,7.7685231089269555,0.8161868360169309,0.4094210209329539,2.3813812608189665e-10,6.567781012652161e-10,3.92402998978599e-10,40.3436670687496,1.420092899846509
N20000772,221.0,7.75707225791175,57.42321727967782,0.9493973490644378,6.7321402714340834,4.442297779299765,9.667862411701371,1.675950647474032e-10,9.037046894079072e-10,1.837825825738687e-10,0.5473433148298832,12.480669334825812
N20000773,425.0,5.260903900600832,62.14214896476403,0.2506230998299491,8.4179761810794,4.491038822300807,9.559752294492457,1.6648333682722117e-09,9.120925077557816e-10,8.460597466203868e-10,2.4777152269250298,7.399841506584519
N20000774,227.0,2.659201373451465,81.72135018314938,0.0654603711449662,13.57047890730933,0.3534107094517469,0.19310683063614872,4.994637892783334e-10,2.6220770175997276e-10,1.7043242713306913e-10,0.05506565792814192,1.3819259659967236
N20000775,441.0,1.343385214376262,53.10866095511436,0.1739095083112031,26.60140146392132,2.2703781410446533,1.2321000238759572,4.4095638325898977e-10,6.594519422646155e-10,5.103490558488776e-10,9.272714518566312,5.9974501731791685
N20000776,535.0,50.556676455256046,12.32957496040297,4.247888588719988,1.6031189016171958,2.337233455935556,10.929329847480155,2.6751205536425597e-09,4.225495027631458e-10,7.124364327442289e-10,0.18874108042139429,17.80743670635659
N20000777,225.0,5.175101375730645,71.35708279084074,2.0201106048067885,6.4301657592176635,1.0566873882789656,1.0966576399874777,1.2731547719791624e-09,6.623682034497425e-10,8.607571655816959e-10,5.968457119332663,6.89573731900878
N20000778,254.0,2.15223903553255,96.22154913305685,0.08753793930745933,1.0061037029031517,0.06447782589195032,0.02675740169734485,1.1808962467670717e-11,1.182209819699995e-10,8.549201009661873e-11,0.3185717454696827,0.12276321592549412
N20000779,345.0,3.8330650483279425,94.22112640658395,0.3557602969331446,0.823614085120604,0.11088473759847818,0.11938037777701213,1.5622739427869112e-11,9.701457230355228e-11,8.609410567503854e-11,0.06649471791472965,0.46967432954541133
N20000780,161.0,0.13130302824901582,99.53086943523785,0.0008528242687517368,0.2231718361059342,0.0007523735421190382,0.0006860836675438822,2.8622721129245387e-13,2.747187028000336e-11,1.0588239301066007e-11,0.0015306515252886397,0.1108337673651597
N20000781,419.0,4.733857628268572,32.05301630415701,1.2919577754915808,8.208672601881364,2.049405398553996,4.309777658824608,3.6140582007482143e-09,1.3222128624079387e-09,1.3072802811345436e-09,43.10319983001579,4.2501127965635295
N20000782,401.0,3.572127490086114,70.84925503319842,0.40369665232830537,16.165005992183055,0.5240663678539206,0.318256117857355,2.6433819750420396e-10,3.6426132915277207e-10,3.081816817645886e-10,7.278750902542373,0.8888414430136793
N20000783,581.0,3.2650964579462682,69.06646207310769,0.8219610611199549,6.820480211794937,6.358630105642393,3.273754802914499,1.4404557266475025e-09,9.597174360583345e-10,7.007025001049241e-10,3.499258315881537,6.894356968491847
N20000784,383.0,1.7528386939096097,52.74078895714215,1.1321506230472282,16.723942007623148,2.385846308980663,1.1408265166176834,2.8471019040710083e-09,7.803898472213064e-10,1.0284533151291573e-09,16.30087346527134,7.822733422752242
N20000785,470.0,2.2427951398705024,44.74174145740949,0.18598011565157962,36.13686994172989,1.0108021162611094,0.5725112563130323,8.942253993526724e-10,1.2086199949818111e-09,8.455595161930753e-10,10.427880333121035,4.681419636694958
N20000786,277.0,2.54969790677277,3.5375363972047915,2.7684208165946758,2.7090611263813478,1.4878203137187926,0.4347573060857046,1.3063672560050585e-09,3.7366408104741513e-10,1.5241302214956257e-10,0.08310022305746445,86.429605908352
N20000787,517.0,7.015599117278995,54.32958937078538,10.627323860769614,3.2716716572108653,19.376389751306498,3.94726717014385e-11,1.0999773886824529e-10,6.387219259206332e-10,4.691499122139704e-10,0.14383952975054654,5.235586711640763
N20000788,735.0,8.232097027033216,65.62312313876909,8.072966957120936,8.636475056919132,4.233844076393229,2.4225958887242458e-11,8.576192355490866e-11,4.976050507460352e-10,4.5696528297683586e-10,0.1651439250021908,5.036349817697657
N20000789,450.0,10.004501401006204,47.35864483807894,2.748161016666706,31.51429221396274,3.6403671441876826,5.4582836667374614e-11,5.1170731134865134e-11,6.348366028135112e-10,3.3278065391623094e-10,0.06938388404919188,4.664649500975169
N20000790,472.0,50.40836165197767,5.948057410382165,11.022102934811564,6.331056621022391,5.091859130790791,1.1558530062921994e-10,2.2280539711294508e-10,4.242250685644714e-10,5.539399474176411e-10,0.06386933185978602,21.134692917839065
