SA2011,catholic_bg_pct,proj_unity_pct,provenance
N00000745,19.1,28.6,modelled
N00000746,21.5,30.0,modelled
N00000747,21.4,30.4,modelled
N00000748,17.2,27.1,modelled
N00000749,8.5,21.9,modelled
N00000750,16.6,27.6,modelled
N00000751,17.5,28.5,modelled
N00000752,15.5,26.3,modelled
N00000753,18.1,28.5,modelled
N00000754,14.7,26.4,modelled
N00000755,8.2,21.9,modelled
N00000756,15.8,26.6,modelled
N00000757,10.0,22.8,modelled
N00000758,58.4,53.8,modelled
N00000759,55.3,51.2,modelled
N00000760,34.0,36.9,modelled
N00000761,44.4,44.6,modelled
N00000762,43.7,42.6,modelled
N00000763,48.0,47.5,modelled
N00000764,50.7,48.1,modelled
N00000765,47.2,47.5,modelled
N00000766,30.7,34.6,modelled
N00000767,20.5,29.5,modelled
N00000768,11.2,23.4,modelled
N00000769,33.6,37.1,modelled
N00000770,32.1,36.5,modelled
N00000771,27.5,33.9,modelled
N00000772,25.9,32.4,modelled
N00000773,35.7,39.5,modelled
N00000774,44.3,44.3,modelled
N00000775,10.8,22.6,modelled
N00000776,73.1,62.4,modelled
N00000777,10.9,22.6,modelled
N00000778,28.7,34.3,modelled
N00000779,21.1,30.7,modelled
N00000780,10.9,23.1,modelled
N00000781,12.0,24.8,modelled
N00000782,4.0,18.3,modelled
N00000783,44.8,44.1,modelled
N00000784,26.3,32.4,modelled
N00000785,13.6,24.1,modelled
N00000786,4.7,18.7,modelled
N00000787,25.9,33.2,modelled
N00000788,52.7,49.6,modelled
N00000789,63.6,56.1,modelled
N00000790,52.6,49.2,modelled
N00000791,55.6,51.4,modelled
N00000792,18.5,28.5,modelled
N00000793,62.1,54.3,modelled
N00000794,42.0,43.0,modelled
N00000795,26.5,31.9,modelled
N00000796,63.8,56.2,modelled
N00000797,35.0,38.3,modelled
N00000798,43.5,43.4,modelled
N00000799,7.4,20.3,modelled
N00000800,22.9,30.1,modelled
N00000801,9.5,21.7,modelled
N00000802,16.9,26.8,modelled
N00000803,17.1,26.9,modelled
N00000804,7.8,21.0,modelled
N00000805,14.6,25.0,modelled
N00000806,37.5,39.2,modelled
N00000807,37.6,40.0,modelled
N00000808,24.3,31.2,modelled
N00000809,44.0,43.6,modelled
N00000810,46.1,45.0,modelled
N00000811,31.0,35.3,modelled
N00000812,40.5,41.6,modelled
N00000813,23.8,31.3,modelled
N00000814,14.7,24.6,modelled
N00000815,20.7,29.5,modelled
