code,name,LGD,MDM_score,MDM_rank,MDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Health Depr. and Disability_score,Health Depr. and Disability_rank,Education Skills and Training_score,Education Skills and Training_rank,Proximity to Services_score,Proximity to Services_rank,Crime and Disorder_score,Crime and Disorder_rank,Living Environment_score,Living Environment_rank,IDAC and IDAOP_score,IDAC and IDAOP_rank
95DD12W1,Dunminning,Ballymena,11.69,608,7,0.09,711,0.1,694,-0.91,796,13.37,501,1.32,49,1.66,843,11.44,655,0.05,815
95DD13W1,Fair Green,Ballymena,30.4,199,3,0.31,186,0.19,246,0.38,260,34.38,183,-0.57,674,76.64,17,10.98,673,0.45,133
95DD14S1,Galgorm_1,Ballymena,5.86,794,9,0.06,788,0.08,771,-1.01,820,9.88,600,0.3,295,1.28,857,7.48,762,0.05,807
95DD14S2,Galgorm_2,Ballymena,4.06,847,10,0.05,813,0.07,839,-1.04,833,1.93,834,0.3,296,4.16,761,5.05,827,0.05,826
95DD15W1,Glenravel,Ballymena,16.05,494,6,0.12,617,0.09,750,-0.29,549,14.75,472,1.5,20,2.99,796,26.32,286,0.12,631
95DD16W1,Glenwhirry,Ballymena,10.8,642,8,0.08,736,0.09,765,-0.52,648,10.96,567,1.1,93,6.16,710,21.81,368,0.06,768
95DD17W1,Grange,Ballymena,10.92,639,8,0.1,687,0.09,728,-1.39,873,12,540,1.25,63,3.42,783,16.41,517,0.08,718
95DD18W1,Harryville,Ballymena,21.83,348,4,0.24,313,0.17,301,-0.19,499,29.57,231,-0.57,673,35.05,180,20.27,403,0.33,240
95DD19S1,Kells_1,Ballymena,16.82,476,6,0.16,503,0.12,583,-0.02,428,30.54,218,0.26,307,8.96,619,24.22,320,0.16,526
95DD19S2,Kells_2,Ballymena,9.02,702,8,0.08,728,0.08,773,-0.3,551,5.73,714,0.68,208,6.57,698,24.16,322,0.07,749
95DD20W1,Moat,Ballymena,30.9,195,3,0.29,202,0.19,249,0.4,246,50.66,84,-0.59,687,26.34,282,28.55,246,0.39,180
95DD21W1,Park,Ballymena,9.63,674,8,0.12,610,0.09,748,-0.48,633,13.12,511,-0.43,603,47.66,103,7.41,764,0.15,548
95DD22S1,Portglenone_1,Ballymena,14.5,534,6,0.15,528,0.13,506,-0.67,724,13.76,491,0.96,133,13.24,510,18.37,460,0.14,578
95DD22S2,Portglenone_2,Ballymena,16.98,469,6,0.2,407,0.14,476,-0.37,582,15.58,451,0.92,143,13.82,498,15.07,559,0.2,445
95DD23W1,Slemish,Ballymena,11.94,602,7,0.08,719,0.08,816,-0.52,647,14.05,486,1.28,62,0.85,868,25.96,292,0.09,701
95DD24W1,Summerfield,Ballymena,8.55,715,9,0.12,609,0.09,769,-0.33,561,8.76,629,-0.12,470,25.85,287,4.85,833,0.14,570
95EE01W1,Ballyhoe and Corkey,Ballymoney,24.6,298,4,0.2,396,0.12,579,-0.34,567,29.67,225,1.88,3,1.05,864,32.79,188,0.19,473
