SA2011,lgd1993,catholic_pct_1971,lgd1971_pop
N00003689,NEWRY and MOURNE,71.4,72243
N00003687,NEWRY and MOURNE,71.4,72243
N00003877,NEWRY and MOURNE,71.4,72243
N00003758,NEWRY and MOURNE,71.4,72243
N00003757,NEWRY and MOURNE,71.4,72243
N00003760,NEWRY and MOURNE,71.4,72243
N00003677,NEWRY and MOURNE,71.4,72243
N00003676,NEWRY and MOURNE,71.4,72243
N00003781,NEWRY and MOURNE,71.4,72243
N00003780,NEWRY and MOURNE,71.4,72243
N00003680,NEWRY and MOURNE,71.4,72243
N00003777,NEWRY and MOURNE,71.4,72243
N00003783,NEWRY and MOURNE,71.4,72243
N00003776,NEWRY and MOURNE,71.4,72243
N00003884,NEWRY and MOURNE,71.4,72243
N00003886,NEWRY and MOURNE,71.4,72243
N00003885,NEWRY and MOURNE,71.4,72243
N00003782,NEWRY and MOURNE,71.4,72243
N00003751,NEWRY and MOURNE,71.4,72243
N00003750,NEWRY and MOURNE,71.4,72243
N00003882,NEWRY and MOURNE,71.4,72243
N00003881,NEWRY and MOURNE,71.4,72243
N00003749,NEWRY and MOURNE,71.4,72243
N00003748,NEWRY and MOURNE,71.4,72243
N00003765,NEWRY and MOURNE,71.4,72243
N00003880,NEWRY and MOURNE,71.4,72243
N00003767,NEWRY and MOURNE,71.4,72243
N00003766,NEWRY and MOURNE,71.4,72243
N00003763,NEWRY and MOURNE,71.4,72243
N00003762,NEWRY and MOURNE,71.4,72243
N00003823,NEWRY and MOURNE,71.4,72243
N00003761,NEWRY and MOURNE,71.4,72243
N00003764,NEWRY and MOURNE,71.4,72243
N00003824,NEWRY and MOURNE,71.4,72243
N00003827,NEWRY and MOURNE,71.4,72243
N00003857,NEWRY and MOURNE,71.4,72243
N00003859,NEWRY and MOURNE,71.4,72243
N00003862,NEWRY and MOURNE,71.4,72243
N00000809,BANBRIDGE,31.2,29885
N00000810,BANBRIDGE,31.2,29885
N00000812,BANBRIDGE,31.2,29885
N00000807,BANBRIDGE,31.2,29885
N00000811,BANBRIDGE,31.2,29885
N00000808,BANBRIDGE,31.2,29885
N00000806,BANBRIDGE,31.2,29885
N00000787,BANBRIDGE,31.2,29885
N00000783,BANBRIDGE,31.2,29885
N00000740,BANBRIDGE,31.2,29885
N00000739,BANBRIDGE,31.2,29885
