SA2011,nimdm2005_Income_score,nimdm2005_Employment_score,nimdm2005_EDM_score,nimdm2005_dep_pct,nimdm2010_Income Deprivation_score,nimdm2010_Employment Deprivation_score,nimdm2010_MDM_score,nimdm2010_dep_pct,nimdm2017_dep_pct,nimdm2017_income_pct,nimdm2017_employ_pct
N00003495,0.10000126325562701,0.1000003484843109,7.5700984032572896,18.4626233396713,0.13000165530047678,0.09000045738565805,10.280115043383134,26.22999089972161,25.440917107583772,12.037037037037035,51.036155202821874
N00003496,0.26,0.16,19.02,52.240589523999205,0.45,0.16,26.38,69.90639314877514,66.24779541446209,71.27425044091711,70.3042328042328
N00003497,0.23027778097592072,0.16520833573194052,18.679167117604823,51.02956590818,0.34493055475601986,0.1849305547560198,28.763819776251776,73.67583977203255,70.92151675485009,55.22486772486772,76.30070546737213
N00003498,0.18,0.21,21.94,59.45030870344553,0.23,0.16,19.909999999999997,56.32344154550885,57.12081128747795,65.14550264550265,61.81657848324515
N00003499,0.2,0.15,15.48,42.72057359091814,0.34,0.13,22.24,61.82035451105358,53.28483245149912,18.518518518518523,63.051146384479715
N00003500,0.14,0.09999999999999999,8.32,21.350328619796855,0.11999999999999998,0.07,10.37,26.528579964150566,45.260141093474424,70.5026455026455,55.93033509700176
N00003501,0.14,0.12,9.46,25.273849830711015,0.2,0.10999999999999999,17.13,49.81079466241785,31.50352733686067,32.64991181657848,42.416225749559075
N00003502,0.17999999999999997,0.24000000000000002,24.550000000000004,65.24596693885681,0.25,0.16,20.98,58.87273451503685,81.0626102292769,30.136684303350968,93.95943562610229
N00003503,0.17,0.17,16.25,44.97112129057956,0.26,0.11,18.21,52.83808006373232,39.17548500881834,52.20458553791887,42.129629629629626
N00003504,0.04,0.12000000000000001,6.45,14.459271061541525,0.04,0.07,7.28,15.893248356901013,4.739858906525574,3.108465608465605,10.978835978835978
N00003505,0.28,0.20999999999999996,25.46,67.31726747659829,0.4600000000000001,0.27,40.42,87.31328420633339,83.77425044091711,92.3721340388007,79.4973544973545
N00003506,0.29,0.16,18.82,51.4439354710217,0.36,0.19,33.34,80.12348137821151,66.55643738977074,30.842151675485006,78.15255731922399
N00003507,0.43,0.27999999999999997,39.82,86.7755427205736,0.47,0.24,43.13,89.62358095996812,71.47266313932981,53.9021164021164,78.83597883597884
N00003508,0.26,0.17,19.31,53.09699263095,0.25,0.13,23.85,65.50487950607449,82.27513227513228,91.11552028218695,71.0758377425044
N00003509,0.05,0.1,4.62,7.608046205935071,0.09,0.07,10.98,28.799044015136428,17.129629629629626,0.6172839506172867,39.373897707231045
N00003510,0.26,0.2,22.24,60.10754829715197,0.35,0.21,31.139999999999997,77.23561043616809,60.05291005291005,28.174603174603174,60.58201058201058
N00003511,0.22,0.18,17.86,49.05397331208923,0.28,0.15,23.94,65.7239593706433,79.1005291005291,89.81481481481481,66.84303350970018
N00003512,0.27,0.16,19.05,52.340171280621384,0.41,0.18,28.65,73.451503684525,60.91269841269842,68.3641975308642,52.755731922398596
N00003513,0.285029952154465,0.15562874401930812,19.051976758453208,50.96296335316371,0.3289820454556182,0.15646706937838564,28.883772966564763,73.08752421656236,66.95326278659613,66.84303350970018,68.58465608465609
N00003514,0.558213804653245,0.25866035348993377,47.178281767729466,91.44020031233482,0.6007577860514568,0.23388362790827813,48.5632750328749,92.42534553033866,86.22134038800705,38.161375661375665,93.23192239858906
