DZ2021_cd,SA2011_dominant,SA2011_point
N20001862,N00002547,N00002547
N20001863,N00002544,N00002544
N20001864,N00002548,N00002548
N20001865,N00002547,N00002547
N20001866,N00002506,N00002506
N20001867,N00002544,N00002542
N20001868,N00002548,N00002548
N20001869,N00002507,N00002507
N20001870,N00002509,N00002509
N20001871,N00002541,N00002541
N20001872,N00002525,N00002525
N20001873,N00002547,N00002549
N20001874,N00002510,N00002510
N20001875,N00002550,N00002549
N20001876,N00002551,N00002551
N20001877,N00002619,N00002508
N20001878,N00002541,N00002525
N20001879,N00002541,N00002541
N20001880,N00002621,N00002621
N20001881,N00002619,N00002619
N20001882,N00002620,N00002620
N20001883,N00002622,N00002622
N20001884,N00002401,N00002401
N20001885,N00002452,N00002452
N20001886,N00002454,N00002454
N20001887,N00002451,N00002451
N20001888,N00002401,N00002401
N20001889,N00002538,N00002626
N20001890,N00002625,N00002625
N20001891,N00002401,N00002457
N20001892,N00002539,N00002539
N20001893,N00002404,N00002404
N20001894,N00002400,N00002400
N20001895,N00002456,N00002456
N20001896,N00002540,N00002456
N20001897,N00002457,N00002457
N20001898,N00002405,N00002405
N20001899,N00002404,N00002404
N20001900,N00002540,N00002455
N20001901,N00002540,N00002538
N20001902,N00002540,N00002540
N20001903,N00002396,N00002396
N20001904,N00002538,N00002538
N20001905,N00002398,N00002398
N20001906,N00002397,N00002399
N20001907,N00002540,N00002540
N20001908,N00002515,N00002515
N20001909,N00002521,N00002521
N20001910,N00002523,N00002523
N20001911,N00002521,N00002521
N20001912,N00002521,N00002521
N20001913,N00002521,N00002521
N20001914,N00002512,N00002512
N20001915,N00002513,N00002513
N20001916,N00002517,N00002519
N20001917,N00002513,N00002513
N20001918,N00002520,N00002520
N20001919,N00002518,N00002518
N20001920,N00002520,N00002517
N20001921,N00002526,N00002526
N20001922,N00002525,N00002525
N20001923,N00002461,N00002461
N20001924,N00002463,N00002463
N20001925,N00002561,N00002561
N20001926,N00002561,N00002561
N20001927,N00002462,N00002462
N20001928,N00002560,N00002560
N20001929,N00002537,N00002537
N20001930,N00002558,N00002558
N20001931,N00002564,N00002564
N20001932,N00002555,N00002555
N20001933,N00002536,N00002536
N20001934,N00002536,N00002536
N20001935,N00002536,N00002538
N20001936,N00002463,N00002464
N20001937,N00002464,N00002464
N20001938,N00002537,N00002537
N20001939,N00004518,N00004518
N20001940,N00002536,N00002536
N20001941,N00004514,N00004515
N20001942,N00002460,N00002460
N20001943,N00002458,N00002458
N20001944,N00002459,N00002458
N20001945,N00004514,N00004514
N20001946,N00002416,N00002416
N20001947,N00004515,N00004515
N20001948,N00002422,N00002422
N20001949,N00002419,N00002419
N20001950,N00004516,N00004517
N20001951,N00004450,N00004450
N20001952,N00004470,N00004469
N20001953,N00002420,N00002420
N20001954,N00004472,N00002421
N20001955,N00004450,N00004450
N20001956,N00002418,N00002418
N20001957,N00004449,N00004449
N20001958,N00004446,N00004446
N20001959,N00004471,N00004471
N20001960,N00004496,N00004496
N20001961,N00004449,N00004448
N20001962,N00004496,N00004496
N20001963,N00004498,N00004498
N20001964,N00004498,N00004498
N20001965,N00004497,N00004497
N20001966,N00004498,N00004498
N20001967,N00004498,N00004498
N20001968,N00004451,N00004451
N20001969,N00004500,N00004500
N20001970,N00004535,N00004535
N20001971,N00004472,N00004472
N20001972,N00004474,N00004474
N20001973,N00004498,N00004475
N20001974,N00004535,N00004535
N20001975,N00004474,N00004453
N20001976,N00004474,N00004474
N20001977,N00004537,N00004537
N20001978,N00004455,N00004456
N20001979,N00004452,N00004452
N20001980,N00004457,N00004521
N20001981,N00004502,N00004502
N20001982,N00004476,N00004477
N20001983,N00004454,N00004454
N20001984,N00004521,N00004521
N20001985,N00004519,N00004524
N20001986,N00004523,N00004523
N20001987,N00004520,N00004520
N20001988,N00004528,N00004528
N20001989,N00004503,N00004503
N20001990,N00004505,N00004506
N20001991,N00004528,N00004529
N20001992,N00004530,N00004530
N20001993,N00004504,N00004504
N20001994,N00004532,N00004532
N20001995,N00004534,N00004534
N20001996,N00004481,N00004481
N20001997,N00004520,N00004520
N20001998,N00004481,N00004481
N20001999,N00004482,N00004482
N20002000,N00004507,N00004508
N20002001,N00004509,N00004509
N20002002,N00004511,N00004511
N20002003,N00004483,N00004483
N20002004,N00004512,N00004512
N20002005,N00004478,N00004478
N20002006,N00004512,N00004512
N20002007,N00004526,N00004526
N20002008,N00004478,N00004478
N20002009,N00004492,N00004492
N20002010,N00004490,N00004494
N20002011,N00004492,N00004495
N20002012,N00004462,N00004462
N20002013,N00004480,N00004480
N20002014,N00004459,N00004459
N20002015,N00004484,N00004484
N20002016,N00004461,N00004461
N20002017,N00004493,N00004490
N20002018,N00004484,N00004484
N20002019,N00004487,N00004487
N20002020,N00004486,N00004459
N20002021,N00004460,N00004460
N20002022,N00004458,N00004458
N20002023,N00004485,N00004485
N20002024,N00004493,N00004463
N20002025,N00004468,N00004468
N20002026,N00004485,N00004485
N20002027,N00004489,N00004489
N20002028,N00004467,N00004467
N20002029,N00002939,N00002939
N20002030,N00002939,N00002938
N20002031,N00002940,N00002940
N20002032,N00003028,N00003025
N20002033,N00003028,N00003028
N20002034,N00003026,N00003026
N20002035,N00003025,N00003030
N20002036,N00003029,N00003026
N20002037,N00002978,N00002978
N20002038,N00003051,N00003051
N20002039,N00003027,N00003027
N20002040,N00003020,N00003020
N20002041,N00003026,N00003031
N20002042,N00003019,N00003019
N20002043,N00003018,N00003018
N20002044,N00002973,N00002973
N20002045,N00003024,N00003024
N20002046,N00002975,N00003022
N20002047,N00003024,N00003024
N20002048,N00002974,N00002974
N20002049,N00003049,N00003049
N20002050,N00003047,N00003047
N20002051,N00002977,N00002975
N20002052,N00003032,N00003032
N20002053,N00003033,N00003035
N20002054,N00003036,N00003034
N20002055,N00003033,N00003038
N20002056,N00003032,N00003032
N20002057,N00002921,N00002921
N20002058,N00002922,N00002922
N20002059,N00002917,N00002917
N20002060,N00002958,N00002958
N20002061,N00002954,N00002954
N20002062,N00002959,N00002959
N20002063,N00002918,N00002918
N20002064,N00002934,N00002959
N20002065,N00002933,N00002933
N20002066,N00002958,N00002935
N20002067,N00002935,N00002934
N20002068,N00002930,N00002932
N20002069,N00002932,N00002932
N20002070,N00002931,N00002989
N20002071,N00002989,N00002989
N20002072,N00002990,N00002990
N20002073,N00002991,N00002991
N20002074,N00002987,N00002987
N20002075,N00002961,N00002961
N20002076,N00002988,N00002988
N20002077,N00002964,N00002964
N20002078,N00002964,N00002964
N20002079,N00002960,N00002960
N20002080,N00002966,N00002965
N20002081,N00003013,N00003013
N20002082,N00003015,N00003015
N20002083,N00003016,N00003015
N20002084,N00002983,N00002983
N20002085,N00003045,N00003045
N20002086,N00002983,N00002983
N20002087,N00003059,N00003045
N20002088,N00002983,N00002983
N20002089,N00002984,N00002984
N20002090,N00002948,N00002948
N20002091,N00002986,N00002979
N20002092,N00002944,N00002943
N20002093,N00002945,N00002945
N20002094,N00003046,N00003046
N20002095,N00002968,N00002968
N20002096,N00003039,N00003039
N20002097,N00002952,N00002952
N20002098,N00002971,N00002981
N20002099,N00002982,N00002980
N20002100,N00003007,N00003007
N20002101,N00002969,N00002969
N20002102,N00002980,N00002980
N20002103,N00003041,N00003042
N20002104,N00002950,N00002950
N20002105,N00003040,N00003042
N20002106,N00003059,N00003059
N20002107,N00003040,N00003040
N20002108,N00003060,N00003059
N20002109,N00003009,N00003009
N20002110,N00002953,N00002953
N20002111,N00003044,N00003044
N20002112,N00003053,N00003053
N20002113,N00002952,N00002952
N20002114,N00003058,N00003054
N20002115,N00003055,N00003055
N20002116,N00003057,N00003057
N20002117,N00003008,N00003008
N20002118,N00003009,N00003009
N20002119,N00003012,N00003012
N20002120,N00003012,N00003012
N20002121,N00002927,N00002927
N20002122,N00003005,N00003002
N20002123,N00003001,N00003002
N20002124,N00003002,N00003002
N20002125,N00002929,N00002929
N20002126,N00003003,N00003003
N20002127,N00003003,N00003003
N20002128,N00002929,N00002929
N20002129,N00003000,N00003000
N20002130,N00003003,N00003003
N20002131,N00002926,N00002926
N20002132,N00002995,N00002998
N20002133,N00002994,N00002994
N20002134,N00002997,N00002997
N20002135,N00002995,N00002995
N20002136,N00002996,N00002996
N20002137,N00002925,N00002925
N20002138,N00002993,N00002993
N20002139,N00002914,N00002914
N20002140,N00002914,N00002914
N20002141,N00002914,N00002915
N20002142,N00003063,N00003063
N20002143,N00002916,N00002916
N20002144,N00003061,N00003061
N20002145,N00002912,N00002916
N20002146,N00003062,N00003062
N20002147,N00003066,N00003066
N20002148,N00003062,N00003061
N20002149,N00002946,N00002946
N20002150,N00004390,N00004390
N20002151,N00004386,N00004386
N20002152,N00004376,N00004376
N20002153,N00004389,N00004389
N20002154,N00004375,N00004375
N20002155,N00004374,N00004374
N20002156,N00004389,N00004389
N20002157,N00004377,N00004377
N20002158,N00004350,N00004352
N20002159,N00004350,N00004350
N20002160,N00004377,N00004377
N20002161,N00004350,N00004354
N20002162,N00004351,N00004364
N20002163,N00004364,N00004364
N20002164,N00004417,N00004421
N20002165,N00004354,N00004354
N20002166,N00004365,N00004365
N20002167,N00004366,N00004366
N20002168,N00004420,N00004420
N20002169,N00004367,N00004367
N20002170,N00004393,N00004393
N20002171,N00004392,N00004392
N20002172,N00004395,N00004395
N20002173,N00004419,N00004420
N20002174,N00004442,N00004442
N20002175,N00004441,N00004441
N20002176,N00004418,N00004418
N20002177,N00004391,N00004391
N20002178,N00004442,N00004442
N20002179,N00004443,N00004443
N20002180,N00004445,N00004445
N20002181,N00004435,N00004435
N20002182,N00004407,N00004407
N20002183,N00004415,N00004415
N20002184,N00004415,N00004416
N20002185,N00004407,N00004349
N20002186,N00004408,N00004413
N20002187,N00004409,N00004409
N20002188,N00004433,N00004433
N20002189,N00004343,N00004343
N20002190,N00004412,N00004412
N20002191,N00004406,N00004406
N20002192,N00004414,N00004414
N20002193,N00004433,N00004433
N20002194,N00004404,N00004404
N20002195,N00004414,N00004414
N20002196,N00004347,N00004346
N20002197,N00004348,N00004348
N20002198,N00004434,N00004434
N20002199,N00004361,N00004361
N20002200,N00004348,N00004379
N20002201,N00004380,N00004380
N20002202,N00004404,N00004404
N20002203,N00004405,N00004405
N20002204,N00004405,N00004405
N20002205,N00004361,N00004361
N20002206,N00004383,N00004383
N20002207,N00004382,N00004382
N20002208,N00004357,N00004357
N20002209,N00004385,N00004381
N20002210,N00004355,N00004358
N20002211,N00004360,N00004360
N20002212,N00004356,N00004356
N20002213,N00004359,N00004357
N20002214,N00004402,N00004402
N20002215,N00004403,N00004403
N20002216,N00004357,N00004357
N20002217,N00004385,N00004382
N20002218,N00004362,N00004362
N20002219,N00004359,N00004359
N20002220,N00004385,N00004362
N20002221,N00004426,N00004426
N20002222,N00004398,N00004398
N20002223,N00004422,N00004422
N20002224,N00004423,N00004423
N20002225,N00004424,N00004424
N20002226,N00004399,N00004399
N20002227,N00004400,N00004399
N20002228,N00004373,N00004424
N20002229,N00004425,N00004368
N20002230,N00004401,N00004401
N20002231,N00004439,N00004439
N20002232,N00004371,N00004371
N20002233,N00004401,N00004401
N20002234,N00004368,N00004368
N20002235,N00004372,N00004372
N20002236,N00004401,N00004415
N20002237,N00004440,N00004440
N20002238,N00004411,N00004411
N20002239,N00004372,N00004372
N20002240,N00004438,N00004436
N20002241,N00004437,N00004437
N20002242,N00004340,N00004340
N20002243,N00004431,N00004431
N20002244,N00004427,N00004342
N20002245,N00004339,N00004339
N20002246,N00004340,N00004340
N20002247,N00004340,N00004340
N20002248,N00004430,N00004430
N20002249,N00004341,N00004341
N20002250,N00004429,N00004429
N20002251,N00004430,N00004430
N20002252,N00003284,N00003284
N20002253,N00003283,N00003283
N20002254,N00003287,N00003287
N20002255,N00003288,N00003288
N20002256,N00003289,N00003289
N20002257,N00003290,N00003290
N20002258,N00003470,N00003470
N20002259,N00003463,N00003463
N20002260,N00003290,N00003290
N20002261,N00003463,N00003463
N20002262,N00003476,N00003476
N20002263,N00003477,N00003477
N20002264,N00003478,N00003478
N20002265,N00003480,N00003475
N20002266,N00003474,N00003474
N20002267,N00003482,N00003482
N20002268,N00003450,N00003450
N20002269,N00003468,N00003466
N20002270,N00003475,N00003475
N20002271,N00003475,N00003475
N20002272,N00003479,N00003475
N20002273,N00003479,N00003479
N20002274,N00003467,N00003467
N20002275,N00003479,N00003479
N20002276,N00003448,N00003448
N20002277,N00003393,N00003393
N20002278,N00003388,N00003388
N20002279,N00003388,N00003388
N20002280,N00003389,N00003389
N20002281,N00003396,N00003395
N20002282,N00003391,N00003391
N20002283,N00003395,N00003395
N20002284,N00003449,N00003449
N20002285,N00003394,N00003396
N20002286,N00003392,N00003392
N20002287,N00003351,N00003351
N20002288,N00003349,N00003349
N20002289,N00003359,N00003359
N20002290,N00003349,N00003353
N20002291,N00003351,N00003351
N20002292,N00003349,N00003349
N20002293,N00003355,N00003355
N20002294,N00003358,N00003358
N20002295,N00003350,N00003350
N20002296,N00003359,N00003359
N20002297,N00003281,N00003281
N20002298,N00003243,N00003357
N20002299,N00003243,N00003243
N20002300,N00003249,N00003249
N20002301,N00003280,N00003244
N20002302,N00003244,N00003244
N20002303,N00003245,N00003245
N20002304,N00003240,N00003240
N20002305,N00003258,N00003258
N20002306,N00003280,N00003280
N20002307,N00003258,N00003258
N20002308,N00003280,N00003280
N20002309,N00003280,N00003280
N20002310,N00003280,N00003258
N20002311,N00003241,N00003241
N20002312,N00003276,N00003276
N20002313,N00003282,N00003282
N20002314,N00003282,N00003282
N20002315,N00003282,N00003282
N20002316,N00003282,N00003282
N20002317,N00003245,N00003245
N20002318,N00003240,N00003240
N20002319,N00003245,N00003245
N20002320,N00003443,N00003443
N20002321,N00003443,N00003451
N20002322,N00003446,N00003446
N20002323,N00003451,N00003451
N20002324,N00003444,N00003444
N20002325,N00003447,N00003447
N20002326,N00003257,N00003257
N20002327,N00003260,N00003250
N20002328,N00003250,N00003277
N20002329,N00003278,N00003278
N20002330,N00003251,N00003254
N20002331,N00003252,N00003252
N20002332,N00003253,N00003275
N20002333,N00003254,N00003255
N20002334,N00003271,N00003275
N20002335,N00003271,N00003271
N20002336,N00003282,N00003273
N20002337,N00003256,N00003256
N20002338,N00003439,N00003439
N20002339,N00003436,N00003436
N20002340,N00003274,N00003274
N20002341,N00003272,N00003272
N20002342,N00003282,N00003282
N20002343,N00003439,N00003439
N20002344,N00003273,N00003273
N20002345,N00003412,N00003413
N20002346,N00003441,N00003441
N20002347,N00003416,N00003416
N20002348,N00003415,N00003415
N20002349,N00003282,N00003282
N20002350,N00003414,N00003414
N20002351,N00003282,N00003282
N20002352,N00003435,N00003435
N20002353,N00003410,N00003410
N20002354,N00003406,N00003406
N20002355,N00003510,N00003507
N20002356,N00003506,N00003506
N20002357,N00003509,N00003509
N20002358,N00003407,N00003407
N20002359,N00003507,N00003507
N20002360,N00003407,N00003407
N20002361,N00003484,N00003484
N20002362,N00003485,N00003483
N20002363,N00003510,N00003513
N20002364,N00003408,N00003408
N20002365,N00003483,N00003483
N20002366,N00003423,N00003423
N20002367,N00003409,N00003487
N20002368,N00003488,N00003487
N20002369,N00003408,N00003409
N20002370,N00003489,N00003489
N20002371,N00003489,N00003489
N20002372,N00003422,N00003422
N20002373,N00003422,N00003425
N20002374,N00003489,N00003489
N20002375,N00003421,N00003421
N20002376,N00003313,N00003502
N20002377,N00003307,N00003307
N20002378,N00003316,N00003307
N20002379,N00003502,N00003498
N20002380,N00003497,N00003497
N20002381,N00003316,N00003316
N20002382,N00003499,N00003499
N20002383,N00003313,N00003313
N20002384,N00003310,N00003310
N20002385,N00003314,N00003314
N20002386,N00003432,N00003429
N20002387,N00003313,N00003313
N20002388,N00003431,N00003431
N20002389,N00003426,N00003426
N20002390,N00003458,N00003459
N20002391,N00003460,N00003460
N20002392,N00003460,N00003460
N20002393,N00003454,N00003454
N20002394,N00003457,N00003455
N20002395,N00003462,N00003462
N20002396,N00003367,N00003367
N20002397,N00003361,N00003361
N20002398,N00003456,N00003456
N20002399,N00003462,N00003462
N20002400,N00003461,N00003461
N20002401,N00003362,N00003362
N20002402,N00003453,N00003453
N20002403,N00003426,N00003426
N20002404,N00003524,N00003521
N20002405,N00003364,N00003364
N20002406,N00003365,N00003365
N20002407,N00003427,N00003427
N20002408,N00003524,N00003524
N20002409,N00003426,N00003426
N20002410,N00003526,N00003526
N20002411,N00003375,N00003375
N20002412,N00003522,N00003521
N20002413,N00003523,N00003523
N20002414,N00003428,N00003377
N20002415,N00003376,N00003377
N20002416,N00003440,N00003440
N20002417,N00003523,N00003522
N20002418,N00003368,N00003368
N20002419,N00003371,N00003371
N20002420,N00003374,N00003370
N20002421,N00003371,N00003371
N20002422,N00003423,N00003506
N20002423,N00003371,N00003371
N20002424,N00003330,N00003331
N20002425,N00003333,N00003333
N20002426,N00003327,N00003327
N20002427,N00003385,N00003385
N20002428,N00003379,N00003379
N20002429,N00003380,N00003380
N20002430,N00003332,N00003332
N20002431,N00003381,N00003383
N20002432,N00003379,N00003379
N20002433,N00003336,N00003336
N20002434,N00003336,N00003336
N20002435,N00003378,N00003383
N20002436,N00003384,N00003384
N20002437,N00003291,N00003384
N20002438,N00003266,N00003266
N20002439,N00003268,N00003268
N20002440,N00003266,N00003262
N20002441,N00003394,N00003394
N20002442,N00003267,N00003267
N20002443,N00003394,N00003387
N20002444,N00003262,N00003264
N20002445,N00003270,N00003270
N20002446,N00003264,N00003264
N20002447,N00003265,N00003265
N20002448,N00003264,N00003264
N20002449,N00003317,N00003317
N20002450,N00003321,N00003318
N20002451,N00003321,N00003321
N20002452,N00003323,N00003323
N20002453,N00003325,N00003325
N20002454,N00003326,N00003326
N20002455,N00000724,N00000724
N20002456,N00001839,N00001839
N20002457,N00001842,N00001842
N20002458,N00001840,N00001843
N20002459,N00001845,N00001845
N20002460,N00001774,N00001774
N20002461,N00001915,N00001913
N20002462,N00001911,N00001911
N20002463,N00001918,N00001918
N20002464,N00001777,N00001772
N20002465,N00001767,N00001767
N20002466,N00001913,N00001913
N20002467,N00001773,N00001773
N20002468,N00001877,N00001879
N20002469,N00001769,N00001768
N20002470,N00001915,N00001915
N20002471,N00001776,N00001776
N20002472,N00001878,N00001878
N20002473,N00001760,N00001763
N20002474,N00001763,N00001763
N20002475,N00001875,N00001875
N20002476,N00001873,N00001873
N20002477,N00001765,N00001765
N20002478,N00001761,N00001761
N20002479,N00001871,N00001871
N20002480,N00001771,N00001771
N20002481,N00001760,N00001763
N20002482,N00001873,N00001873
N20002483,N00001790,N00001790
N20002484,N00001799,N00001799
N20002485,N00001790,N00001790
N20002486,N00001792,N00001792
N20002487,N00001903,N00001792
N20002488,N00001794,N00001797
N20002489,N00001800,N00001800
N20002490,N00001794,N00001797
N20002491,N00001803,N00001803
N20002492,N00001904,N00001794
N20002493,N00001794,N00001794
N20002494,N00001805,N00001805
N20002495,N00001801,N00001801
N20002496,N00001796,N00001796
N20002497,N00001802,N00001805
N20002498,N00001902,N00001902
N20002499,N00001900,N00001900
N20002500,N00001780,N00001780
N20002501,N00001780,N00001780
N20002502,N00001827,N00001827
N20002503,N00001829,N00001828
N20002504,N00001829,N00001829
N20002505,N00001780,N00001780
N20002506,N00001855,N00001855
N20002507,N00001820,N00001820
N20002508,N00001821,N00001820
N20002509,N00001780,N00001780
N20002510,N00001854,N00001854
N20002511,N00001859,N00001858
N20002512,N00001855,N00001857
N20002513,N00001786,N00001786
N20002514,N00001785,N00001787
N20002515,N00001789,N00001778
N20002516,N00001821,N00001821
N20002517,N00001861,N00001861
N20002518,N00001780,N00001780
N20002519,N00001823,N00001823
N20002520,N00001862,N00001862
N20002521,N00001832,N00001832
N20002522,N00001833,N00001833
N20002523,N00001779,N00001779
N20002524,N00001856,N00001856
N20002525,N00001863,N00001863
N20002526,N00001779,N00001779
N20002527,N00001788,N00001836
N20002528,N00001779,N00001779
N20002529,N00001838,N00001838
N20002530,N00001837,N00001837
N20002531,N00001757,N00001757
N20002532,N00001751,N00001751
N20002533,N00001831,N00001831
N20002534,N00001754,N00001753
N20002535,N00001831,N00001831
N20002536,N00001754,N00001758
N20002537,N00001756,N00001756
N20002538,N00001779,N00001779
N20002539,N00001779,N00001779
N20002540,N00001755,N00001755
N20002541,N00001906,N00001755
N20002542,N00001905,N00001906
N20002543,N00001901,N00001901
N20002544,N00001908,N00001908
N20002545,N00001910,N00001910
N20002546,N00001907,N00001909
N20002547,N00001902,N00001902
N20002548,N00000561,N00000562
N20002549,N00000558,N00000558
N20002550,N00000557,N00000560
N20002551,N00000559,N00000559
N20002552,N00000627,N00000627
N20002553,N00000628,N00000628
N20002554,N00000542,N00000545
N20002555,N00000542,N00000546
N20002556,N00000547,N00000546
N20002557,N00000543,N00000543
N20002558,N00000547,N00000547
N20002559,N00000540,N00000540
N20002560,N00000628,N00000628
N20002561,N00000625,N00000625
N20002562,N00000623,N00000630
N20002563,N00000624,N00000624
N20002564,N00000567,N00000488
N20002565,N00000572,N00000572
N20002566,N00000567,N00000568
N20002567,N00000569,N00000569
N20002568,N00000567,N00000567
N20002569,N00000574,N00000574
N20002570,N00000573,N00000573
N20002571,N00000487,N00000487
N20002572,N00000486,N00000486
N20002573,N00000570,N00000570
N20002574,N00000488,N00000488
N20002575,N00000482,N00000482
N20002576,N00000484,N00000484
N20002577,N00000626,N00000626
N20002578,N00000491,N00000491
N20002579,N00000490,N00000491
N20002580,N00000591,N00000591
N20002581,N00000591,N00000490
N20002582,N00000590,N00000590
N20002583,N00000593,N00000593
N20002584,N00000595,N00000595
N20002585,N00000589,N00000589
N20002586,N00000595,N00000595
N20002587,N00000553,N00000553
N20002588,N00000554,N00000554
N20002589,N00000556,N00000556
N20002590,N00000637,N00000637
N20002591,N00000619,N00000619
N20002592,N00000637,N00000642
N20002593,N00000638,N00000642
N20002594,N00000556,N00000556
N20002595,N00000512,N00000512
N20002596,N00000563,N00000637
N20002597,N00000620,N00000621
N20002598,N00000640,N00000641
N20002599,N00000514,N00000514
N20002600,N00000516,N00000516
N20002601,N00000563,N00000563
N20002602,N00000563,N00000566
N20002603,N00000515,N00000515
N20002604,N00000639,N00000566
N20002605,N00000563,N00000564
N20002606,N00000621,N00000621
N20002607,N00000511,N00000517
N20002608,N00000565,N00000565
N20002609,N00000477,N00000480
N20002610,N00000481,N00000481
N20002611,N00000532,N00000532
N20002612,N00000640,N00000640
N20002613,N00000618,N00000618
N20002614,N00000529,N00000532
N20002615,N00000478,N00000478
N20002616,N00000529,N00000529
N20002617,N00000527,N00000527
N20002618,N00000481,N00000481
N20002619,N00000509,N00000509
N20002620,N00000529,N00000528
N20002621,N00000477,N00000477
N20002622,N00000507,N00000507
N20002623,N00000479,N00000479
N20002624,N00000498,N00000498
N20002625,N00000529,N00000612
N20002626,N00000510,N00000616
N20002627,N00000615,N00000615
N20002628,N00000598,N00000598
N20002629,N00000612,N00000613
N20002630,N00000494,N00000494
N20002631,N00000508,N00000508
N20002632,N00000506,N00000506
N20002633,N00000493,N00000493
N20002634,N00000494,N00000495
N20002635,N00000496,N00000496
N20002636,N00000496,N00000496
N20002637,N00000497,N00000497
N20002638,N00000497,N00000497
N20002639,N00000577,N00000577
N20002640,N00000577,N00000577
N20002641,N00000577,N00000577
N20002642,N00000636,N00000634
N20002643,N00000580,N00000579
N20002644,N00000534,N00000534
N20002645,N00000534,N00000535
N20002646,N00000581,N00000581
N20002647,N00000535,N00000535
N20002648,N00000634,N00000634
N20002649,N00000635,N00000636
N20002650,N00000536,N00000538
N20002651,N00000632,N00000632
N20002652,N00000522,N00000525
N20002653,N00000537,N00000537
N20002654,N00000524,N00000523
N20002655,N00000539,N00000538
N20002656,N00000520,N00000525
N20002657,N00000520,N00000520
N20002658,N00000518,N00000518
N20002659,N00000525,N00000525
N20002660,N00000520,N00000521
N20002661,N00000519,N00000519
N20002662,N00000585,N00000631
N20002663,N00000633,N00000632
N20002664,N00000586,N00000586
N20002665,N00000500,N00000612
N20002666,N00000500,N00000500
N20002667,N00000601,N00000601
N20002668,N00000585,N00000585
N20002669,N00000501,N00000499
N20002670,N00000602,N00000600
N20002671,N00000500,N00000500
N20002672,N00000596,N00000596
N20002673,N00000504,N00000504
N20002674,N00000583,N00000583
N20002675,N00000584,N00000584
N20002676,N00000587,N00000584
N20002677,N00000582,N00000582
N20002678,N00000608,N00000608
N20002679,N00000586,N00000586
N20002680,N00000607,N00000607
N20002681,N00000605,N00000610
N20002682,N00000606,N00000606
N20002683,N00000603,N00000603
N20002684,N00000609,N00000610
N20002685,N00003099,N00003099
N20002686,N00003098,N00003098
N20002687,N00003100,N00003100
N20002688,N00003102,N00003102
N20002689,N00003123,N00003125
N20002690,N00003102,N00003102
N20002691,N00003123,N00003123
N20002692,N00003093,N00003093
N20002693,N00003094,N00003094
N20002694,N00003127,N00003127
N20002695,N00003096,N00003096
N20002696,N00003084,N00003084
N20002697,N00003120,N00003120
N20002698,N00003088,N00003088
N20002699,N00003090,N00003090
N20002700,N00003091,N00003091
N20002701,N00003089,N00003089
N20002702,N00003092,N00003092
N20002703,N00003121,N00003121
N20002704,N00003083,N00003083
N20002705,N00003145,N00003145
N20002706,N00003146,N00003146
N20002707,N00003159,N00003159
N20002708,N00003114,N00003114
N20002709,N00003138,N00003085
N20002710,N00003080,N00003080
N20002711,N00003112,N00003112
N20002712,N00003111,N00003111
N20002713,N00003121,N00003121
N20002714,N00003156,N00003155
N20002715,N00003160,N00003160
N20002716,N00003145,N00003145
N20002717,N00003160,N00003155
N20002718,N00003158,N00003158
N20002719,N00003070,N00003070
N20002720,N00003119,N00003119
N20002721,N00003118,N00003118
N20002722,N00003067,N00003067
N20002723,N00003069,N00003069
N20002724,N00003068,N00003072
N20002725,N00003134,N00003134
N20002726,N00003133,N00003133
N20002727,N00003104,N00003104
N20002728,N00003133,N00003136
N20002729,N00003105,N00003105
N20002730,N00003147,N00003147
N20002731,N00003145,N00003147
N20002732,N00003108,N00003108
N20002733,N00003147,N00003147
N20002734,N00003109,N00003109
N20002735,N00003137,N00003137
N20002736,N00003109,N00003109
N20002737,N00003149,N00003149
N20002738,N00003149,N00003149
N20002739,N00003144,N00003144
N20002740,N00003152,N00003151
N20002741,N00003128,N00003130
N20002742,N00003152,N00003153
N20002743,N00003141,N00003139
N20002744,N00003129,N00003131
N20002745,N00003129,N00003129
N20002746,N00003153,N00003153
N20002747,N00003074,N00003074
N20002748,N00003142,N00003143
N20002749,N00003078,N00003078
N20002750,N00003076,N00003076
N20002751,N00003142,N00003142
N20002752,N00003077,N00003076
N20002753,N00003078,N00003076
N20002754,N00001643,N00001643
N20002755,N00001642,N00001642
N20002756,N00001645,N00001645
N20002757,N00001740,N00001740
N20002758,N00001739,N00001739
N20002759,N00001740,N00001740
N20002760,N00001646,N00001646
N20002761,N00001646,N00001741
N20002762,N00001738,N00001738
N20002763,N00001678,N00001678
N20002764,N00001651,N00001651
N20002765,N00001680,N00001680
N20002766,N00001652,N00001652
N20002767,N00001681,N00001681
N20002768,N00001678,N00001684
N20002769,N00001653,N00001652
N20002770,N00001684,N00001684
N20002771,N00001654,N00001654
N20002772,N00001714,N00001714
N20002773,N00001718,N00001720
N20002774,N00001732,N00001732
N20002775,N00001685,N00001687
N20002776,N00001717,N00001717
N20002777,N00001649,N00001649
N20002778,N00001686,N00001682
N20002779,N00001683,N00001681
N20002780,N00001714,N00001714
N20002781,N00001714,N00001714
N20002782,N00001650,N00001650
N20002783,N00001660,N00001660
N20002784,N00001655,N00001655
N20002785,N00001657,N00001660
N20002786,N00001732,N00001732
N20002787,N00001733,N00001733
N20002788,N00001648,N00001648
N20002789,N00001658,N00001655
N20002790,N00001713,N00001714
N20002791,N00001737,N00001735
N20002792,N00001731,N00001731
