DZ2021_cd,DZ2021_nm,DEA2014_nm,dea_1972,dea_1984,dea_1993,dea_2012
N20003751,Ards_Peninsula_E4,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003743,Ards_Peninsula_C5,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003749,Ards_Peninsula_E2,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003748,Ards_Peninsula_E1,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003747,Ards_Peninsula_D6,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003745,Ards_Peninsula_D4,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003742,Ards_Peninsula_D2,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003741,Ards_Peninsula_D1,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003746,Ards_Peninsula_D5,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003752,Ards_Peninsula_D7,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003754,Ards_Peninsula_F1,Ards Peninsula,ARDS AREA A,ARDS PENINSULA,ARDS PENINSULA,Ards Peninsula
N20003460,Comber_F4,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003457,Comber_F1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003459,Comber_F3,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003458,Comber_F2,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003454,Comber_D5,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003453,Comber_D4,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003455,Comber_D6,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003435,Comber_C3,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003439,Comber_C6,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003447,Comber_C7,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003450,Comber_B6,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003449,Comber_B5,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003444,Comber_B3,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003445,Comber_B4,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003438,Comber_C5,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003434,Comber_C2,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003436,Comber_C4,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003441,Comber_B2,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003440,Comber_B1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003437,Comber_A1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003443,Comber_A3,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003451,Comber_D2,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003452,Comber_D3,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003446,Comber_D1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003448,Comber_A4,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003442,Comber_A2,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003433,Comber_E1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003432,Comber_C1,Comber,ARDS AREA C,ARDS WEST,ARDS WEST,Comber
N20003536,Newtownards_N4,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003534,Newtownards_S5,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003535,Newtownards_N3,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003532,Newtownards_S3,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003531,Newtownards_S2,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003533,Newtownards_S4,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003526,Newtownards_P3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003527,Newtownards_P4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003530,Newtownards_S1,Newtownards,ARDS AREA B,ARDS WEST,NEWTOWNARDS,Newtownards
N20003529,Newtownards_R4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003528,Newtownards_Q4,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003525,Newtownards_Q3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003744,Ards_Peninsula_D3,Ards Peninsula,ARDS AREA B,NEWTOWNARDS,ARDS PENINSULA,Ards Peninsula
N20003740,Ards_Peninsula_C4,Ards Peninsula,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Ards Peninsula
N20003731,Ards_Peninsula_C2,Ards Peninsula,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Ards Peninsula
N20003678,Bangor_Central_Q5,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003476,Newtownards_A3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003479,Newtownards_B2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003482,Newtownards_C1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003489,Newtownards_C3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003487,Newtownards_C2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003491,Newtownards_G1,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003488,Newtownards_D2,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003484,Newtownards_D1,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003481,Newtownards_B4,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003480,Newtownards_B3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003477,Newtownards_B1,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003738,Ards_Peninsula_B1,Ards Peninsula,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Ards Peninsula
N20003492,Newtownards_D3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003497,Newtownards_H1,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003505,Newtownards_H2,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003739,Ards_Peninsula_B2,Ards Peninsula,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Ards Peninsula
N20003515,Newtownards_H5,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003520,Newtownards_Q2,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003519,Newtownards_Q1,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003511,Newtownards_H4,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003507,Newtownards_H3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003498,Newtownards_G2,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003501,Newtownards_G3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003506,Newtownards_K2,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003502,Newtownards_K1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003512,Newtownards_R2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003509,Newtownards_R1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003517,Newtownards_R3,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003514,Newtownards_G4,Newtownards,ARDS AREA B,NEWTOWNARDS,ARDS EAST,Newtownards
N20003522,Newtownards_L4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003521,Newtownards_P1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003524,Newtownards_P2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003516,Newtownards_L2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003518,Newtownards_L3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003510,Newtownards_J4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003500,Newtownards_L1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003499,Newtownards_J1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003504,Newtownards_J3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003513,Newtownards_J5,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003503,Newtownards_J2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003496,Newtownards_C4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003493,Newtownards_F3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003495,Newtownards_F4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003485,Newtownards_F1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003486,Newtownards_F2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003478,Newtownards_A4,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003483,Newtownards_E1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003490,Newtownards_E2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003494,Newtownards_E3,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003508,Newtownards_N1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003523,Newtownards_N2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20002509,Castlereagh_East_B2,Castlereagh East,CASTLEREAGH AREA B,CASTLEREAGH EAST,CASTLEREAGH EAST,Castlereagh East
N20003475,Newtownards_A2,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003474,Newtownards_A1,Newtownards,ARDS AREA B,NEWTOWNARDS,NEWTOWNARDS,Newtownards
N20003620,Bangor_West_J4,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003618,Bangor_West_H6,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003617,Bangor_West_H5,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003616,Bangor_West_H4,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003569,Holywood_and_Clandeboye_F4,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003547,Holywood_and_Clandeboye_C2,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003544,Holywood_and_Clandeboye_F2,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003539,Holywood_and_Clandeboye_F1,Holywood and Clandeboye,NORTH DOWN AREA D,HOLYWOOD,HOLYWOOD,Holywood and Clandeboye
N20003540,Holywood_and_Clandeboye_A3,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003546,Holywood_and_Clandeboye_C1,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003591,Bangor_West_E1,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003594,Bangor_West_E2,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003588,Bangor_West_B3,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003598,Bangor_West_C4,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003600,Bangor_West_E3,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003604,Bangor_West_E4,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003612,Bangor_West_E6,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003606,Bangor_West_E5,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003607,Bangor_West_H1,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003608,Bangor_West_H2,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003609,Bangor_West_H3,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003602,Bangor_West_D5,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003597,Bangor_West_D4,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003595,Bangor_West_C3,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003587,Bangor_West_B2,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003589,Bangor_West_C2,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003580,Bangor_West_A3,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003582,Bangor_West_C1,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003585,Bangor_West_B1,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003543,Holywood_and_Clandeboye_B3,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003541,Holywood_and_Clandeboye_B1,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003542,Holywood_and_Clandeboye_B2,Holywood and Clandeboye,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003578,Bangor_West_A1,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003579,Bangor_West_A2,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003584,Bangor_West_A6,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003581,Bangor_West_A4,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003583,Bangor_West_A5,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003642,Bangor_Central_C4,Bangor Central,NORTH DOWN AREA C,ABBEY,ABBEY,Bangor Central
N20003640,Bangor_Central_C3,Bangor Central,NORTH DOWN AREA C,ABBEY,ABBEY,Bangor Central
N20003632,Bangor_Central_C2,Bangor Central,NORTH DOWN AREA C,ABBEY,ABBEY,Bangor Central
N20003628,Bangor_Central_C1,Bangor Central,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor Central
N20003624,Bangor_Central_A3,Bangor Central,NORTH DOWN AREA A,ABBEY,ABBEY,Bangor Central
N20003623,Bangor_Central_A2,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,ABBEY,Bangor Central
N20003630,Bangor_Central_D2,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
N20003626,Bangor_Central_D1,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
N20003639,Bangor_Central_D3,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
N20003633,Bangor_Central_F2,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
N20003631,Bangor_Central_F1,Bangor Central,NORTH DOWN AREA A,ABBEY,ABBEY,Bangor Central
N20003636,Bangor_Central_F3,Bangor Central,NORTH DOWN AREA A,ABBEY,ABBEY,Bangor Central
N20003644,Bangor_Central_F4,Bangor Central,NORTH DOWN AREA C,ABBEY,ABBEY,Bangor Central
N20003647,Bangor_Central_G3,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
N20003650,Bangor_Central_J1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003648,Bangor_Central_H1,Bangor Central,NORTH DOWN AREA C,ABBEY,ABBEY,Bangor Central
N20003653,Bangor_Central_K2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003651,Bangor_Central_K1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003649,Bangor_Central_H2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003596,Bangor_West_F2,Bangor West,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor West
N20003599,Bangor_West_F3,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003592,Bangor_West_F1,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003586,Bangor_West_D1,Bangor West,NORTH DOWN AREA C,BANGOR WEST,BANGOR WEST,Bangor West
N20003593,Bangor_West_D3,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003590,Bangor_West_D2,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003601,Bangor_West_G1,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003603,Bangor_West_G2,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003605,Bangor_West_F4,Bangor West,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor West
N20003614,Bangor_West_G4,Bangor West,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor West
N20003610,Bangor_West_G3,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003611,Bangor_West_J1,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003613,Bangor_West_J2,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003619,Bangor_West_J3,Bangor West,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Bangor West
N20003615,Bangor_West_G5,Bangor West,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor West
N20003657,Bangor_Central_K4,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003663,Bangor_Central_N1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003557,Holywood_and_Clandeboye_G3,Holywood and Clandeboye,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003556,Holywood_and_Clandeboye_G2,Holywood and Clandeboye,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003554,Holywood_and_Clandeboye_G1,Holywood and Clandeboye,NORTH DOWN AREA B,BANGOR WEST,BANGOR WEST,Holywood and Clandeboye
N20003562,Holywood_and_Clandeboye_J1,Holywood and Clandeboye,NORTH DOWN AREA B,ABBEY,ABBEY,Holywood and Clandeboye
N20003568,Holywood_and_Clandeboye_J2,Holywood and Clandeboye,NORTH DOWN AREA B,ABBEY,ABBEY,Holywood and Clandeboye
N20003572,Holywood_and_Clandeboye_J3,Holywood and Clandeboye,NORTH DOWN AREA B,ABBEY,ABBEY,Holywood and Clandeboye
N20003677,Bangor_Central_Q4,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003674,Bangor_Central_Q2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003670,Bangor_Central_N3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003671,Bangor_Central_N4,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003675,Bangor_Central_P5,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003673,Bangor_Central_Q1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003676,Bangor_Central_Q3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003672,Bangor_Central_P4,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,ABBEY,Bangor Central
N20003668,Bangor_Central_L5,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003667,Bangor_Central_P2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003662,Bangor_Central_L2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003664,Bangor_Central_L3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003665,Bangor_Central_L4,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003666,Bangor_Central_N2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003659,Bangor_Central_L1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003660,Bangor_Central_K5,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003656,Bangor_Central_K3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003654,Bangor_Central_H3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003655,Bangor_Central_J3,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003658,Bangor_Central_J4,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003661,Bangor_Central_P1,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003712,Bangor_East_and_Donaghadee_H2,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003716,Bangor_East_and_Donaghadee_H4,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003708,Bangor_East_and_Donaghadee_G5,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003709,Bangor_East_and_Donaghadee_G6,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003710,Bangor_East_and_Donaghadee_H1,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003714,Bangor_East_and_Donaghadee_H3,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003717,Bangor_East_and_Donaghadee_H5,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003719,Bangor_East_and_Donaghadee_H6,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003669,Bangor_Central_P3,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,ABBEY,Bangor Central
N20003706,Bangor_East_and_Donaghadee_F5,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003697,Bangor_East_and_Donaghadee_F2,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003702,Bangor_East_and_Donaghadee_F4,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003699,Bangor_East_and_Donaghadee_G2,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003701,Bangor_East_and_Donaghadee_F3,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003703,Bangor_East_and_Donaghadee_G3,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003705,Bangor_East_and_Donaghadee_G4,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003652,Bangor_Central_J2,Bangor Central,NORTH DOWN AREA B,ABBEY,ABBEY,Bangor Central
N20003698,Bangor_East_and_Donaghadee_G1,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003695,Bangor_East_and_Donaghadee_D3,Bangor East and Donaghadee,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor East and Donaghadee
N20003646,Bangor_Central_G2,Bangor Central,NORTH DOWN AREA A,BALLYHOLME and GROOMSPORT,BALLYHOLME AND GROOMSPORT,Bangor Central
