DZ2021_cd,SA2011,weight
N20000059,N00000111,0.00012046122998561558
N20000060,N00000112,0.541328580039139
N20000060,N00000111,0.2538685266249316
N20000060,N00000113,0.20362969509661255
N20000060,N00000114,0.001171894282564146
N20000060,N00000058,1.3004298435965422e-06
N20000061,N00000061,0.4272936050171373
N20000061,N00000058,0.26487721991443697
N20000061,N00000111,0.24641260704634652
N20000061,N00000057,0.03513907177533876
N20000061,N00000059,0.025718164166773756
N20000061,N00000112,0.0005593320799651117
N20000062,N00000060,0.4997591359913177
N20000062,N00000061,0.3397566307319532
N20000062,N00000059,0.05870303937517855
N20000062,N00000058,0.04001167854301856
N20000062,N00000071,0.029473602129497883
N20000062,N00000063,0.023618423665765144
N20000062,N00000072,0.008677489563296175
N20000063,N00000071,0.4826375316228945
N20000063,N00000073,0.2819034263823115
N20000063,N00000013,0.16694363934286502
N20000063,N00000063,0.03716391330985515
N20000063,N00000014,0.01187895019565829
N20000063,N00000060,0.011046560461739895
N20000063,N00000072,0.008425978684978231
N20000064,N00000065,0.4665762578924185
N20000064,N00000114,0.34127773387970595
N20000064,N00000113,0.15688785820126155
N20000064,N00000066,0.03525815002660269
N20000065,N00000062,0.3404096327788814
N20000065,N00000111,0.24645292561026905
N20000065,N00000066,0.17695839660205065
N20000065,N00000114,0.14713138854224736
N20000065,N00000061,0.08884316646402146
N20000065,N00000113,0.0002044900025176587
N20000066,N00000067,0.7705054872073178
N20000066,N00000069,0.1383993278030709
N20000066,N00000064,0.09107979757887184
N20000066,N00000053,1.5387410750914798e-05
N20000067,N00000069,0.4127393571680837
N20000067,N00000064,0.26711084683607184
N20000067,N00000065,0.11198854299128488
N20000067,N00000068,0.09988272208202009
N20000067,N00000067,0.052192948648335735
N20000067,N00000019,0.036559493583772446
N20000067,N00000017,0.019520925553471864
N20000067,N00000053,2.921080192426117e-06
N20000067,N00000114,2.2420567638396566e-06
N20000068,N00000073,0.6187092434322456
N20000068,N00000072,0.37007152873548094
N20000068,N00000071,0.011219227832198336
N20000069,N00000072,0.9490632896844425
N20000069,N00000061,0.04932107008522452
N20000069,N00000060,0.00161564023012946
N20000070,N00000065,0.3872941426929422
N20000070,N00000066,0.3547940605337319
N20000070,N00000068,0.2576586814746814
N20000070,N00000017,0.0002507271801916685
N20000070,N00000114,2.388118454105135e-06
N20000071,N00000073,0.5209991856343075
N20000071,N00000014,0.2990616120831593
N20000071,N00000072,0.17993920228340574
N20000072,N00000062,0.4834089897187204
N20000072,N00000061,0.44832254119073467
N20000072,N00000072,0.06002474071029083
N20000072,N00000066,0.004042930145291138
N20000072,N00000060,0.003963569432672622
N20000072,N00000068,0.00023722880249926891
N20000073,N00000055,0.3723766098405818
N20000073,N00000056,0.3594683784934115
N20000073,N00000021,0.14855480110976677
N20000073,N00000054,0.07917273336889999
N20000073,N00000053,0.03674816173155504
N20000073,N00000124,0.0026039259231494228
N20000073,N00000022,0.001075389532652521
N20000074,N00000019,0.5190677497180652
N20000074,N00000017,0.28227599483615934
N20000074,N00000069,0.17580933953193126
N20000074,N00000018,0.022392253302999696
N20000074,N00000022,0.0004363308643027368
N20000074,N00000056,8.683203586780336e-06
N20000074,N00000053,8.33538930826201e-06
N20000075,N00000072,0.999989785317737
N20000075,N00000014,1.0214682009146688e-05
N20000076,N00000014,0.8568060969458929
N20000076,N00000013,0.1416768190320814
N20000076,N00000012,0.001042114026055889
N20000076,N00000073,0.0004328702924624858
N20000076,N00000072,4.2099703450712155e-05
N20000077,N00000013,0.46654882020410876
N20000077,N00000016,0.30912570833212893
N20000077,N00000015,0.2003394737319265
N20000077,N00000012,0.019521178820701406
N20000077,N00000014,0.004464818911162909
N20000078,N00000021,0.40129440508135317
N20000078,N00000056,0.3430855955350358
N20000078,N00000022,0.25118085053053507
N20000078,N00000053,0.0016028130447617414
N20000078,N00000023,0.0015926823592134292
N20000078,N00000055,0.0012353230896052115
N20000078,N00000124,5.3741212879327745e-06
N20000078,N00000019,2.9562382145755717e-06
N20000079,N00000022,0.39876232770059766
N20000079,N00000023,0.28923863882394546
N20000079,N00000020,0.14284696476063932
N20000079,N00000019,0.08466409289696401
N20000079,N00000017,0.08448316313588411
N20000079,N00000021,2.661117687678192e-06
N20000079,N00000056,2.1515642733836968e-06
N20000080,N00000068,0.347471762735889
N20000080,N00000018,0.209688543480103
N20000080,N00000023,0.15761668637581608
N20000080,N00000017,0.13561687752851925
N20000080,N00000062,0.06692599008779677
N20000080,N00000022,0.05684855993635437
N20000080,N00000066,0.01253891332981416
N20000080,N00000065,0.007935086161720638
N20000080,N00000069,0.005299631677254441
N20000080,N00000009,3.820601867223858e-05
N20000080,N00000008,1.9742669044706712e-05
N20000081,N00000011,0.4485986047087987
N20000081,N00000015,0.27158291200899276
N20000081,N00000016,0.17077426879051888
N20000081,N00000012,0.10904421449167033
N20000082,N00000023,0.39961302464120946
N20000082,N00000020,0.29200661292694935
N20000082,N00000018,0.26193310200735764
N20000082,N00000022,0.04491236816160443
N20000082,N00000017,0.0015348922628845665
N20000083,N00000012,0.766456951051675
N20000083,N00000016,0.134594742531871
N20000083,N00000014,0.09764904943094857
N20000083,N00000013,0.0012979528007091086
N20000083,N00000011,1.304184788671729e-06
N20000084,N00000011,0.7519666704815768
N20000084,N00000015,0.11160440566463298
