code,name,LGD,EDM_score,EDM_rank,EDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Proximity to Services_score,Proximity to Services_rank
95BB150001,Kircubbin_1,,20.06,2280,5,0.08,3764,0.15,2490,1.29,242
95BB150002,Kircubbin_1,,21.37,2106,5,0.13,3064,0.16,2178,1.1,436
95BB150003,Kircubbin_1,,20.09,2270,5,0.1,3598,0.13,2974,1.4,155
95BB150004,Kircubbin_2,,20.1,2263,5,0.24,1823,0.14,2785,0.49,1296
95BB150005,Kircubbin_2,,25.42,1647,4,0.3,1436,0.14,2599,0.93,648
95BB150006,Kircubbin_2,,24.48,1750,4,0.27,1583,0.19,1592,-0.01,2309
95BB150007,Kircubbin_2,,13.58,3133,7,0.12,3292,0.13,2829,0.28,1640
95BB150008,Kircubbin_1,,17.55,2602,6,0.16,2747,0.09,4182,1.23,294
95BB160001,Lisbane_1,,5.47,4482,9,0.03,4772,0.08,4254,0.1,2019
95BB160002,Lisbane_2,,6.32,4326,9,0.05,4450,0.05,4858,0.45,1361
95BB160003,Lisbane_2,,12.11,3322,7,0.11,3356,0.1,3823,0.62,1071
95BB160004,Lisbane_2,,6.24,4339,9,0.04,4526,0.08,4358,0.22,1763
95BB160005,Lisbane_1,,5.23,4516,9,0.02,4930,0.07,4648,0.32,1577
95BB160006,Lisbane_2,,11.85,3368,7,0.1,3573,0.1,3908,0.73,922
95BB160007,Lisbane_1,,13.95,3087,7,0.09,3685,0.12,3077,0.75,888
95BB160008,Lisbane_1,,9.91,3678,8,0.08,3906,0.07,4587,0.8,822
95BB170001,Loughries_2,,11.25,3460,7,0.06,4094,0.09,4038,0.89,697
95BB170002,Loughries_2,,8.69,3866,8,0.06,4199,0.09,3963,0.43,1401
95BB170003,Loughries_1,,9.73,3702,8,0.07,4011,0.12,3169,0.07,2101
95BB170004,Loughries_1,,6.77,4244,9,0.05,4406,0.09,4174,0.19,1826
95BB170005,Loughries_1,,6.7,4259,9,0.07,4030,0.08,4283,0.03,2189
95BB170006,Loughries_1,,10.86,3516,8,0.07,4028,0.13,2850,0.11,2005
95BB170007,Loughries_2,,6.93,4219,9,0.04,4630,0.1,3803,0.13,1952
