OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95DD200007,N20002666,N20002666
95DD210001,N20002613,N20002613
95DD210002,N20002613,N20002615
95DD210003,N20002591,N20002591
95DD210004,N20002597,N20002597
95DD210005,N20002597,N20002606
95DD210006,N20002606,N20002606
95DD220001,N20002552,N20002552
95DD220002,N20002553,N20002563
95DD220003,N20002563,N20002563
95DD220004,N20002552,N20002562
95DD220005,N20002563,N20002563
95DD220006,N20002560,N20002560
95DD220007,N20002577,N20002561
95DD220008,N20002577,N20002577
95DD230001,N20002662,N20002662
95DD230002,N20002664,N20002651
95DD230003,N20002663,N20002651
95DD230004,N20002642,N20002648
95DD230005,N20002662,N20002649
95DD230006,N20002642,N20002649
95DD240001,N20002592,N20002592
95DD240002,N20002593,N20002593
95DD240003,N20002604,N20002604
95DD240004,N20002612,N20002612
95DD240005,N20002590,N20002593
95DD240006,N20002598,N20002590
95DD240007,N20002593,N20002593
95EE010001,N20001678,N20001678
95EE010002,N20001676,N20001683
95EE010003,N20001683,N20001683
95EE010004,N20001683,N20001683
95EE020001,N20001646,N20001646
95EE020002,N20001636,N20001643
95EE020003,N20001645,N20001645
95EE020004,N20001643,N20001643
95EE020005,N20001644,N20001644
95EE030001,N20001701,N20001701
95EE030002,N20001692,N20001692
95EE030003,N20001692,N20001692
95EE030004,N20001695,N20001695
95EE030005,N20001697,N20001696
95EE030006,N20001696,N20001701
95EE040001,N20001725,N20001723
95EE040002,N20001725,N20001725
95EE040003,N20001715,N20001715
95EE040004,N20001715,N20001723
95EE040005,N20001723,N20001723
95EE050001,N20001685,N20001685
95EE050002,N20001650,N20001650
95EE050003,N20001712,N20001712
95EE050004,N20001645,N20001645
95EE060001,N20001716,N20001716
95EE060002,N20001722,N20001722
95EE060003,N20001716,N20001725
95EE060004,N20001718,N20001724
95EE060005,N20001724,N20001724
95EE070001,N20001706,N20001706
95EE070002,N20001706,N20001706
95EE070003,N20001702,N20001702
95EE070004,N20001712,N20001710
95EE070005,N20001702,N20001702
95EE080001,N20001689,N20001689
95EE080002,N20001686,N20001686
95EE080003,N20001689,N20001689
95EE080004,N20001699,N20001699
95EE080005,N20001698,N20001698
95EE090001,N20001722,N20001720
95EE090002,N20001720,N20001720
95EE090003,N20001727,N20001727
95EE090004,N20001714,N20001712
95EE100001,N20001731,N20001731
95EE100002,N20001730,N20001730
95EE100003,N20001731,N20001731
95EE100004,N20001727,N20001728
