SA2011,age_band,religion_brought_up_in,count
N00002738,25-44,Protestant and Other Christian,52
N00002738,25-44,Other religions and none,4
N00002738,45+,Catholic,80
N00002738,45+,Protestant and Other Christian,118
N00002738,45+,Other religions and none,5
N00002739,0-24,Catholic,13
N00002739,0-24,Protestant and Other Christian,99
N00002739,0-24,Other religions and none,17
N00002739,25-44,Catholic,15
N00002739,25-44,Protestant and Other Christian,67
N00002739,25-44,Other religions and none,6
N00002739,45+,Catholic,17
N00002739,45+,Protestant and Other Christian,157
N00002739,45+,Other religions and none,7
N00002740,0-24,Catholic,61
N00002740,0-24,Protestant and Other Christian,68
N00002740,0-24,Other religions and none,7
N00002740,25-44,Catholic,47
N00002740,25-44,Protestant and Other Christian,55
N00002740,25-44,Other religions and none,5
N00002740,45+,Catholic,54
N00002740,45+,Protestant and Other Christian,86
N00002740,45+,Other religions and none,0
N00002741,0-24,Catholic,77
N00002741,0-24,Protestant and Other Christian,65
N00002741,0-24,Other religions and none,26
N00002741,25-44,Catholic,59
N00002741,25-44,Protestant and Other Christian,52
N00002741,25-44,Other religions and none,8
N00002741,45+,Catholic,54
N00002741,45+,Protestant and Other Christian,95
N00002741,45+,Other religions and none,20
N00002742,0-24,Catholic,111
N00002742,0-24,Protestant and Other Christian,19
N00002742,0-24,Other religions and none,10
N00002742,25-44,Catholic,67
N00002742,25-44,Protestant and Other Christian,21
N00002742,25-44,Other religions and none,5
N00002742,45+,Catholic,105
N00002742,45+,Protestant and Other Christian,40
N00002742,45+,Other religions and none,1
N00002743,0-24,Catholic,64
N00002743,0-24,Protestant and Other Christian,32
N00002743,0-24,Other religions and none,10
N00002743,25-44,Catholic,59
N00002743,25-44,Protestant and Other Christian,18
N00002743,25-44,Other religions and none,4
N00002743,45+,Catholic,106
N00002743,45+,Protestant and Other Christian,62
N00002743,45+,Other religions and none,9
N00002744,0-24,Catholic,80
N00002744,0-24,Protestant and Other Christian,8
N00002744,0-24,Other religions and none,5
N00002744,25-44,Catholic,60
N00002744,25-44,Protestant and Other Christian,10
N00002744,25-44,Other religions and none,1
N00002744,45+,Catholic,88
N00002744,45+,Protestant and Other Christian,13
N00002744,45+,Other religions and none,2
N00002745,0-24,Catholic,85
N00002745,0-24,Protestant and Other Christian,22
N00002745,0-24,Other religions and none,7
N00002745,25-44,Catholic,48
N00002745,25-44,Protestant and Other Christian,16
N00002745,25-44,Other religions and none,5
N00002745,45+,Catholic,112
N00002745,45+,Protestant and Other Christian,26
N00002745,45+,Other religions and none,3
N00002746,0-24,Catholic,98
N00002746,0-24,Protestant and Other Christian,11
N00002746,0-24,Other religions and none,8
N00002746,25-44,Catholic,62
N00002746,25-44,Protestant and Other Christian,9
N00002746,25-44,Other religions and none,6
N00002746,45+,Catholic,89
N00002746,45+,Protestant and Other Christian,26
N00002746,45+,Other religions and none,0
N00002747,0-24,Catholic,35
N00002747,0-24,Protestant and Other Christian,13
N00002747,0-24,Other religions and none,7
N00002747,25-44,Catholic,40
N00002747,25-44,Protestant and Other Christian,13
N00002747,25-44,Other religions and none,3
N00002747,45+,Catholic,118
N00002747,45+,Protestant and Other Christian,29
N00002747,45+,Other religions and none,4
N00002748,0-24,Catholic,84
N00002748,0-24,Protestant and Other Christian,30
N00002748,0-24,Other religions and none,14
N00002748,25-44,Catholic,69
N00002748,25-44,Protestant and Other Christian,25
N00002748,25-44,Other religions and none,6
N00002748,45+,Catholic,70
N00002748,45+,Protestant and Other Christian,49
N00002748,45+,Other religions and none,4
N00002749,0-24,Catholic,92
N00002749,0-24,Protestant and Other Christian,15
N00002749,0-24,Other religions and none,9
N00002749,25-44,Catholic,69
N00002749,25-44,Protestant and Other Christian,14
N00002749,25-44,Other religions and none,7
N00002749,45+,Catholic,85
N00002749,45+,Protestant and Other Christian,38
N00002749,45+,Other religions and none,5
N00002750,0-24,Catholic,67
N00002750,0-24,Protestant and Other Christian,5
N00002750,0-24,Other religions and none,2
N00002750,25-44,Catholic,68
N00002750,25-44,Protestant and Other Christian,7
N00002750,25-44,Other religions and none,2
N00002750,45+,Catholic,100
N00002750,45+,Protestant and Other Christian,9
N00002750,45+,Other religions and none,1
N00002751,0-24,Catholic,61
N00002751,0-24,Protestant and Other Christian,21
N00002751,0-24,Other religions and none,6
N00002751,25-44,Catholic,68
N00002751,25-44,Protestant and Other Christian,25
N00002751,25-44,Other religions and none,10
N00002751,45+,Catholic,58
N00002751,45+,Protestant and Other Christian,50
N00002751,45+,Other religions and none,2
N00002752,0-24,Catholic,32
N00002752,0-24,Protestant and Other Christian,18
N00002752,0-24,Other religions and none,5
N00002752,25-44,Catholic,28
N00002752,25-44,Protestant and Other Christian,14
N00002752,25-44,Other religions and none,5
N00002752,45+,Catholic,77
N00002752,45+,Protestant and Other Christian,102
N00002752,45+,Other religions and none,2
N00002753,0-24,Catholic,173
N00002753,0-24,Protestant and Other Christian,11
N00002753,0-24,Other religions and none,9
N00002753,25-44,Catholic,110
N00002753,25-44,Protestant and Other Christian,6
N00002753,25-44,Other religions and none,6
N00002753,45+,Catholic,172
N00002753,45+,Protestant and Other Christian,31
N00002753,45+,Other religions and none,6
N00002754,0-24,Catholic,122
N00002754,0-24,Protestant and Other Christian,7
N00002754,0-24,Other religions and none,11
N00002754,25-44,Catholic,84
N00002754,25-44,Protestant and Other Christian,15
N00002754,25-44,Other religions and none,3
N00002754,45+,Catholic,130
N00002754,45+,Protestant and Other Christian,32
N00002754,45+,Other religions and none,6
N00002755,0-24,Catholic,156
N00002755,0-24,Protestant and Other Christian,20
N00002755,0-24,Other religions and none,23
N00002755,25-44,Catholic,55
N00002755,25-44,Protestant and Other Christian,27
N00002755,25-44,Other religions and none,5
N00002755,45+,Catholic,185
N00002755,45+,Protestant and Other Christian,110
N00002755,45+,Other religions and none,8
N00002756,0-24,Catholic,18
N00002756,0-24,Protestant and Other Christian,46
N00002756,0-24,Other religions and none,9
N00002756,25-44,Catholic,20
N00002756,25-44,Protestant and Other Christian,35
N00002756,25-44,Other religions and none,3
N00002756,45+,Catholic,30
N00002756,45+,Protestant and Other Christian,149
N00002756,45+,Other religions and none,5
N00002757,0-24,Catholic,61
N00002757,0-24,Protestant and Other Christian,74
N00002757,0-24,Other religions and none,18
N00002757,25-44,Catholic,61
N00002757,25-44,Protestant and Other Christian,77
N00002757,25-44,Other religions and none,9
N00002757,45+,Catholic,53
N00002757,45+,Protestant and Other Christian,124
N00002757,45+,Other religions and none,6
N00002758,0-24,Catholic,21
N00002758,0-24,Protestant and Other Christian,49
N00002758,0-24,Other religions and none,12
N00002758,25-44,Catholic,20
N00002758,25-44,Protestant and Other Christian,43
N00002758,25-44,Other religions and none,3
N00002758,45+,Catholic,38
N00002758,45+,Protestant and Other Christian,64
N00002758,45+,Other religions and none,4
N00002759,0-24,Catholic,45
N00002759,0-24,Protestant and Other Christian,68
N00002759,0-24,Other religions and none,17
N00002759,25-44,Catholic,28
N00002759,25-44,Protestant and Other Christian,54
N00002759,25-44,Other religions and none,11
N00002759,45+,Catholic,33
N00002759,45+,Protestant and Other Christian,77
N00002759,45+,Other religions and none,4
N00002760,0-24,Catholic,37
N00002760,0-24,Protestant and Other Christian,46
N00002760,0-24,Other religions and none,19
N00002760,25-44,Catholic,21
N00002760,25-44,Protestant and Other Christian,53
N00002760,25-44,Other religions and none,8
N00002760,45+,Catholic,33
N00002760,45+,Protestant and Other Christian,83
N00002760,45+,Other religions and none,6
N00002761,0-24,Catholic,68
N00002761,0-24,Protestant and Other Christian,175
N00002761,0-24,Other religions and none,57
N00002761,25-44,Catholic,71
N00002761,25-44,Protestant and Other Christian,169
N00002761,25-44,Other religions and none,24
N00002761,45+,Catholic,95
N00002761,45+,Protestant and Other Christian,269
N00002761,45+,Other religions and none,13
N00002762,0-24,Catholic,19
N00002762,0-24,Protestant and Other Christian,72
N00002762,0-24,Other religions and none,17
N00002762,25-44,Catholic,9
N00002762,25-44,Protestant and Other Christian,35
N00002762,25-44,Other religions and none,5
N00002762,45+,Catholic,30
N00002762,45+,Protestant and Other Christian,170
N00002762,45+,Other religions and none,7
N00002763,0-24,Catholic,28
N00002763,0-24,Protestant and Other Christian,71
N00002763,0-24,Other religions and none,12
N00002763,25-44,Catholic,24
N00002763,25-44,Protestant and Other Christian,44
N00002763,25-44,Other religions and none,4
N00002763,45+,Catholic,27
N00002763,45+,Protestant and Other Christian,167
N00002763,45+,Other religions and none,4
N00002764,0-24,Catholic,80
N00002764,0-24,Protestant and Other Christian,42
N00002764,0-24,Other religions and none,16
N00002764,25-44,Catholic,56
N00002764,25-44,Protestant and Other Christian,27
N00002764,25-44,Other religions and none,9
N00002764,45+,Catholic,121
N00002764,45+,Protestant and Other Christian,70
N00002764,45+,Other religions and none,6
N00002765,0-24,Catholic,67
N00002765,0-24,Protestant and Other Christian,34
N00002765,0-24,Other religions and none,14
N00002765,25-44,Catholic,54
N00002765,25-44,Protestant and Other Christian,33
N00002765,25-44,Other religions and none,6
N00002765,45+,Catholic,65
N00002765,45+,Protestant and Other Christian,94
N00002765,45+,Other religions and none,4
N00002766,0-24,Catholic,123
N00002766,0-24,Protestant and Other Christian,39
N00002766,0-24,Other religions and none,14
N00002766,25-44,Catholic,94
N00002766,25-44,Protestant and Other Christian,32
N00002766,25-44,Other religions and none,2
N00002766,45+,Catholic,139
N00002766,45+,Protestant and Other Christian,52
N00002766,45+,Other religions and none,4
N00002767,0-24,Catholic,65
N00002767,0-24,Protestant and Other Christian,61
N00002767,0-24,Other religions and none,12
N00002767,25-44,Catholic,48
N00002767,25-44,Protestant and Other Christian,49
N00002767,25-44,Other religions and none,5
N00002767,45+,Catholic,63
N00002767,45+,Protestant and Other Christian,85
N00002767,45+,Other religions and none,8
N00002768,0-24,Catholic,26
N00002768,0-24,Protestant and Other Christian,62
N00002768,0-24,Other religions and none,15
N00002768,25-44,Catholic,32
N00002768,25-44,Protestant and Other Christian,67
N00002768,25-44,Other religions and none,4
N00002768,45+,Catholic,39
N00002768,45+,Protestant and Other Christian,116
N00002768,45+,Other religions and none,1
N00002769,0-24,Catholic,102
N00002769,0-24,Protestant and Other Christian,46
N00002769,0-24,Other religions and none,4
N00002769,25-44,Catholic,83
N00002769,25-44,Protestant and Other Christian,40
N00002769,25-44,Other religions and none,5
N00002769,45+,Catholic,112
N00002769,45+,Protestant and Other Christian,81
N00002769,45+,Other religions and none,10
N00002770,0-24,Catholic,105
N00002770,0-24,Protestant and Other Christian,51
N00002770,0-24,Other religions and none,9
N00002770,25-44,Catholic,77
N00002770,25-44,Protestant and Other Christian,37
N00002770,25-44,Other religions and none,2
N00002770,45+,Catholic,122
N00002770,45+,Protestant and Other Christian,57
N00002770,45+,Other religions and none,3
N00002771,0-24,Catholic,68
N00002771,0-24,Protestant and Other Christian,5
N00002771,0-24,Other religions and none,4
N00002771,25-44,Catholic,51
N00002771,25-44,Protestant and Other Christian,5
N00002771,25-44,Other religions and none,2
N00002771,45+,Catholic,116
N00002771,45+,Protestant and Other Christian,21
N00002771,45+,Other religions and none,0
N00002772,0-24,Catholic,50
N00002772,0-24,Protestant and Other Christian,14
N00002772,0-24,Other religions and none,9
N00002772,25-44,Catholic,33
N00002772,25-44,Protestant and Other Christian,11
N00002772,25-44,Other religions and none,7
N00002772,45+,Catholic,95
N00002772,45+,Protestant and Other Christian,76
N00002772,45+,Other religions and none,2
N00002773,0-24,Catholic,46
N00002773,0-24,Protestant and Other Christian,14
N00002773,0-24,Other religions and none,3
N00002773,25-44,Catholic,41
N00002773,25-44,Protestant and Other Christian,11
N00002773,25-44,Other religions and none,3
N00002773,45+,Catholic,74
N00002773,45+,Protestant and Other Christian,24
N00002773,45+,Other religions and none,1
N00002774,0-24,Catholic,179
N00002774,0-24,Protestant and Other Christian,35
N00002774,0-24,Other religions and none,17
N00002774,25-44,Catholic,113
N00002774,25-44,Protestant and Other Christian,32
N00002774,25-44,Other religions and none,8
N00002774,45+,Catholic,153
N00002774,45+,Protestant and Other Christian,91
N00002774,45+,Other religions and none,12
N00002775,0-24,Catholic,114
N00002775,0-24,Protestant and Other Christian,24
N00002775,0-24,Other religions and none,3
N00002775,25-44,Catholic,79
N00002775,25-44,Protestant and Other Christian,25
N00002775,25-44,Other religions and none,6
N00002775,45+,Catholic,141
N00002775,45+,Protestant and Other Christian,77
N00002775,45+,Other religions and none,9
N00002776,0-24,Catholic,59
N00002776,0-24,Protestant and Other Christian,12
N00002776,0-24,Other religions and none,7
N00002776,25-44,Catholic,35
N00002776,25-44,Protestant and Other Christian,11
N00002776,25-44,Other religions and none,2
N00002776,45+,Catholic,98
N00002776,45+,Protestant and Other Christian,65
N00002776,45+,Other religions and none,3
N00002777,0-24,Catholic,83
N00002777,0-24,Protestant and Other Christian,8
N00002777,0-24,Other religions and none,4
N00002777,25-44,Catholic,48
N00002777,25-44,Protestant and Other Christian,17
N00002777,25-44,Other religions and none,2
N00002777,45+,Catholic,61
N00002777,45+,Protestant and Other Christian,12
N00002777,45+,Other religions and none,2
N00002778,0-24,Catholic,33
N00002778,0-24,Protestant and Other Christian,6
N00002778,0-24,Other religions and none,10
N00002778,25-44,Catholic,39
N00002778,25-44,Protestant and Other Christian,10
N00002778,25-44,Other religions and none,7
N00002778,45+,Catholic,103
N00002778,45+,Protestant and Other Christian,44
N00002778,45+,Other religions and none,2
N00002779,0-24,Catholic,150
N00002779,0-24,Protestant and Other Christian,9
N00002779,0-24,Other religions and none,16
N00002779,25-44,Catholic,120
N00002779,25-44,Protestant and Other Christian,21
N00002779,25-44,Other religions and none,2
N00002779,45+,Catholic,137
N00002779,45+,Protestant and Other Christian,39
N00002779,45+,Other religions and none,2
N00002780,0-24,Catholic,56
N00002780,0-24,Protestant and Other Christian,7
N00002780,0-24,Other religions and none,8
N00002780,25-44,Catholic,66
N00002780,25-44,Protestant and Other Christian,5
N00002780,25-44,Other religions and none,4
N00002780,45+,Catholic,147
N00002780,45+,Protestant and Other Christian,45
N00002780,45+,Other religions and none,7
N00002781,0-24,Catholic,80
N00002781,0-24,Protestant and Other Christian,6
N00002781,0-24,Other religions and none,8
N00002781,25-44,Catholic,75
N00002781,25-44,Protestant and Other Christian,19
N00002781,25-44,Other religions and none,9
N00002781,45+,Catholic,126
N00002781,45+,Protestant and Other Christian,69
N00002781,45+,Other religions and none,9
N00002782,0-24,Catholic,154
N00002782,0-24,Protestant and Other Christian,14
N00002782,0-24,Other religions and none,10
N00002782,25-44,Catholic,113
N00002782,25-44,Protestant and Other Christian,10
N00002782,25-44,Other religions and none,10
N00002782,45+,Catholic,149
N00002782,45+,Protestant and Other Christian,45
N00002782,45+,Other religions and none,5
N00002783,0-24,Catholic,109
N00002783,0-24,Protestant and Other Christian,5
N00002783,0-24,Other religions and none,7
N00002783,25-44,Catholic,85
N00002783,25-44,Protestant and Other Christian,10
N00002783,25-44,Other religions and none,1
N00002783,45+,Catholic,145
N00002783,45+,Protestant and Other Christian,25
N00002783,45+,Other religions and none,3
N00002784,0-24,Catholic,187
N00002784,0-24,Protestant and Other Christian,14
N00002784,0-24,Other religions and none,8
N00002784,25-44,Catholic,118
N00002784,25-44,Protestant and Other Christian,9
N00002784,25-44,Other religions and none,3
N00002784,45+,Catholic,181
N00002784,45+,Protestant and Other Christian,22
N00002784,45+,Other religions and none,2
N00002785,0-24,Catholic,200
N00002785,0-24,Protestant and Other Christian,20
N00002785,0-24,Other religions and none,5
N00002785,25-44,Catholic,160
N00002785,25-44,Protestant and Other Christian,15
N00002785,25-44,Other religions and none,3
N00002785,45+,Catholic,165
N00002785,45+,Protestant and Other Christian,26
N00002785,45+,Other religions and none,5
N00002786,0-24,Catholic,167
N00002786,0-24,Protestant and Other Christian,21
N00002786,0-24,Other religions and none,4
N00002786,25-44,Catholic,125
N00002786,25-44,Protestant and Other Christian,4
N00002786,25-44,Other religions and none,2
N00002786,45+,Catholic,168
N00002786,45+,Protestant and Other Christian,9
N00002786,45+,Other religions and none,3
N00002787,0-24,Catholic,146
N00002787,0-24,Protestant and Other Christian,26
N00002787,0-24,Other religions and none,7
N00002787,25-44,Catholic,91
N00002787,25-44,Protestant and Other Christian,24
N00002787,25-44,Other religions and none,0
N00002787,45+,Catholic,127
N00002787,45+,Protestant and Other Christian,39
N00002787,45+,Other religions and none,4
N00002788,0-24,Catholic,72
N00002788,0-24,Protestant and Other Christian,17
N00002788,0-24,Other religions and none,22
N00002788,25-44,Catholic,49
N00002788,25-44,Protestant and Other Christian,17
N00002788,25-44,Other religions and none,4
N00002788,45+,Catholic,113
N00002788,45+,Protestant and Other Christian,71
N00002788,45+,Other religions and none,5
N00002789,0-24,Catholic,159
N00002789,0-24,Protestant and Other Christian,18
N00002789,0-24,Other religions and none,10
N00002789,25-44,Catholic,140
N00002789,25-44,Protestant and Other Christian,24
N00002789,25-44,Other religions and none,10
N00002789,45+,Catholic,129
N00002789,45+,Protestant and Other Christian,45
N00002789,45+,Other religions and none,4
N00002790,0-24,Catholic,177
N00002790,0-24,Protestant and Other Christian,1
N00002790,0-24,Other religions and none,0
N00002790,25-44,Catholic,102
N00002790,25-44,Protestant and Other Christian,2
N00002790,25-44,Other religions and none,1
N00002790,45+,Catholic,204
N00002790,45+,Protestant and Other Christian,6
N00002790,45+,Other religions and none,0
N00002791,0-24,Catholic,85
N00002791,0-24,Protestant and Other Christian,34
N00002791,0-24,Other religions and none,12
N00002791,25-44,Catholic,77
N00002791,25-44,Protestant and Other Christian,29
N00002791,25-44,Other religions and none,2
N00002791,45+,Catholic,103
N00002791,45+,Protestant and Other Christian,73
N00002791,45+,Other religions and none,4
N00002792,0-24,Catholic,117
N00002792,0-24,Protestant and Other Christian,59
N00002792,0-24,Other religions and none,0
N00002792,25-44,Catholic,74
N00002792,25-44,Protestant and Other Christian,54
N00002792,25-44,Other religions and none,1
N00002792,45+,Catholic,100
N00002792,45+,Protestant and Other Christian,73
N00002792,45+,Other religions and none,1
N00002793,0-24,Catholic,167
N00002793,0-24,Protestant and Other Christian,5
N00002793,0-24,Other religions and none,0
N00002793,25-44,Catholic,121
N00002793,25-44,Protestant and Other Christian,5
N00002793,25-44,Other religions and none,0
N00002793,45+,Catholic,151
N00002793,45+,Protestant and Other Christian,3
N00002793,45+,Other religions and none,0
N00002794,0-24,Catholic,137
N00002794,0-24,Protestant and Other Christian,38
N00002794,0-24,Other religions and none,10
N00002794,25-44,Catholic,98
N00002794,25-44,Protestant and Other Christian,29
N00002794,25-44,Other religions and none,3
N00002794,45+,Catholic,151
N00002794,45+,Protestant and Other Christian,81
N00002794,45+,Other religions and none,4
N00002795,0-24,Catholic,186
N00002795,0-24,Protestant and Other Christian,26
N00002795,0-24,Other religions and none,3
N00002795,25-44,Catholic,126
N00002795,25-44,Protestant and Other Christian,17
N00002795,25-44,Other religions and none,6
N00002795,45+,Catholic,139
N00002795,45+,Protestant and Other Christian,34
N00002795,45+,Other religions and none,2
N00002796,0-24,Catholic,219
N00002796,0-24,Protestant and Other Christian,12
N00002796,0-24,Other religions and none,7
N00002796,25-44,Catholic,150
N00002796,25-44,Protestant and Other Christian,15
N00002796,25-44,Other religions and none,0
N00002796,45+,Catholic,151
N00002796,45+,Protestant and Other Christian,16
N00002796,45+,Other religions and none,1
N00002797,0-24,Catholic,107
N00002797,0-24,Protestant and Other Christian,80
N00002797,0-24,Other religions and none,11
N00002797,25-44,Catholic,81
N00002797,25-44,Protestant and Other Christian,68
N00002797,25-44,Other religions and none,3
N00002797,45+,Catholic,113
N00002797,45+,Protestant and Other Christian,86
N00002797,45+,Other religions and none,2
N00002798,0-24,Catholic,80
N00002798,0-24,Protestant and Other Christian,71
N00002798,0-24,Other religions and none,0
N00002798,25-44,Catholic,52
N00002798,25-44,Protestant and Other Christian,49
N00002798,25-44,Other religions and none,0
N00002798,45+,Catholic,72
N00002798,45+,Protestant and Other Christian,89
N00002798,45+,Other religions and none,2
N00002799,0-24,Catholic,58
N00002799,0-24,Protestant and Other Christian,42
N00002799,0-24,Other religions and none,1
N00002799,25-44,Catholic,43
N00002799,25-44,Protestant and Other Christian,44
N00002799,25-44,Other religions and none,4
N00002799,45+,Catholic,60
N00002799,45+,Protestant and Other Christian,55
N00002799,45+,Other religions and none,1
N00002800,0-24,Catholic,80
N00002800,0-24,Protestant and Other Christian,54
N00002800,0-24,Other religions and none,2
N00002800,25-44,Catholic,62
N00002800,25-44,Protestant and Other Christian,36
N00002800,25-44,Other religions and none,6
N00002800,45+,Catholic,96
N00002800,45+,Protestant and Other Christian,64
N00002800,45+,Other religions and none,6
N00002801,0-24,Catholic,138
N00002801,0-24,Protestant and Other Christian,32
N00002801,0-24,Other religions and none,1
N00002801,25-44,Catholic,109
N00002801,25-44,Protestant and Other Christian,28
N00002801,25-44,Other religions and none,0
N00002801,45+,Catholic,120
N00002801,45+,Protestant and Other Christian,58
N00002801,45+,Other religions and none,0
N00002802,0-24,Catholic,42
N00002802,0-24,Protestant and Other Christian,107
N00002802,0-24,Other religions and none,5
N00002802,25-44,Catholic,26
N00002802,25-44,Protestant and Other Christian,90
N00002802,25-44,Other religions and none,6
N00002802,45+,Catholic,28
N00002802,45+,Protestant and Other Christian,144
N00002802,45+,Other religions and none,4
N00002803,0-24,Catholic,91
N00002803,0-24,Protestant and Other Christian,92
N00002803,0-24,Other religions and none,11
N00002803,25-44,Catholic,86
N00002803,25-44,Protestant and Other Christian,62
N00002803,25-44,Other religions and none,5
N00002803,45+,Catholic,45
N00002803,45+,Protestant and Other Christian,111
N00002803,45+,Other religions and none,3
N00002804,0-24,Catholic,102
N00002804,0-24,Protestant and Other Christian,32
N00002804,0-24,Other religions and none,4
N00002804,25-44,Catholic,112
N00002804,25-44,Protestant and Other Christian,16
N00002804,25-44,Other religions and none,1
N00002804,45+,Catholic,99
N00002804,45+,Protestant and Other Christian,46
N00002804,45+,Other religions and none,0
N00002805,0-24,Catholic,53
N00002805,0-24,Protestant and Other Christian,73
N00002805,0-24,Other religions and none,2
N00002805,25-44,Catholic,54
N00002805,25-44,Protestant and Other Christian,54
N00002805,25-44,Other religions and none,0
N00002805,45+,Catholic,42
N00002805,45+,Protestant and Other Christian,103
N00002805,45+,Other religions and none,3
N00002806,0-24,Catholic,42
N00002806,0-24,Protestant and Other Christian,136
N00002806,0-24,Other religions and none,6
N00002806,25-44,Catholic,38
N00002806,25-44,Protestant and Other Christian,102
N00002806,25-44,Other religions and none,3
N00002806,45+,Catholic,28
N00002806,45+,Protestant and Other Christian,135
N00002806,45+,Other religions and none,5
N00002807,0-24,Catholic,58
N00002807,0-24,Protestant and Other Christian,91
N00002807,0-24,Other religions and none,2
N00002807,25-44,Catholic,49
N00002807,25-44,Protestant and Other Christian,68
N00002807,25-44,Other religions and none,0
N00002807,45+,Catholic,34
N00002807,45+,Protestant and Other Christian,98
N00002807,45+,Other religions and none,2
N00002808,0-24,Catholic,146
N00002808,0-24,Protestant and Other Christian,28
N00002808,0-24,Other religions and none,2
N00002808,25-44,Catholic,117
N00002808,25-44,Protestant and Other Christian,29
N00002808,25-44,Other religions and none,3
N00002808,45+,Catholic,134
N00002808,45+,Protestant and Other Christian,47
N00002808,45+,Other religions and none,7
N00002809,0-24,Catholic,115
N00002809,0-24,Protestant and Other Christian,75
N00002809,0-24,Other religions and none,1
N00002809,25-44,Catholic,80
N00002809,25-44,Protestant and Other Christian,45
N00002809,25-44,Other religions and none,1
N00002809,45+,Catholic,89
N00002809,45+,Protestant and Other Christian,85
N00002809,45+,Other religions and none,0
N00002810,0-24,Catholic,79
N00002810,0-24,Protestant and Other Christian,14
N00002810,0-24,Other religions and none,2
N00002810,25-44,Catholic,63
N00002810,25-44,Protestant and Other Christian,24
N00002810,25-44,Other religions and none,1
N00002810,45+,Catholic,109
N00002810,45+,Protestant and Other Christian,30
N00002810,45+,Other religions and none,3
N00002811,0-24,Catholic,74
N00002811,0-24,Protestant and Other Christian,32
N00002811,0-24,Other religions and none,5
N00002811,25-44,Catholic,81
N00002811,25-44,Protestant and Other Christian,27
N00002811,25-44,Other religions and none,3
N00002811,45+,Catholic,66
N00002811,45+,Protestant and Other Christian,50
N00002811,45+,Other religions and none,2
N00002812,0-24,Catholic,98
N00002812,0-24,Protestant and Other Christian,45
N00002812,0-24,Other religions and none,4
N00002812,25-44,Catholic,60
N00002812,25-44,Protestant and Other Christian,38
N00002812,25-44,Other religions and none,0
N00002812,45+,Catholic,95
N00002812,45+,Protestant and Other Christian,56
N00002812,45+,Other religions and none,1
N00002813,0-24,Catholic,169
N00002813,0-24,Protestant and Other Christian,12
N00002813,0-24,Other religions and none,0
N00002813,25-44,Catholic,134
N00002813,25-44,Protestant and Other Christian,9
N00002813,25-44,Other religions and none,2
N00002813,45+,Catholic,109
N00002813,45+,Protestant and Other Christian,14
N00002813,45+,Other religions and none,0
N00002814,0-24,Catholic,136
N00002814,0-24,Protestant and Other Christian,14
N00002814,0-24,Other religions and none,7
N00002814,25-44,Catholic,144
N00002814,25-44,Protestant and Other Christian,20
N00002814,25-44,Other religions and none,5
N00002814,45+,Catholic,121
N00002814,45+,Protestant and Other Christian,52
N00002814,45+,Other religions and none,2
N00002815,0-24,Catholic,130
N00002815,0-24,Protestant and Other Christian,11
N00002815,0-24,Other religions and none,3
N00002815,25-44,Catholic,97
N00002815,25-44,Protestant and Other Christian,9
N00002815,25-44,Other religions and none,6
N00002815,45+,Catholic,67
N00002815,45+,Protestant and Other Christian,2
N00002815,45+,Other religions and none,2
N00002816,0-24,Catholic,53
N00002816,0-24,Protestant and Other Christian,37
N00002816,0-24,Other religions and none,10
N00002816,25-44,Catholic,48
N00002816,25-44,Protestant and Other Christian,45
N00002816,25-44,Other religions and none,8
N00002816,45+,Catholic,41
N00002816,45+,Protestant and Other Christian,113
N00002816,45+,Other religions and none,3
N00002817,0-24,Catholic,238
N00002817,0-24,Protestant and Other Christian,7
N00002817,0-24,Other religions and none,10
N00002817,25-44,Catholic,219
N00002817,25-44,Protestant and Other Christian,10
N00002817,25-44,Other religions and none,10
N00002817,45+,Catholic,123
N00002817,45+,Protestant and Other Christian,10
N00002817,45+,Other religions and none,4
N00002818,0-24,Catholic,133
N00002818,0-24,Protestant and Other Christian,7
N00002818,0-24,Other religions and none,12
N00002818,25-44,Catholic,122
N00002818,25-44,Protestant and Other Christian,11
N00002818,25-44,Other religions and none,13
N00002818,45+,Catholic,152
N00002818,45+,Protestant and Other Christian,11
N00002818,45+,Other religions and none,4
N00002819,0-24,Catholic,135
N00002819,0-24,Protestant and Other Christian,13
N00002819,0-24,Other religions and none,12
N00002819,25-44,Catholic,138
N00002819,25-44,Protestant and Other Christian,10
N00002819,25-44,Other religions and none,6
N00002819,45+,Catholic,119
N00002819,45+,Protestant and Other Christian,9
N00002819,45+,Other religions and none,6
N00002820,0-24,Catholic,137
N00002820,0-24,Protestant and Other Christian,83
N00002820,0-24,Other religions and none,12
N00002820,25-44,Catholic,102
N00002820,25-44,Protestant and Other Christian,71
N00002820,25-44,Other religions and none,5
N00002820,45+,Catholic,99
N00002820,45+,Protestant and Other Christian,97
N00002820,45+,Other religions and none,3
N00002821,0-24,Catholic,83
N00002821,0-24,Protestant and Other Christian,71
N00002821,0-24,Other religions and none,6
N00002821,25-44,Catholic,77
N00002821,25-44,Protestant and Other Christian,51
N00002821,25-44,Other religions and none,3
N00002821,45+,Catholic,82
N00002821,45+,Protestant and Other Christian,81
N00002821,45+,Other religions and none,3
N00002822,0-24,Catholic,118
N00002822,0-24,Protestant and Other Christian,23
N00002822,0-24,Other religions and none,7
N00002822,25-44,Catholic,95
N00002822,25-44,Protestant and Other Christian,21
N00002822,25-44,Other religions and none,4
N00002822,45+,Catholic,87
N00002822,45+,Protestant and Other Christian,34
N00002822,45+,Other religions and none,4
N00002823,0-24,Catholic,49
