W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
coleraine--garvagh,GARVAGH,COLERAINE,Garvagh,2363,1183,1180,2214,1072,1142,-6.3
coleraine--kilrea,KILREA,COLERAINE,Kilrea,2229,1087,1142,2204,1070,1134,-1.1
coleraine--knockantern,KNOCKANTERN,COLERAINE,Knockantern,2063,1050,1013,1906,954,952,-7.6
coleraine--macosquin,MACOSQUIN,COLERAINE,Macosquin,2337,1169,1168,2264,1155,1109,-3.1
coleraine--mount-sandel,MOUNT SANDEL,COLERAINE,Mount Sandel,2126,928,1198,2884,1456,1428,35.7
coleraine--portrush,PORTRUSH,COLERAINE,Portrush,2458,1104,1354,1817,751,1066,-26.1
coleraine--portstewart,PORTSTEWART,COLERAINE,Portstewart,1967,888,1079,1676,759,917,-14.8
coleraine--ringsend,RINGSEND,COLERAINE,Ringsend,1937,988,949,1751,900,851,-9.6
coleraine--strand,STRAND,COLERAINE,Strand,2596,1087,1509,3152,1438,1714,21.4
coleraine--the-cuts,THE CUTS,COLERAINE,The Cuts,2353,1166,1187,2544,1251,1293,8.1
coleraine--university,UNIVERSITY,COLERAINE,University,2266,1136,1130,4712,2295,2417,107.9
coleraine--waterside,WATERSIDE,COLERAINE,Waterside,2565,1324,1241,2909,1505,1404,13.4
cookstown--ardboe,ARDBOE,COOKSTOWN,Ardboe,1752,911,841,1950,1008,942,11.3
cookstown--coagh,COAGH,COOKSTOWN,Coagh,1811,882,929,1769,838,931,-2.3
cookstown--dunnamore,DUNNAMORE,COOKSTOWN,Dunnamore,1657,872,785,1465,748,717,-11.6
cookstown--gortalowry,GORTALOWRY,COOKSTOWN,Gortalowry,1968,950,1018,3056,1527,1529,55.3
cookstown--killycolpy,KILLYCOLPY,COOKSTOWN,Killycolpy,1713,875,838,1675,846,829,-2.2
cookstown--lissan,LISSAN,COOKSTOWN,Lissan,1680,882,798,1630,844,786,-3.0
cookstown--moneymore,MONEYMORE,COOKSTOWN,Money more,1695,801,894,1728,820,908,1.9
cookstown--newbuildings,NEWBUILDINGS,COOKSTOWN,Newbuildings,1434,694,740,1356,638,718,-5.4
cookstown--oaklands,OAKLANDS,COOKSTOWN,Oaklands,1556,827,729,1426,734,692,-8.4
cookstown--oldtown,OLDTOWN,COOKSTOWN,Oldtown,1953,928,1025,1696,845,851,-13.2
cookstown--pomeroy,POMEROY,COOKSTOWN,Pomeroy,1786,933,853,1512,793,719,-15.3
cookstown--sandholes,SANDHOLES,COOKSTOWN,Sandholes,1892,978,914,1710,875,835,-9.6
cookstown--stewartstown,STEWARTSTOWN,COOKSTOWN,Stewartstown,1759,853,906,1534,765,769,-12.8
cookstown--the-loop,THE LOOP,COOKSTOWN,The Loop,1787,921,866,1698,871,827,-5.0
cookstown--tullagh,TULLAGH,COOKSTOWN,Tullagh,1627,763,864,2118,1007,1111,30.2
craigavon--aghagallon,AGHAGALLON,CRAIGAVON,Aghagallon,2512,1223,1289,2525,1249,1276,0.5
craigavon--annagh,ANNAGH,CRAIGAVON,Annagh,2224,1038,1186,1550,724,826,-30.3
craigavon--bachelors-walk,BACHELORS WALK,CRAIGAVON,Bachelors Walk,2244,1051,1193,1899,863,1036,-15.4
craigavon--belle-vue,BELLE VUE,CRAIGAVON,Belle Vue,4028,2020,2008,3848,1920,1928,-4.5
craigavon--bleary,BLEARY,CRAIGAVON,Bleary,2373,1185,1188,2473,1207,1266,4.2
craigavon--breagh,BREAGH,CRAIGAVON,Breagh,2213,1125,1088,1998,1018,980,-9.7
craigavon--brownlow,BROWNLOW,CRAIGAVON,Brownlow,2720,1359,1361,9904,4862,5042,264.1
craigavon--brownstown,BROWNSTOWN,CRAIGAVON,Brownstown,2901,1462,1439,2957,1456,1501,1.9
craigavon--church,CHURCH,CRAIGAVON,Church,3158,1600,1558,1450,664,786,-54.1
craigavon--court,COURT,CRAIGAVON,Court,2809,1393,1416,1777,860,917,-36.7
craigavon--edgarstown,EDGARSTOWN,CRAIGAVON,Edgarstown,2805,1368,1437,2080,1043,1037,-25.8
craigavon--hartfield,HARTFIELD,CRAIGAVON,Hartfield,3163,1518,1645,2814,1402,1412,-11.0
craigavon--kernan,KERNAN,CRAIGAVON,Kernan,1201,609,592,2428,1129,1299,102.2
craigavon--killycomain,KILLYCOMAIN,CRAIGAVON,Killycomain,3364,1640,1724,3674,1791,1883,9.2
craigavon--kinnegoe,KINNEGOE,CRAIGAVON,Kinnegoe,2429,1243,1186,2238,1147,1091,-7.9
